b	epr	epra	sepr	seprs	sepra	seprsa
329.411	-187	502.875	-139	70.286	501.783	-1.09162
329.414	-189	503.075	-140	69.286	502.02	-1.05423
329.418	-189	503.274	-141	68.286	502.254	-1.02023
329.421	-189	503.474	-142	67.286	502.484	-0.98975
329.424	-189	503.674	-143	66.286	502.711	-0.96264
329.428	-192	503.863	-145	64.286	502.931	-0.9321
329.431	-194	504.046	-147	62.286	503.144	-0.90152
329.435	-195	504.225	-148	61.286	503.354	-0.87103
329.438	-197	504.397	-147	62.286	503.567	-0.8302
329.442	-199	504.563	-149	60.286	503.773	-0.7894
329.445	-202	504.718	-151	58.286	503.973	-0.74518
329.448	-203	504.87	-152	57.286	504.169	-0.70099
329.452	-202	505.025	-153	56.286	504.361	-0.6636
329.455	-202	505.18	-152	57.286	504.557	-0.62287
329.459	-200	505.342	-151	58.286	504.757	-0.58551
329.462	-198	505.511	-150	59.286	504.96	-0.55154
329.466	-196	505.687	-149	60.286	505.166	-0.52099
329.469	-195	505.866	-148	61.286	505.376	-0.49045
329.472	-192	506.056	-148	61.286	505.585	-0.47018
329.476	-191	506.248	-149	60.286	505.792	-0.45672
329.479	-189	506.448	-149	60.286	505.998	-0.4501
329.483	-187	506.655	-147	62.286	506.211	-0.44354
329.486	-186	506.865	-145	64.286	506.431	-0.43353
329.489	-187	507.071	-143	66.286	506.658	-0.41324
329.493	-187	507.278	-142	67.286	506.888	-0.38953
329.496	-189	507.477	-143	66.286	507.115	-0.36246
329.5	-190	507.674	-145	64.286	507.335	-0.33872
329.503	-192	507.863	-147	62.286	507.548	-0.315
329.507	-194	508.046	-148	61.286	507.758	-0.28791
329.51	-196	508.221	-149	60.286	507.964	-0.25736
329.513	-197	508.394	-150	59.286	508.167	-0.22681
329.517	-200	508.556	-150	59.286	508.37	-0.18607
329.52	-201	508.715	-149	60.286	508.576	-0.13846
329.524	-204	508.863	-148	61.286	508.786	-0.07715
329.527	-206	509.005	-148	61.286	508.996	-0.00898
329.53	-208	509.139	-148	61.286	509.205	0.06595
329.534	-209	509.271	-147	62.286	509.418	0.14783
329.537	-209	509.402	-146	63.286	509.635	0.23306
329.541	-210	509.53	-144	65.286	509.858	0.32852
329.544	-212	509.651	-143	66.286	510.085	0.43429
329.548	-216	509.758	-142	67.286	510.315	0.55713
329.551	-217	509.862	-142	67.286	510.546	0.68344
329.554	-217	509.966	-141	68.286	510.779	0.81302
329.558	-216	510.074	-141	68.286	511.013	0.9393
329.561	-216	510.181	-141	68.286	511.247	1.06558
329.565	-214	510.295	-142	67.286	511.477	1.18155
329.568	-212	510.416	-144	65.286	511.7	1.2839
329.572	-210	510.544	-148	61.286	511.91	1.36572
329.575	-210	510.672	-151	58.286	512.109	1.43735
329.578	-210	510.8	-151	58.286	512.309	1.50888
329.582	-210	510.928	-150	59.286	512.512	1.58386
329.585	-212	511.049	-149	60.286	512.718	1.66907
329.589	-214	511.163	-148	61.286	512.928	1.76452
329.592	-214	511.277	-147	62.286	513.141	1.86344
329.595	-216	511.385	-145	64.286	513.361	1.97604
329.599	-217	511.489	-144	65.286	513.584	2.09549
329.602	-219	511.586	-141	68.286	513.818	2.23196
329.606	-219	511.683	-138	71.286	514.062	2.37876
329.609	-218	511.784	-136	73.286	514.312	2.52893
329.613	-216	511.891	-132	77.286	514.577	2.68597
329.616	-215	512.002	-130	79.286	514.848	2.84643
329.619	-213	512.119	-129	80.286	515.123	3.00342
329.623	-212	512.24	-129	80.286	515.397	3.1571
329.626	-212	512.361	-129	80.286	515.672	3.31067
329.63	-211	512.486	-129	80.286	515.947	3.46082
329.633	-209	512.617	-129	80.286	516.221	3.60425
329.636	-207	512.755	-129	80.286	516.496	3.74072
329.64	-206	512.897	-129	80.286	516.771	3.87384
329.643	-205	513.042	-130	79.286	517.042	4.00006
329.647	-206	513.184	-129	80.286	517.317	4.13324
329.65	-206	513.325	-129	80.286	517.591	4.26624
329.654	-204	513.474	-128	81.286	517.869	4.39594
329.657	-204	513.622	-127	82.286	518.151	4.52905
329.66	-204	513.77	-127	82.286	518.433	4.66211
329.664	-204	513.919	-127	82.286	518.714	4.79523
329.667	-203	514.071	-128	81.286	518.992	4.92151
329.671	-204	514.219	-128	81.286	519.27	5.05121
329.674	-204	514.367	-126	83.286	519.555	5.18768
329.677	-204	514.516	-125	84.286	519.844	5.3277
329.681	-203	514.668	-124	85.286	520.135	5.46759
329.684	-202	514.823	-125	84.286	520.424	5.60058
329.688	-201	514.982	-125	84.286	520.712	5.73034
329.691	-201	515.14	-125	84.286	521	5.85998
329.695	-204	515.289	-126	83.286	521.285	5.99652
329.698	-206	515.43	-127	82.286	521.567	6.13647
329.701	-207	515.568	-128	81.286	521.845	6.27643
329.705	-208	515.703	-129	80.286	522.119	6.41632
329.708	-211	515.828	-129	80.286	522.394	6.56653
329.712	-211	515.952	-128	81.286	522.672	6.72015
329.715	-211	516.077	-128	81.286	522.95	6.87372
329.719	-211	516.201	-128	81.286	523.228	7.02734
329.722	-209	516.332	-130	79.286	523.5	7.16729
329.725	-208	516.467	-134	75.286	523.757	7.2901
329.729	-206	516.609	-137	72.286	524.005	7.39588
329.732	-206	516.75	-141	68.286	524.238	7.48792
329.736	-205	516.895	-144	65.286	524.462	7.56635
329.739	-205	517.04	-148	61.286	524.671	7.63104
329.742	-206	517.182	-152	57.286	524.867	7.68549
329.746	-205	517.327	-154	55.286	525.057	7.72974
329.749	-203	517.479	-156	53.286	525.239	7.76019
329.753	-203	517.63	-157	52.286	525.418	7.78736
329.756	-206	517.772	-156	53.286	525.6	7.82813
329.76	-210	517.9	-155	54.286	525.786	7.88605
329.763	-212	518.021	-154	55.286	525.975	7.95422
329.766	-211	518.146	-154	55.286	526.164	8.01886
329.77	-212	518.267	-152	57.286	526.36	8.09387
329.773	-216	518.374	-151	58.286	526.56	8.18598
329.777	-218	518.474	-151	58.286	526.759	8.28491
329.78	-220	518.568	-151	58.286	526.959	8.39062
329.783	-222	518.655	-151	58.286	527.158	8.50317
329.787	-224	518.735	-151	58.286	527.358	8.62262
329.79	-226	518.808	-152	57.286	527.554	8.74542
329.794	-229	518.871	-151	58.286	527.753	8.88195
329.797	-231	518.927	-150	59.286	527.956	9.02874
329.801	-234	518.973	-151	58.286	528.156	9.18238
329.804	-235	519.016	-152	57.286	528.352	9.33593
329.807	-236	519.055	-152	57.286	528.548	9.49298
329.811	-237	519.09	-150	59.286	528.75	9.66034
329.814	-237	519.126	-147	62.286	528.964	9.83783
329.818	-236	519.165	-145	64.286	529.184	10.0188
329.821	-233	519.214	-144	65.286	529.407	10.1929
329.824	-229	519.277	-143	66.286	529.634	10.3568
329.828	-227	519.347	-141	68.286	529.867	10.5206
329.831	-224	519.427	-140	69.286	530.104	10.6777
329.835	-223	519.51	-140	69.286	530.342	10.8313
329.838	-219	519.607	-140	69.286	530.579	10.9712
329.842	-216	519.715	-141	68.286	530.812	11.0975
329.845	-214	519.829	-141	68.286	531.046	11.217
329.848	-214	519.943	-139	70.286	531.286	11.3431
329.852	-215	520.054	-138	71.286	531.53	11.4762
329.855	-217	520.158	-136	73.286	531.781	11.623
329.859	-219	520.255	-136	73.286	532.032	11.7766
329.862	-220	520.349	-135	74.286	532.286	11.9371
329.866	-222	520.436	-135	74.286	532.54	12.1044
329.869	-222	520.523	-135	74.286	532.794	12.2717
329.872	-220	520.616	-136	73.286	533.045	12.4287
329.876	-218	520.717	-136	73.286	533.296	12.5789
329.879	-217	520.821	-135	74.286	533.55	12.7291
329.883	-216	520.928	-134	75.286	533.807	12.8793
329.886	-215	521.039	-134	75.286	534.065	13.026
329.889	-215	521.15	-136	73.286	534.316	13.1659
329.893	-212	521.271	-137	72.286	534.563	13.2922
329.896	-209	521.402	-138	71.286	534.807	13.4049
329.9	-208	521.537	-137	72.286	535.054	13.5174
329.903	-208	521.672	-135	74.286	535.308	13.6368
329.907	-208	521.806	-135	74.286	535.563	13.7562
329.91	-208	521.941	-136	73.286	535.813	13.8723
329.913	-208	522.076	-138	71.286	536.057	13.9814
329.917	-208	522.211	-140	69.286	536.294	14.0837
329.92	-208	522.345	-142	67.286	536.525	14.1792
329.924	-209	522.477	-142	67.286	536.755	14.2781
329.927	-210	522.605	-142	67.286	536.985	14.3804
329.93	-211	522.729	-141	68.286	537.219	14.4896
329.934	-212	522.85	-139	70.286	537.459	14.6091
329.937	-213	522.968	-139	70.286	537.7	14.7319
329.941	-217	523.072	-141	68.286	537.933	14.8616
329.944	-221	523.162	-141	68.286	538.167	15.0048
329.948	-225	523.239	-140	69.286	538.404	15.1653
329.951	-227	523.308	-140	69.286	538.641	15.3326
329.954	-230	523.368	-139	70.286	538.882	15.5136
329.958	-232	523.421	-138	71.286	539.125	15.7048
329.961	-233	523.47	-140	69.286	539.362	15.8926
329.965	-234	523.516	-142	67.286	539.593	16.077
329.968	-234	523.562	-143	66.286	539.82	16.2579
329.971	-233	523.611	-143	66.286	540.046	16.4355
329.975	-229	523.674	-142	67.286	540.277	16.6028
329.978	-226	523.747	-143	66.286	540.503	16.7564
329.982	-223	523.83	-144	65.286	540.727	16.8963
329.985	-222	523.917	-144	65.286	540.95	17.0328
329.989	-223	524.001	-143	66.286	541.177	17.1762
329.992	-222	524.088	-141	68.286	541.411	17.3229
329.995	-222	524.174	-140	69.286	541.648	17.4731
329.999	-221	524.265	-140	69.286	541.885	17.6199
330.002	-224	524.345	-139	70.286	542.125	17.7804
330.006	-228	524.411	-139	70.286	542.366	17.9545
330.009	-230	524.471	-138	71.286	542.61	18.1389
330.013	-229	524.534	-138	71.286	542.853	18.3198
330.016	-227	524.603	-136	73.286	543.104	18.5007
330.019	-228	524.67	-135	74.286	543.358	18.6885
330.023	-231	524.726	-133	76.286	543.619	18.8935
330.026	-232	524.779	-133	76.286	543.88	19.1018
330.03	-234	524.824	-132	77.286	544.145	19.3203
330.033	-235	524.867	-132	77.286	544.409	19.5423
330.036	-234	524.913	-132	77.286	544.674	19.7609
330.04	-234	524.959	-133	76.286	544.935	19.9761
330.043	-233	525.008	-133	76.286	545.196	20.1878
330.047	-232	525.06	-135	74.286	545.45	20.3892
330.05	-232	525.113	-138	71.286	545.694	20.5805
330.054	-232	525.166	-140	69.286	545.931	20.7648
330.057	-232	525.219	-144	65.286	546.154	20.9355
330.06	-233	525.268	-146	63.286	546.371	21.1028
330.064	-235	525.31	-148	61.286	546.58	21.2701
330.067	-234	525.356	-148	61.286	546.79	21.434
330.071	-236	525.395	-148	61.286	547	21.6047
330.074	-238	525.427	-146	63.286	547.216	21.7891
330.077	-241	525.449	-145	64.286	547.436	21.9871
330.081	-243	525.464	-144	65.286	547.66	22.1954
330.084	-243	525.479	-143	66.286	547.887	22.4072
330.088	-241	525.501	-143	66.286	548.113	22.6121
330.091	-237	525.537	-143	66.286	548.34	22.8033
330.095	-235	525.579	-143	66.286	548.567	22.9877
330.098	-235	525.622	-142	67.286	548.797	23.1755
330.101	-234	525.668	-142	67.286	549.027	23.3598
330.105	-234	525.713	-141	68.286	549.261	23.5476
330.108	-235	525.756	-142	67.286	549.491	23.7354
330.112	-235	525.798	-142	67.286	549.721	23.9232
330.115	-236	525.837	-142	67.286	549.952	24.1144
330.118	-238	525.869	-141	68.286	550.185	24.3159
330.122	-241	525.891	-139	70.286	550.426	24.5345
330.125	-244	525.903	-136	73.286	550.677	24.7735
330.129	-245	525.911	-134	75.286	550.934	25.0228
330.132	-247	525.913	-132	77.286	551.199	25.286
330.136	-250	525.904	-132	77.286	551.463	25.5591
330.139	-253	525.885	-132	77.286	551.727	25.8427
330.142	-256	525.855	-130	79.286	551.999	26.1433
330.146	-257	525.823	-129	80.286	552.273	26.4507
330.149	-257	525.79	-129	80.286	552.548	26.7582
330.153	-253	525.771	-131	78.286	552.816	27.0451
330.156	-249	525.765	-132	77.286	553.08	27.315
330.16	-247	525.767	-132	77.286	553.345	27.578
330.163	-247	525.768	-131	78.286	553.612	27.8444
330.166	-248	525.766	-131	78.286	553.88	28.1143
330.17	-252	525.75	-131	78.286	554.148	28.3978
330.173	-254	525.728	-131	78.286	554.416	28.6881
330.177	-254	525.705	-133	76.286	554.677	28.9716
330.18	-254	525.683	-135	74.286	554.931	29.2484
330.183	-253	525.664	-136	73.286	555.182	29.5182
330.187	-251	525.651	-138	71.286	555.426	29.7744
330.19	-248	525.649	-138	71.286	555.67	30.0203
330.194	-244	525.661	-136	73.286	555.92	30.2593
330.197	-240	525.686	-135	74.286	556.175	30.4882
330.201	-235	525.729	-133	76.286	556.436	30.7068
330.204	-231	525.785	-133	76.286	556.697	30.9117
330.207	-225	525.862	-134	75.286	556.954	31.0925
330.211	-220	525.955	-135	74.286	557.208	31.253
330.214	-215	526.066	-136	73.286	557.459	31.393
330.218	-210	526.194	-137	72.286	557.706	31.5124
330.221	-208	526.329	-140	69.286	557.943	31.6147
330.224	-209	526.46	-142	67.286	558.174	31.7136
330.228	-213	526.578	-143	66.286	558.4	31.8228
330.231	-217	526.682	-143	66.286	558.627	31.9456
330.235	-218	526.782	-142	67.286	558.857	32.0753
330.238	-218	526.883	-141	68.286	559.091	32.2084
330.242	-221	526.973	-140	69.286	559.328	32.3552
330.245	-222	527.06	-138	71.286	559.572	32.5122
330.248	-221	527.15	-137	72.286	559.819	32.6692
330.252	-222	527.237	-136	73.286	560.07	32.8331
330.255	-220	527.331	-135	74.286	560.324	32.9935
330.259	-216	527.438	-134	75.286	560.582	33.1438
330.262	-216	527.546	-132	77.286	560.846	33.3008
330.266	-214	527.66	-130	79.286	561.118	33.4578
330.269	-210	527.788	-127	82.286	561.399	33.6114
330.272	-208	527.922	-126	83.286	561.684	33.7616
330.276	-207	528.06	-123	86.286	561.979	33.9186
330.279	-207	528.199	-122	87.286	562.278	34.079
330.283	-210	528.327	-122	87.286	562.576	34.2498
330.286	-211	528.451	-122	87.286	562.875	34.4239
330.289	-211	528.576	-124	85.286	563.167	34.5912
330.293	-211	528.7	-126	83.286	563.452	34.7516
330.296	-212	528.821	-128	81.286	563.73	34.9087
330.3	-215	528.932	-129	80.286	564.004	35.0726
330.303	-220	529.026	-128	81.286	564.283	35.2569
330.307	-224	529.106	-127	82.286	564.564	35.4583
330.31	-227	529.175	-124	85.286	564.856	35.6803
330.313	-228	529.242	-121	88.286	565.158	35.916
330.317	-226	529.315	-118	91.286	565.47	36.1551
330.32	-222	529.402	-118	91.286	565.782	36.3805
330.324	-219	529.499	-117	92.286	566.098	36.5991
330.327	-218	529.6	-117	92.286	566.414	36.8142
330.33	-219	529.697	-117	92.286	566.729	37.0328
330.334	-218	529.797	-119	90.286	567.038	37.2411
330.337	-219	529.894	-120	89.286	567.344	37.4493
330.341	-220	529.988	-121	88.286	567.646	37.6577
330.344	-222	530.075	-122	87.286	567.944	37.8695
330.348	-224	530.155	-124	85.286	568.236	38.0811
330.351	-226	530.228	-126	83.286	568.521	38.2929
330.354	-227	530.298	-127	82.286	568.803	38.5046
330.358	-228	530.364	-128	81.286	569.081	38.7164
330.361	-228	530.431	-127	82.286	569.362	38.9315
330.365	-228	530.497	-127	82.286	569.644	39.1467
330.368	-230	530.557	-126	83.286	569.929	39.3721
330.371	-228	530.623	-127	82.286	570.21	39.5872
330.375	-226	530.696	-129	80.286	570.485	39.7886
330.378	-225	530.773	-131	78.286	570.753	39.9799
330.382	-223	530.856	-132	77.286	571.017	40.1609
330.385	-219	530.953	-133	76.286	571.278	40.3247
330.389	-214	531.068	-133	76.286	571.539	40.4715
330.392	-211	531.192	-131	78.286	571.807	40.6149
330.395	-209	531.323	-128	81.286	572.085	40.7616
330.399	-208	531.458	-126	83.286	572.37	40.9118
330.402	-209	531.589	-124	85.286	572.662	41.0722
330.406	-211	531.714	-121	88.286	572.964	41.2498
330.409	-217	531.818	-119	90.286	573.272	41.4547
330.413	-221	531.908	-117	92.286	573.588	41.6801
330.416	-225	531.985	-116	93.286	573.907	41.9226
330.419	-228	532.051	-115	94.286	574.23	42.1787
330.423	-230	532.111	-115	94.286	574.552	42.4418
330.426	-234	532.156	-117	92.286	574.868	42.7116
330.43	-238	532.189	-118	91.286	575.18	42.9918
330.433	-241	532.211	-118	91.286	575.493	43.282
330.436	-242	532.229	-118	91.286	575.805	43.5758
330.44	-241	532.251	-119	90.286	576.114	43.8628
330.443	-241	532.273	-119	90.286	576.423	44.1497
330.447	-241	532.295	-119	90.286	576.731	44.4366
330.45	-242	532.313	-119	90.286	577.04	44.727
330.454	-242	532.332	-119	90.286	577.349	45.0174
330.457	-239	532.361	-118	91.286	577.661	45.3009
330.46	-236	532.4	-117	92.286	577.977	45.5776
330.464	-234	532.445	-118	91.286	578.289	45.8441
330.467	-233	532.495	-118	91.286	578.602	46.1071
330.471	-231	532.551	-117	92.286	578.917	46.3666
330.474	-228	532.617	-117	92.286	579.233	46.616
330.477	-228	532.683	-116	93.286	579.552	46.8687
330.481	-228	532.75	-113	96.286	579.882	47.1317
330.484	-229	532.813	-112	97.286	580.214	47.4016
330.488	-230	532.872	-110	99.286	580.554	47.6817
330.491	-229	532.935	-108	101.286	580.9	47.9651
330.495	-228	533.002	-109	100.286	581.244	48.2419
330.498	-228	533.068	-112	97.286	581.576	48.5083
330.501	-227	533.138	-116	93.286	581.895	48.7576
330.505	-227	533.208	-119	90.286	582.204	48.9967
330.508	-228	533.274	-123	86.286	582.499	49.2255
330.512	-230	533.333	-125	84.286	582.788	49.4544
330.515	-232	533.386	-127	82.286	583.069	49.6832
330.518	-236	533.425	-129	80.286	583.344	49.9188
330.522	-240	533.45	-131	78.286	583.612	50.1614
330.525	-245	533.459	-132	77.286	583.876	50.4175
330.529	-249	533.453	-134	75.286	584.134	50.6805
330.532	-252	533.438	-136	73.286	584.385	50.947
330.536	-252	533.422	-138	71.286	584.628	51.2065
330.539	-251	533.41	-136	73.286	584.879	51.4695
330.542	-249	533.404	-133	76.286	585.14	51.736
330.546	-247	533.406	-132	77.286	585.405	51.999
330.549	-246	533.41	-130	79.286	585.676	52.2654
330.553	-243	533.425	-128	81.286	585.954	52.5284
330.556	-240	533.451	-125	84.286	586.242	52.7914
330.56	-237	533.486	-122	87.286	586.541	53.0545
330.563	-232	533.539	-119	90.286	586.85	53.3106
330.566	-227	533.609	-118	91.286	587.162	53.5531
330.57	-227	533.679	-116	93.286	587.481	53.8024
330.573	-228	533.745	-114	95.286	587.807	54.062
330.577	-230	533.805	-112	97.286	588.14	54.3353
330.58	-233	533.854	-112	97.286	588.473	54.6188
330.583	-236	533.893	-111	98.286	588.809	54.916
330.587	-237	533.928	-110	99.286	589.149	55.2201
330.59	-237	533.964	-111	98.286	589.485	55.5207
330.594	-237	534	-110	99.286	589.824	55.8248
330.597	-236	534.039	-110	99.286	590.164	56.1253
330.601	-238	534.071	-109	100.286	590.507	56.4362
330.604	-239	534.1	-109	100.286	590.85	56.7504
330.607	-241	534.121	-109	100.286	591.193	57.0716
330.611	-243	534.137	-108	101.286	591.539	57.403
330.614	-246	534.141	-107	102.286	591.889	57.748
330.618	-246	534.146	-108	101.286	592.236	58.0897
330.621	-246	534.151	-110	99.286	592.576	58.4245
330.624	-247	534.152	-112	97.286	592.908	58.7559
330.628	-249	534.147	-113	96.286	593.238	59.0907
330.631	-250	534.138	-114	95.286	593.564	59.4255
330.635	-250	534.129	-114	95.286	593.89	59.7603
330.638	-248	534.127	-113	96.286	594.219	60.0917
330.642	-245	534.135	-114	95.286	594.545	60.4094
330.645	-242	534.154	-114	95.286	594.871	60.7169
330.648	-238	534.186	-113	96.286	595.2	61.014
330.652	-237	534.222	-113	96.286	595.53	61.3079
330.655	-233	534.271	-113	96.286	595.859	61.588
330.659	-229	534.334	-111	98.286	596.195	61.8612
330.662	-228	534.4	-111	98.286	596.531	62.131
330.666	-228	534.467	-112	97.286	596.864	62.3975
330.669	-228	534.533	-111	98.286	597.2	62.6672
330.672	-230	534.593	-112	97.286	597.533	62.9406
330.676	-230	534.652	-115	94.286	597.856	63.2035
330.679	-230	534.712	-116	93.286	598.175	63.4632
330.683	-232	534.764	-115	94.286	598.497	63.733
330.686	-231	534.82	-114	95.286	598.823	64.0029
330.689	-229	534.883	-112	97.286	599.156	64.2728
330.693	-230	534.943	-110	99.286	599.496	64.5529
330.696	-231	534.999	-110	99.286	599.835	64.8364
330.7	-232	535.052	-111	98.286	600.172	65.1199
330.703	-233	535.101	-113	96.286	600.501	65.4
330.707	-233	535.15	-114	95.286	600.827	65.6766
330.71	-231	535.206	-115	94.286	601.149	65.943
330.713	-230	535.266	-115	94.286	601.472	66.2061
330.717	-230	535.325	-117	92.286	601.788	66.4622
330.72	-230	535.385	-118	91.286	602.1	66.715
330.724	-230	535.444	-119	90.286	602.409	66.9644
330.727	-232	535.497	-120	89.286	602.714	67.2171
330.73	-232	535.55	-118	91.286	603.026	67.4767
330.734	-233	535.599	-116	93.286	603.346	67.7465
330.737	-236	535.638	-115	94.286	603.668	68.0301
330.741	-240	535.663	-114	95.286	603.994	68.3306
330.744	-244	535.675	-113	96.286	604.323	68.6484
330.748	-246	535.68	-111	98.286	604.66	68.9797
330.751	-248	535.678	-109	100.286	605.003	69.3248
330.754	-247	535.679	-108	101.286	605.349	69.6699
330.758	-245	535.688	-106	103.286	605.702	70.0149
330.761	-245	535.696	-103	106.286	606.066	70.3704
330.765	-246	535.701	-101	108.286	606.436	70.7358
330.768	-247	535.702	-99	110.286	606.814	71.1116
330.771	-246	535.707	-98	111.286	607.194	71.4875
330.775	-248	535.705	-98	111.286	607.575	71.8701
330.778	-249	535.699	-98	111.286	607.956	72.2562
330.782	-249	535.694	-98	111.286	608.336	72.6423
330.785	-248	535.692	-97	112.286	608.72	73.0285
330.789	-246	535.697	-98	111.286	609.101	73.4042
330.792	-245	535.705	-98	111.286	609.482	73.7767
330.795	-245	535.713	-100	109.286	609.855	74.1422
330.799	-245	535.721	-103	106.286	610.219	74.4975
330.802	-246	535.726	-104	105.286	610.579	74.8528
330.806	-247	535.728	-104	105.286	610.939	75.2115
330.809	-248	535.726	-105	104.286	611.296	75.5703
330.813	-249	535.72	-106	103.286	611.649	75.9291
330.816	-252	535.705	-105	104.286	612.006	76.3015
330.819	-255	535.679	-105	104.286	612.363	76.6841
330.823	-256	535.649	-105	104.286	612.719	77.0702
330.826	-257	535.616	-106	103.286	613.073	77.4563
330.83	-259	535.577	-106	103.286	613.426	77.8492
330.833	-262	535.527	-105	104.286	613.783	78.2558
330.836	-264	535.47	-103	106.286	614.146	78.6761
330.84	-265	535.41	-100	109.286	614.52	79.11
330.843	-267	535.343	-100	109.286	614.894	79.5508
330.847	-268	535.273	-100	109.286	615.268	79.995
330.85	-269	535.199	-100	109.286	615.642	80.4427
330.854	-269	535.125	-100	109.286	616.015	80.8903
330.857	-267	535.058	-101	108.286	616.386	81.3277
330.86	-263	535.005	-101	108.286	616.756	81.7513
330.864	-260	534.962	-103	106.286	617.12	82.1579
330.867	-258	534.926	-103	106.286	617.483	82.5577
330.871	-256	534.896	-102	107.286	617.85	82.954
330.874	-255	534.87	-101	108.286	618.221	83.3503
330.877	-254	534.848	-101	108.286	618.591	83.7433
330.881	-254	534.825	-99	110.286	618.968	84.1431
330.884	-255	534.799	-99	110.286	619.346	84.5462
330.888	-255	534.773	-99	110.286	619.723	84.9495
330.891	-253	534.754	-100	109.286	620.097	85.3424
330.895	-253	534.735	-102	107.286	620.463	85.7283
330.898	-252	534.719	-104	105.286	620.824	86.1042
330.901	-252	534.704	-106	103.286	621.177	86.4732
330.905	-254	534.681	-109	100.286	621.52	86.8388
330.908	-258	534.645	-111	98.286	621.856	87.2112
330.912	-261	534.599	-112	97.286	622.189	87.5905
330.915	-262	534.549	-112	97.286	622.522	87.9731
330.918	-261	534.502	-112	97.286	622.855	88.3524
330.922	-259	534.463	-112	97.286	623.187	88.7248
330.925	-257	534.43	-112	97.286	623.52	89.0904
330.929	-257	534.397	-112	97.286	623.853	89.4559
330.932	-253	534.378	-113	96.286	624.182	89.8044
330.936	-252	534.362	-113	96.286	624.512	90.1495
330.939	-253	534.343	-111	98.286	624.848	90.5048
330.942	-255	534.317	-108	101.286	625.194	90.8772
330.946	-256	534.288	-106	103.286	625.548	91.2598
330.949	-258	534.252	-107	102.286	625.898	91.646
330.953	-261	534.205	-109	100.286	626.241	92.0354
330.956	-264	534.148	-109	100.286	626.584	92.4352
330.96	-266	534.085	-109	100.286	626.927	92.8418
330.963	-267	534.018	-108	101.286	627.273	93.2553
330.966	-269	533.944	-109	100.286	627.616	93.6721
330.97	-269	533.87	-110	99.286	627.956	94.0855
330.973	-270	533.793	-111	98.286	628.292	94.499
330.977	-272	533.709	-111	98.286	628.628	94.9192
330.98	-274	533.618	-112	97.286	628.961	95.343
330.983	-275	533.524	-112	97.286	629.294	95.77
330.987	-274	533.433	-113	96.286	629.623	96.1904
330.99	-276	533.335	-114	95.286	629.949	96.614
330.994	-278	533.231	-114	95.286	630.275	97.0445
330.997	-281	533.116	-112	97.286	630.608	97.4921
331.001	-281	533.001	-111	98.286	630.944	97.9432
331.004	-280	532.89	-110	99.286	631.284	98.3942
331.007	-279	532.781	-108	101.286	631.63	98.8487
331.011	-277	532.68	-107	102.286	631.98	99.2997
331.014	-276	532.583	-107	102.286	632.33	99.7473
331.018	-273	532.495	-107	102.286	632.68	100.185
331.021	-272	532.411	-109	100.286	633.023	100.612
331.024	-271	532.33	-110	99.286	633.362	101.032
331.028	-270	532.253	-110	99.286	633.702	101.449
331.031	-270	532.176	-110	99.286	634.042	101.866
331.035	-273	532.088	-111	98.286	634.378	102.289
331.038	-275	531.994	-110	99.286	634.718	102.723
331.042	-277	531.893	-111	98.286	635.054	103.161
331.045	-280	531.782	-112	97.286	635.387	103.605
331.048	-281	531.667	-110	99.286	635.726	104.059
331.052	-281	531.552	-107	102.286	636.076	104.524
331.055	-279	531.444	-103	106.286	636.44	104.996
331.059	-279	531.336	-99	110.286	636.817	105.481
331.062	-281	531.221	-95	114.286	637.208	105.987
331.065	-282	531.103	-91	118.286	637.612	106.51
331.069	-279	530.995	-89	120.286	638.024	107.029
331.072	-275	530.901	-89	120.286	638.435	107.535
331.076	-277	530.799	-89	120.286	638.847	108.047
331.079	-279	530.691	-90	119.286	639.255	108.563
331.083	-280	530.58	-89	120.286	639.666	109.086
331.086	-279	530.472	-89	120.286	640.078	109.606
331.089	-279	530.364	-89	120.286	640.489	110.125
331.093	-280	530.253	-88	121.286	640.904	110.651
331.096	-283	530.131	-87	122.286	641.322	111.191
331.1	-285	530.002	-87	122.286	641.74	111.738
331.103	-289	529.86	-88	121.286	642.155	112.295
331.107	-294	529.701	-88	121.286	642.57	112.869
331.11	-299	529.525	-89	120.286	642.981	113.457
331.113	-300	529.345	-88	121.286	643.396	114.051
331.117	-302	529.158	-88	121.286	643.811	114.653
331.12	-305	528.961	-88	121.286	644.226	115.265
331.124	-306	528.761	-87	122.286	644.644	115.883
331.127	-307	528.557	-83	126.286	645.076	116.519
331.13	-307	528.353	-82	127.286	645.511	117.158
331.134	-309	528.143	-81	128.286	645.95	117.807
331.137	-310	527.929	-80	129.286	646.392	118.463
331.141	-310	527.715	-79	130.286	646.838	119.123
331.144	-310	527.501	-78	131.286	647.287	119.786
331.148	-307	527.297	-77	132.286	647.739	120.442
331.151	-304	527.104	-77	132.286	648.192	121.088
331.154	-303	526.914	-79	130.286	648.638	121.724
331.158	-306	526.713	-80	129.286	649.08	122.366
331.161	-309	526.503	-83	126.286	649.512	123.009
331.165	-309	526.292	-84	125.286	649.94	123.648
331.168	-309	526.082	-86	123.286	650.362	124.28
331.171	-308	525.875	-88	121.286	650.777	124.902
331.175	-305	525.678	-90	119.286	651.185	125.507
331.178	-301	525.495	-91	118.286	651.589	126.095
331.182	-296	525.328	-92	117.286	651.99	126.662
