b	f3	3	3a	f7	7	7a	f12	12	12a	f17	17	17a	f23	23	23a	f30	30	30a
331.041	9.5649	3.15194	0.08687	9.56487	-4.67387	-0.0512	9.56485	-5.28183	0.01924	9.56484	2.99014	0.10451	9.56481	7.02935	0.22152	9.56478	-8.54171	0.00869
331.044	9.56483	4.14152	0.11375	9.5648	-1.6819	-0.05457	9.56478	-3.28124	0.02261	9.56476	1.99063	0.11308	9.56474	6.02949	0.24158	9.56471	-8.53983	-0.01905
331.046	9.56476	5.1311	0.14309	9.56473	1.31007	-0.05049	9.56471	-1.28066	0.03096	9.56469	2.99112	0.12415	9.56467	5.02964	0.25916	9.56464	-7.53795	-0.0443
331.049	9.56469	5.12068	0.17241	9.56466	4.30204	-0.03898	9.56464	-0.28007	0.0418	9.56462	2.9916	0.13522	9.5646	2.02978	0.26928	9.56456	-6.53607	-0.06706
331.051	9.56461	6.11025	0.20418	9.56458	6.29402	-0.02251	9.56456	-0.27949	0.05265	9.56455	3.99209	0.14877	9.56452	0.02992	0.27443	9.56449	-4.53419	-0.08484
331.054	9.56454	6.09983	0.23593	9.56451	6.28599	-0.00606	9.56449	0.7211	0.06597	9.56448	4.99258	0.16481	9.56445	-2.96994	0.27212	9.56442	-3.53231	-0.10013
331.056	9.56447	5.08941	0.26517	9.56444	6.27796	0.01036	9.56442	1.72169	0.08179	9.5644	5.99307	0.18334	9.56438	-6.9698	0.25986	9.56435	-2.53043	-0.11293
331.059	9.5644	4.07899	0.29189	9.56437	5.26993	0.02428	9.56435	1.72227	0.09761	9.56433	5.99356	0.20187	9.56431	-9.96966	0.24014	9.56428	0.47145	-0.11827
331.061	9.56433	2.06857	0.31362	9.5643	2.2619	0.03072	9.56428	1.72286	0.11343	9.56426	3.99405	0.21543	9.56424	-13.9695	0.21048	9.5642	4.47333	-0.11366
331.064	9.56425	2.05815	0.33532	9.56422	-0.74612	0.02968	9.5642	-0.27656	0.12428	9.56419	-0.00547	0.21904	9.56417	-16.9694	0.17336	9.56413	8.47521	-0.09909
331.066	9.56418	3.04773	0.35948	9.56415	-3.75415	0.02117	9.56413	-3.27597	0.12767	9.56412	-5.00498	0.21023	9.56409	-18.9692	0.13127	9.56406	10.4771	-0.07955
331.069	9.56411	3.03731	0.38361	9.56408	-4.76218	0.01014	9.56406	-6.27538	0.1236	9.56405	-8.00449	0.19395	9.56402	-21.9691	0.08172	9.56399	11.479	-0.05752
331.071	9.56404	3.02689	0.40772	9.56401	-6.77021	-0.00587	9.56399	-9.2748	0.11208	9.56397	-9.004	0.17519	9.56395	-22.969	0.02969	9.56392	12.4809	-0.033
331.074	9.56397	4.01646	0.43429	9.56394	-7.77824	-0.02439	9.56392	-10.2742	0.09807	9.5639	-9.00351	0.15644	9.56388	-22.9688	-0.02235	9.56385	12.4827	-0.00847
331.076	9.56389	5.00604	0.46332	9.56387	-8.78626	-0.04542	9.56385	-11.2736	0.08157	9.56383	-9.00302	0.13768	9.56381	-21.9687	-0.0719	9.56377	11.4846	0.01358
331.079	9.56382	4.99562	0.49232	9.56379	-10.7943	-0.07144	9.56377	-13.273	0.06011	9.56376	-8.00253	0.12141	9.56373	-19.9685	-0.11647	9.5637	10.4865	0.03314
331.081	9.56375	5.9852	0.52378	9.56372	-10.8023	-0.09749	9.5637	-13.2724	0.03864	9.56369	-6.00205	0.11012	9.56366	-16.9684	-0.15359	9.56363	9.48838	0.05022
331.084	9.56368	5.97478	0.55522	9.56365	-9.81035	-0.12106	9.56363	-13.2719	0.01718	9.56361	-5.00156	0.10131	9.56359	-14.9683	-0.18573	9.56356	9.49026	0.06731
331.086	9.56361	2.96436	0.57917	9.56358	-6.81838	-0.1372	9.56356	-13.2713	-0.00428	9.56354	-4.00107	0.09499	9.56352	-13.9681	-0.21539	9.56349	11.4921	0.08937
331.089	9.56354	1.95394	0.60061	9.56351	-3.82641	-0.14589	9.56349	-13.2707	-0.02574	9.56347	-2.00058	0.09364	9.56345	-13.968	-0.24505	9.56341	12.494	0.11393
331.091	9.56346	-1.05649	0.61457	9.56343	-0.83443	-0.14715	9.56341	-13.2701	-0.0472	9.5634	0.99991	0.09976	9.56338	-14.9678	-0.27719	9.56334	13.4959	0.14098
331.094	9.56339	-2.06691	0.62601	9.56336	1.15754	-0.14346	9.56334	-15.2695	-0.07363	9.56333	3.0004	0.11085	9.5633	-13.9677	-0.30684	9.56327	13.4978	0.16803
331.096	9.56332	-3.07733	0.63494	9.56329	2.14951	-0.13729	9.56327	-17.2689	-0.10503	9.56326	5.00088	0.12691	9.56323	-11.9676	-0.33153	9.5632	14.4997	0.19757
331.099	9.56325	-5.08775	0.63887	9.56322	2.14148	-0.13115	9.5632	-18.2684	-0.13891	9.56318	7.00137	0.14794	9.56316	-9.96742	-0.35124	9.56313	14.5015	0.22712
331.101	9.56318	-8.09817	0.63532	9.56315	1.13345	-0.12752	9.56313	-19.2678	-0.17528	9.56311	7.00186	0.16898	9.56309	-8.96728	-0.36846	9.56306	13.5034	0.25418
331.104	9.5631	-9.10859	0.62926	9.56308	0.12543	-0.12639	9.56306	-20.2672	-0.21414	9.56304	7.00235	0.19002	9.56302	-8.96714	-0.38568	9.56298	13.5053	0.28125
331.106	9.56303	-8.11901	0.62565	9.563	-0.8826	-0.12776	9.56298	-21.2666	-0.25548	9.56297	5.00284	0.20609	9.56294	-6.96699	-0.39793	9.56291	12.5072	0.30584
331.109	9.56296	-9.12943	0.61954	9.56293	-1.89063	-0.13165	9.56291	-19.266	-0.29185	9.5629	4.00333	0.21967	9.56287	-4.96685	-0.40521	9.56284	9.50906	0.32298
331.111	9.56289	-9.13986	0.61339	9.56286	-0.89866	-0.13307	9.56284	-18.2654	-0.32572	9.56282	3.00381	0.23076	9.5628	-4.96671	-0.41248	9.56277	7.51094	0.33514
331.113	9.56282	-9.15028	0.60722	9.56279	0.09331	-0.13202	9.56277	-18.2648	-0.3596	9.56275	0.0043	0.2344	9.56273	-4.96657	-0.41976	9.5627	3.51282	0.33737
331.116	9.56275	-7.1607	0.606	9.56272	0.08529	-0.13099	9.5627	-17.2643	-0.39099	9.56268	-3.99521	0.2281	9.56266	-4.96643	-0.42704	9.56262	0.5147	0.33214
331.118	9.56267	-6.17112	0.60724	9.56264	-0.92274	-0.13246	9.56262	-13.2637	-0.41243	9.56261	-7.99472	0.21185	9.56259	-5.96629	-0.4368	9.56255	-1.48342	0.32194
331.121	9.5626	-5.18154	0.61094	9.56257	0.06923	-0.13148	9.56255	-10.2631	-0.42641	9.56254	-10.9942	0.18814	9.56251	-7.96615	-0.45153	9.56248	-2.48154	0.30926
331.123	9.56253	-3.19196	0.61959	9.5625	2.0612	-0.12553	9.56248	-10.2625	-0.44039	9.56247	-13.9937	0.15698	9.56244	-9.96601	-0.47124	9.56241	-2.47966	0.29659
331.126	9.56246	-1.20238	0.63318	9.56243	5.05317	-0.11215	9.56241	-11.2619	-0.45686	9.56239	-15.9933	0.12084	9.56237	-9.96587	-0.49094	9.56234	-3.47778	0.28143
