xb	xfa	a	aa	xfb	b	ba	xfc	c	ca	xfd	d	da	xfe	e	ea	xff	f	fa	xfh	h	ha	xfg	g	ga	xfi	i	ia	xfk	k	ka
328.865	9.62565	-8.35	2.58155	9.61947	2.57499	1E-5	9.62081	-1.325	2.18557	9.61983	-87	-1E-5	9.61974	-4.39762	0.85938	9.61689	9.13107	0	9.63034	-1.6	0.00396	9.61822	19.65	-0.09535	9.61822	19.925	-0.16228	9.61822	11.2679	-0.09486
328.868	9.62557	-8.32649	2.43299	9.61939	2.61225	-0.13718	9.62073	-3.30278	2.06767	9.61976	-84	-0.01501	9.61967	-5.38998	0.80076	9.61682	7.13723	0.00269	9.63026	-2.60272	0.00281	9.61815	20.6522	-0.0495	9.61815	11.9262	-0.11718	9.61815	10.2708	-0.07116
328.87	9.6255	-8.30298	2.28448	9.61932	1.64951	-0.27676	9.62066	-7.28056	1.93987	9.61969	-82	-0.02504	9.61959	-4.38233	0.74465	9.61674	6.14339	0.00291	9.63019	-2.60544	0.00165	9.61807	18.6544	-0.00862	9.61808	6.92733	-0.08451	9.61808	8.27376	-0.05242
328.873	9.62543	-7.27947	2.13852	9.61925	1.68677	-0.41626	9.62059	-9.25835	1.80716	9.61962	-80	-0.0301	9.61952	-3.37469	0.69104	9.61667	3.14955	-0.00431	9.63012	-2.60817	4.9E-4	9.618	16.6566	0.02729	9.61801	2.9285	-0.06178	9.61801	6.27668	-0.03865
328.875	9.62535	-6.25596	1.9951	9.61918	0.72403	-0.55814	9.62052	-11.2361	1.66953	9.61954	-79	-0.03268	9.61945	-1.36704	0.64243	9.6166	2.15571	-0.014	9.63004	-2.61089	-6.8E-4	9.61793	15.6587	0.06073	9.61793	-0.07034	-0.04651	9.61793	4.27961	-0.02984
328.878	9.62528	-4.23245	1.85672	9.6191	-0.23871	-0.70242	9.62044	-11.2139	1.53196	9.61947	-78	-0.03276	9.61938	1.6406	0.60129	9.61653	1.16186	-0.02616	9.62997	-1.61361	6.3E-4	9.61785	12.6609	0.08671	9.61786	-3.06917	-0.03869	9.61786	4.28254	-0.02102
328.88	9.62521	-4.20894	1.71839	9.61903	-0.20145	-0.84661	9.62037	-10.1917	1.39692	9.6194	-78	-0.03285	9.6193	4.64825	0.56763	9.61645	2.16802	-0.03582	9.6299	-1.61634	0.00193	9.61778	11.6631	0.1102	9.61779	-5.068	-0.03584	9.61779	6.28547	-0.00723
328.883	9.62514	-4.18543	1.58012	9.61896	-0.16419	-0.9907	9.6203	-8.16948	1.26692	9.61932	-77	-0.03045	9.61923	8.65589	0.54393	9.61638	2.17418	-0.04547	9.62983	-1.61906	0.00323	9.61771	10.6653	0.13122	9.61772	-6.06684	-0.03548	9.61772	6.2884	0.00657
328.885	9.62506	-4.16192	1.44191	9.61889	0.87306	-1.13221	9.62022	-7.14727	1.13946	9.61925	-76	-0.02556	9.61916	9.66354	0.52274	9.61631	2.18034	-0.0551	9.62975	-3.62178	-4.5E-4	9.61764	9.66749	0.14975	9.61764	-7.06567	-0.0376	9.61764	5.29133	0.0179
328.888	9.62499	-3.13841	1.30624	9.61881	1.91032	-1.27115	9.62015	-5.12505	1.01702	9.61918	-75	-0.01819	9.61909	8.67118	0.49908	9.61624	1.1865	-0.0672	9.62968	-4.6245	-0.00663	9.61756	7.66967	0.16332	9.61757	-8.06451	-0.0422	9.61757	5.29426	0.02923
328.89	9.62492	-2.1149	1.17312	9.61874	2.94758	-1.40751	9.62008	-4.10284	0.89713	9.61911	-74	-0.00833	9.61901	8.67882	0.47545	9.61616	0.19266	-0.08177	9.62961	-5.62723	-0.0153	9.61749	5.67186	0.17192	9.6175	-8.06334	-0.0468	9.6175	4.29718	0.03808
328.893	9.62485	-1.09139	1.04255	9.61867	2.98484	-1.54377	9.62001	-3.08062	0.77978	9.61903	-74	0.00153	9.61894	8.68647	0.45183	9.61609	-0.80119	-0.09882	9.62953	-4.62995	-0.02149	9.61742	4.67404	0.17804	9.61743	-7.06217	-0.04891	9.61743	2.30011	0.04196
328.895	9.62477	-1.06788	0.91203	9.61859	3.0221	-1.67994	9.61993	-1.0584	0.66745	9.61896	-76	0.00642	9.61887	7.69411	0.42574	9.61602	-0.79503	-0.11585	9.62946	-5.63267	-0.03017	9.61735	3.67623	0.18168	9.61735	-8.06101	-0.05351	9.61735	0.30304	0.04088
328.898	9.6247	-2.04437	0.77908	9.61852	3.05936	-1.81602	9.61986	0.96381	0.56015	9.61889	-78	0.00633	9.61879	7.70175	0.39967	9.61594	0.21113	-0.13037	9.62939	-6.6354	-0.04135	9.61727	3.67841	0.18533	9.61728	-8.05984	-0.0581	9.61728	0.30597	0.03981
328.9	9.62463	-1.02086	0.64868	9.61845	2.09662	-1.95449	9.61979	0.98603	0.45291	9.61882	-81	-0.00122	9.61872	7.7094	0.37362	9.61587	1.21729	-0.1424	9.62932	-7.63812	-0.05502	9.6172	2.6806	0.18649	9.61721	-8.05868	-0.06269	9.61721	1.3089	0.04123
328.903	9.62455	-0.99735	0.51834	9.61838	3.13388	-2.09039	9.61972	1.00824	0.34573	9.61874	-83	-0.01373	9.61865	6.71704	0.34511	9.6158	4.22345	-0.14695	9.62924	-7.64084	-0.06869	9.61713	1.68279	0.18517	9.61713	-7.05751	-0.06479	9.61713	2.31183	0.04515
328.905	9.62448	-0.97384	0.38806	9.6183	4.17113	-2.2237	9.61964	0.03046	0.23611	9.61867	-84	-0.02874	9.61858	4.72469	0.31164	9.61573	7.22961	-0.14402	9.62917	-7.64356	-0.08238	9.61705	1.68497	0.18386	9.61706	-7.05634	-0.06688	9.61706	2.31476	0.04907
328.908	9.62441	-1.95033	0.25534	9.61823	5.20839	-2.35444	9.61957	1.05268	0.12904	9.6186	-85	-0.04623	9.6185	2.73233	0.27321	9.61565	8.23577	-0.1386	9.6291	-8.64629	-0.09855	9.61698	1.68716	0.18256	9.61699	-7.05518	-0.06898	9.61699	3.31768	0.05549
328.91	9.62434	-1.92682	0.12269	9.61816	6.24565	-2.48259	9.6195	3.07489	0.02699	9.61852	-84	-0.06123	9.61843	0.73998	0.22983	9.61558	8.24192	-0.13316	9.62902	-7.64901	-0.11225	9.61691	-1.31066	0.1738	9.61692	-8.05401	-0.07356	9.61692	3.32061	0.06191
328.913	9.62426	-1.90331	-0.0099	9.61809	5.28291	-2.61314	9.61943	5.09711	-0.07003	9.61845	-83	-0.07375	9.61836	-1.25238	0.1815	9.61551	8.24808	-0.1277	9.62895	-7.65173	-0.12595	9.61684	-4.30847	0.15758	9.61684	-9.05285	-0.08062	9.61684	2.32354	0.06585
328.915	9.62419	-0.87979	-0.13995	9.61801	5.32017	-2.7436	9.61935	7.11933	-0.16202	9.61838	-80	-0.07881	9.61829	-4.24474	0.12573	9.61544	9.25424	-0.11975	9.62888	-5.65446	-0.13469	9.61676	-6.30629	0.1364	9.61677	-11.0517	-0.09265	9.61677	2.32647	0.06981
328.918	9.62412	0.14372	-0.26746	9.61794	6.35743	-2.87148	9.61928	8.14154	-0.25147	9.61831	-78	-0.0789	9.61821	-10.2371	0.05506	9.61536	8.2604	-0.11426	9.62881	-3.65718	-0.13846	9.61669	-8.3041	0.11025	9.6167	-12.0505	-0.10716	9.6167	1.3294	0.07128
328.92	9.62404	-0.83277	-0.39739	9.61787	6.39469	-2.99927	9.61921	10.1638	-0.33589	9.61823	-75	-0.07152	9.61814	-14.2295	-0.02553	9.61529	6.26656	-0.11373	9.62873	-1.6599	-0.13726	9.61662	-9.30192	0.08162	9.61663	-11.0494	-0.11919	9.61663	0.33233	0.07027
328.923	9.62397	-1.80926	-0.52975	9.6178	6.43195	-3.12696	9.61913	11.186	-0.41778	9.61816	-74	-0.06166	9.61807	-16.2218	-0.11109	9.61522	4.27272	-0.11816	9.62866	0.33738	-0.1311	9.61655	-8.29973	0.05549	9.61655	-9.04818	-0.12623	9.61655	-0.66475	0.06679
328.925	9.6239	-1.78575	-0.66206	9.61772	6.46921	-3.25456	9.61906	10.2082	-0.50209	9.61809	-74	-0.0518	9.618	-15.2142	-0.19413	9.61515	3.27887	-0.12506	9.62859	2.33465	-0.11998	9.61647	-9.29754	0.02687	9.61648	-7.04702	-0.12831	9.61648	-0.66182	0.06331
328.927	9.62383	-2.76224	-0.79679	9.61765	6.50646	-3.38207	9.61899	9.23041	-0.58883	9.61802	-75	-0.04443	9.61792	-14.2065	-0.27467	9.61507	2.28503	-0.13443	9.62852	5.33193	-0.1014	9.6164	-9.29536	-0.00174	9.61641	-4.04585	-0.12292	9.61641	-0.65889	0.05984
328.93	9.62375	-2.73873	-0.93146	9.61758	5.54372	-3.51197	9.61892	9.25262	-0.67552	9.61794	-77	-0.04203	9.61785	-13.1989	-0.3527	9.615	0.29119	-0.14876	9.62844	7.32921	-0.07785	9.61633	-8.29317	-0.02786	9.61633	-0.04468	-0.10758	9.61633	-0.65596	0.05637
328.932	9.62368	-0.71522	-1.0611	9.6175	4.58098	-3.64426	9.61884	8.27484	-0.76464	9.61787	-78	-0.04212	9.61778	-11.1912	-0.42575	9.61493	-1.70265	-0.16804	9.62837	9.32648	-0.04934	9.61625	-8.29099	-0.05398	9.61626	2.95648	-0.08478	9.61626	-0.65303	0.05292
328.935	9.62361	1.30829	-1.18571	9.61743	2.61824	-3.78144	9.61877	8.29705	-0.8537	9.6178	-77	-0.03972	9.6177	-9.18358	-0.4938	9.61485	-5.69649	-0.19726	9.6283	10.3238	-0.01835	9.61618	-9.2888	-0.08258	9.61619	6.95765	-0.05204	9.61619	-1.6501	0.04698
328.937	9.62354	3.3318	-1.30529	9.61736	0.6555	-3.9235	9.6187	6.31927	-0.94768	9.61772	-74	-0.02986	9.61763	-6.17594	-0.55437	9.61478	-7.69033	-0.23143	9.62822	12.321	0.0176	9.61611	-9.28662	-0.11117	9.61612	10.9588	-0.00934	9.61612	-2.64717	0.03857
328.94	9.62346	5.35531	-1.41983	9.61729	-1.30724	-4.07043	9.61863	4.34149	-1.04658	9.61765	-71	-0.01254	9.61756	-2.16829	-0.60498	9.61471	-9.68417	-0.27056	9.62815	12.3183	0.05355	9.61604	-9.28443	-0.13975	9.61604	11.96	0.03584	9.61604	-4.64425	0.02519
328.942	9.62339	7.37882	-1.52935	9.61721	-4.26998	-4.22473	9.61855	2.3637	-1.15039	9.61758	-69	0.00975	9.61749	-0.16065	-0.6506	9.61464	-10.678	-0.31216	9.62808	11.3156	0.08701	9.61596	-8.28224	-0.16585	9.61597	12.9612	0.08352	9.61597	-6.64132	0.00684
328.945	9.62332	8.40233	-1.63632	9.61714	-6.23272	-4.38392	9.61848	1.38592	-1.25664	9.61751	-67	0.03701	9.61741	0.84699	-0.69371	9.61456	-11.6719	-0.35623	9.62801	10.3129	0.11797	9.61589	-8.28006	-0.19194	9.6159	12.9623	0.13119	9.6159	-7.63839	-0.01398
328.947	9.62324	9.42584	-1.74075	9.61707	-9.19547	-4.55046	9.61841	-0.59187	-1.3678	9.61743	-66	0.06676	9.61734	1.85464	-0.73431	9.61449	-11.6657	-0.40029	9.62793	8.31015	0.14396	9.61582	-8.27787	-0.21802	9.61583	11.9635	0.17639	9.61583	-9.63546	-0.03977
328.95	9.62317	10.4494	-1.84263	9.617	-10.1582	-4.71941	9.61833	-1.56965	-1.4814	9.61736	-66	0.09651	9.61727	3.86228	-0.76993	9.61442	-9.65954	-0.43936	9.62786	6.30743	0.16496	9.61575	-7.27569	-0.24161	9.61575	10.9647	0.2191	9.61575	-10.6325	-0.06804
328.952	9.6231	11.4729	-1.94197	9.61692	-10.121	-4.88826	9.61826	-0.54743	-1.59245	9.61729	-67	0.12378	9.6172	5.86993	-0.80055	9.61435	-8.65338	-0.47592	9.62779	4.3047	0.18099	9.61567	-7.2735	-0.26519	9.61568	9.96581	0.25932	9.61568	-9.6296	-0.09382
328.955	9.62303	11.4964	-2.04125	9.61685	-9.08369	-5.05453	9.61819	-0.52522	-1.70345	9.61722	-67	0.15104	9.61712	7.87757	-0.82618	9.61427	-7.64722	-0.50999	9.62771	1.30198	0.18955	9.6156	-7.27132	-0.28877	9.61561	8.96698	0.29707	9.61561	-9.62667	-0.11959
328.957	9.62295	12.5199	-2.13798	9.61678	-8.04643	-5.21822	9.61812	-1.503	-1.81688	9.61714	-67	0.17831	9.61705	8.88521	-0.84931	9.6142	-6.64107	-0.54155	9.62764	0.29926	0.19561	9.61553	-6.26913	-0.30986	9.61554	7.96814	0.33232	9.61554	-9.62375	-0.14535
328.96	9.62288	11.5434	-2.23714	9.6167	-7.00917	-5.37933	9.61804	-1.48078	-1.93026	9.61707	-67	0.20557	9.61698	9.89286	-0.86993	9.61413	-7.63491	-0.57559	9.62757	0.29653	0.20167	9.61546	-6.26695	-0.33095	9.61546	6.96931	0.3651	9.61546	-9.62082	-0.1711
328.962	9.62281	10.5669	-2.33873	9.61663	-5.97191	-5.53786	9.61797	-2.45857	-2.04606	9.617	-66	0.23532	9.6169	8.9005	-0.89301	9.61406	-7.62875	-0.60961	9.6275	1.29381	0.21021	9.61538	-7.26476	-0.35451	9.61539	4.97048	0.39291	9.61539	-8.61789	-0.19436
328.965	9.62274	9.59041	-2.44275	9.61656	-5.93465	-5.69631	9.6179	-2.43635	-2.16181	9.61692	-66	0.26507	9.61683	8.90815	-0.91608	9.61398	-7.62259	-0.64361	9.62742	2.29109	0.22123	9.61531	-7.26257	-0.37807	9.61532	2.97164	0.41574	9.61532	-7.61496	-0.21513
328.967	9.62266	7.61392	-2.55168	9.61649	-4.89739	-5.85217	9.61783	-1.41414	-2.27502	9.61685	-67	0.29233	9.61676	10.9158	-0.93416	9.61391	-7.61643	-0.6776	9.62735	2.28837	0.23224	9.61524	-7.26039	-0.40162	9.61524	0.97281	0.43361	9.61524	-5.61203	-0.23092
328.97	9.62259	6.63743	-2.66304	9.61641	-4.86014	-6.00794	9.61775	-1.39192	-2.38817	9.61678	-67	0.3196	9.61669	10.9234	-0.95222	9.61384	-8.61027	-0.71406	9.62728	4.28564	0.24822	9.61516	-7.2582	-0.42517	9.61517	-2.02603	0.44402	9.61517	-4.6091	-0.24421
328.972	9.62252	6.66094	-2.77434	9.61634	-5.82288	-6.1661	9.61768	0.6303	-2.4963	9.61671	-68	0.34437	9.61661	9.93108	-0.97274	9.61376	-9.60411	-0.75299	9.62721	5.28292	0.26668	9.61509	-8.25602	-0.4512	9.6151	-4.02486	0.44946	9.6151	-3.60618	-0.25501
328.975	9.62244	6.68445	-2.88558	9.61627	-6.78562	-6.32666	9.61761	2.65251	-2.5994	9.61663	-70	0.36418	9.61654	8.93872	-0.99573	9.61369	-9.59796	-0.79191	9.62713	6.2802	0.28761	9.61502	-8.25383	-0.47722	9.61503	-6.02369	0.44993	9.61503	-2.60325	-0.26331
328.977	9.62237	5.70796	-2.99925	9.6162	-7.74836	-6.48961	9.61753	3.67473	-2.69995	9.61656	-70	0.38398	9.61647	7.94637	-1.02119	9.61362	-8.5918	-0.82832	9.62706	6.27747	0.30854	9.61495	-8.25165	-0.50324	9.61495	-8.02253	0.44543	9.61495	-2.60032	-0.27161
328.98	9.6223	4.73148	-3.11535	9.61612	-8.7111	-6.65495	9.61746	3.69694	-2.80045	9.61649	-69	0.40627	9.6164	7.95401	-1.04664	9.61355	-8.58564	-0.86472	9.62699	6.27475	0.32947	9.61487	-9.24946	-0.53174	9.61488	-10.0214	0.43596	9.61488	-2.59739	-0.2799
328.982	9.62223	4.75499	-3.23139	9.61605	-9.67384	-6.82269	9.61739	3.71916	-2.9009	9.61642	-69	0.42856	9.61632	6.96166	-1.07454	9.61347	-8.57948	-0.9011	9.62691	7.27203	0.35287	9.6148	-9.24728	-0.56023	9.61481	-11.0202	0.42401	9.61481	-1.59446	-0.2857
328.985	9.62215	5.7785	-3.34489	9.61598	-6.63658	-6.98288	9.61732	2.74138	-3.00378	9.61634	-69	0.45086	9.61625	5.9693	-1.10492	9.6134	-7.57332	-0.93499	9.62684	7.26931	0.37626	9.61473	-9.24509	-0.58872	9.61474	-13.019	0.40709	9.61474	-0.59153	-0.289
328.987	9.62208	6.80201	-3.45584	9.61591	-3.59932	-7.13551	9.61724	1.76359	-3.10908	9.61627	-68	0.47563	9.61618	5.97694	-1.13528	9.61333	-5.56716	-0.96388	9.62677	6.26658	0.39717	9.61466	-7.2429	-0.61223	9.61466	-14.0179	0.38768	9.61466	-1.5886	-0.29479
328.99	9.62201	7.82552	-3.56424	9.61583	-1.56206	-7.28308	9.61717	0.78581	-3.21682	9.6162	-66	0.50538	9.61611	5.98459	-1.16561	9.61326	-2.561	-0.9853	9.6267	5.26386	0.41558	9.61458	-5.24072	-0.63076	9.61459	-16.0167	0.36331	9.61459	-4.58568	-0.30802
328.992	9.62194	9.84903	-3.66762	9.61576	0.47519	-7.42558	9.6171	0.80803	-3.32451	9.61613	-64	0.5401	9.61603	5.99223	-1.19593	9.61318	-1.55485	-1.00422	9.62662	4.26114	0.43149	9.61451	-4.23853	-0.6468	9.61452	-16.0155	0.33894	9.61452	-6.58275	-0.32622
328.995	9.62186	12.8725	-3.76347	9.61569	1.51245	-7.56551	9.61703	1.83024	-3.42965	9.61605	-61	0.58229	9.61596	4.99988	-1.22872	9.61311	-1.54869	-1.02312	9.62655	2.25841	0.44243	9.61444	-4.23635	-0.66283	9.61445	-14.0144	0.31954	9.61445	-9.57982	-0.35187
328.997	9.62179	14.8961	-3.8543	9.61561	1.54971	-7.70534	9.61695	1.85246	-3.53474	9.61598	-59	0.62944	9.61589	5.00752	-1.26148	9.61304	-1.54253	-1.04201	9.62648	0.25569	0.44839	9.61437	-4.23416	-0.67886	9.61437	-12.0132	0.30512	9.61437	-11.5769	-0.38249
329	9.62172	16.9196	-3.94009	9.61554	2.58697	-7.84259	9.61688	-0.12533	-3.64474	9.61591	-58	0.67908	9.61581	5.01516	-1.29423	9.61297	-1.53637	-1.06088	9.62641	-1.74703	0.44937	9.61429	-3.23198	-0.6924	9.6143	-11.012	0.29319	9.6143	-11.574	-0.4131
329.002	9.62164	17.9431	-4.02334	9.61547	4.62423	-7.97478	9.61681	-0.10311	-3.75469	9.61583	-56	0.7337	9.61574	7.02281	-1.32199	9.61289	-1.53021	-1.07973	9.62633	-2.74975	0.44785	9.61422	-2.22979	-0.70344	9.61423	-10.0109	0.28374	9.61423	-11.571	-0.4437
329.005	9.62157	18.9666	-4.10405	9.6154	6.66149	-8.1019	9.61674	0.91911	-3.8621	9.61576	-56	0.78831	9.61567	8.03045	-1.34724	9.61282	-0.52405	-1.09609	9.62626	-0.75248	0.4513	9.61415	-1.22761	-0.712	9.61415	-9.0097	0.27679	9.61415	-10.5681	-0.47181
329.007	9.6215	17.9901	-4.18718	9.61532	6.69875	-8.22893	9.61666	1.94132	-3.96696	9.61569	-57	0.84044	9.6156	8.0381	-1.37247	9.61275	-0.5179	-1.11243	9.62619	0.2448	0.45723	9.61407	-0.22542	-0.71806	9.61408	-8.00854	0.27233	9.61408	-9.56518	-0.49743
329.01	9.62143	18.0136	-4.27026	9.61525	7.73601	-8.35338	9.61659	3.96354	-4.0668	9.61562	-60	0.8851	9.61552	8.04574	-1.39768	9.61267	-1.51174	-1.13124	9.62611	0.24208	0.46316	9.614	0.77677	-0.72163	9.61401	-7.00737	0.27035	9.61401	-7.56225	-0.51806
329.012	9.62135	18.0371	-4.35327	9.61518	7.77327	-8.47774	9.61652	4.98575	-4.1641	9.61554	-63	0.92231	9.61545	8.05339	-1.42288	9.6126	-2.50558	-1.15252	9.62604	0.23935	0.46907	9.61393	1.77895	-0.72271	9.61394	-7.0062	0.26838	9.61394	-6.55932	-0.5362
329.015	9.62128	16.0606	-4.4412	9.61511	7.81052	-8.60201	9.61644	6.00797	-4.25885	9.61547	-66	0.95206	9.61538	8.06103	-1.44805	9.61253	-3.49942	-1.17627	9.62597	1.23663	0.47747	9.61386	2.78114	-0.72129	9.61386	-7.00504	0.26641	9.61386	-4.55639	-0.54936
329.017	9.62121	15.0841	-4.53156	9.61503	7.84778	-8.72618	9.61637	8.03019	-4.34858	9.6154	-70	0.97187	9.61531	7.06867	-1.47569	9.61246	-2.49326	-1.19752	9.6259	1.23391	0.48586	9.61378	0.78332	-0.72485	9.61379	-7.00387	0.26444	9.61379	-3.55346	-0.56003
329.019	9.62114	14.1076	-4.62435	9.61496	6.88504	-8.85275	9.6163	11.0524	-4.43079	9.61533	-72	0.9867	9.61523	5.07632	-1.50829	9.61238	-1.4871	-1.21627	9.62582	-0.76881	0.48927	9.61371	-0.21449	-0.73088	9.61372	-6.00271	0.26497	9.61372	-3.55053	-0.57069
329.022	9.62106	13.1312	-4.71956	9.61489	5.9223	-8.98171	9.61623	13.0746	-4.50798	9.61525	-73	0.99905	9.61516	3.08396	-1.54584	9.61231	-0.48094	-1.23252	9.62575	-2.77154	0.4877	9.61364	-1.21231	-0.7394	9.61365	-6.00154	0.26549	9.61365	-2.54761	-0.57886
329.024	9.62099	11.1547	-4.81969	9.61482	3.95956	-9.11555	9.61615	16.0968	-4.57764	9.61518	-75	1.00642	9.61509	2.09161	-1.58586	9.61224	2.52521	-1.24129	9.62568	-4.77426	0.48115	9.61357	-1.21012	-0.74791	9.61357	-5.00037	0.26851	9.61357	-3.54468	-0.58951
329.027	9.62092	10.1782	-4.92224	9.61474	3.99682	-9.2493	9.61608	18.1191	-4.64229	9.61511	-76	1.0113	9.61502	0.09925	-1.63083	9.61217	5.53137	-1.24259	9.6256	-7.77698	0.46714	9.61349	-2.20794	-0.7589	9.6135	-5.99921	0.26904	9.6135	-4.54175	-0.60263
329.029	9.62085	9.20168	-5.02723	9.61467	4.03408	-9.38295	9.61601	21.1413	-4.69942	9.61504	-78	1.01122	9.61494	0.1069	-1.67578	9.61209	8.53753	-1.23642	9.62553	-9.77971	0.44815	9.61342	-4.20575	-0.77486	9.61343	-6.99804	0.26709	9.61343	-5.53882	-0.61824
329.032	9.62077	10.2252	-5.12967	9.6146	3.07134	-9.519	9.61594	24.1635	-4.74903	9.61496	-78	1.01113	9.61487	0.11454	-1.72071	9.61202	10.5437	-1.22525	9.62546	-10.7824	0.42666	9.61335	-7.20356	-0.79827	9.61336	-5.99687	0.26763	9.61336	-5.53589	-0.63383
329.034	9.6207	11.2487	-5.22956	9.61452	3.1086	-9.65496	9.61586	26.1857	-4.79361	9.61489	-78	1.01105	9.6148	2.12218	-1.76065	9.61195	10.5498	-1.21407	9.62539	-10.7852	0.40516	9.61328	-9.20138	-0.82665	9.61328	-4.99571	0.27065	9.61328	-5.53296	-0.64942
329.037	9.62063	12.2722	-5.32691	9.61445	2.14585	-9.79331	9.61579	29.2079	-4.83069	9.61482	-77	1.01345	9.61472	3.12983	-1.79809	9.61188	8.55601	-1.20785	9.62531	-10.7879	0.38366	9.6132	-12.1992	-0.86248	9.61321	-4.99454	0.27368	9.61321	-6.53004	-0.66749
329.039	9.62055	14.2957	-5.41923	9.61438	2.18311	-9.93157	9.61572	31.2301	-4.86273	9.61474	-77	1.01585	9.61465	3.13747	-1.8355	9.6118	5.56216	-1.20907	9.62524	-9.7906	0.36464	9.61313	-14.197	-0.90328	9.61314	-4.99338	0.27671	9.61314	-7.52711	-0.68804
329.042	9.62048	16.3192	-5.50652	9.61431	1.22037	-10.0722	9.61565	32.2524	-4.89223	9.61467	-77	1.01825	9.61458	3.14512	-1.8729	9.61173	1.56832	-1.22023	9.62517	-8.79332	0.3481	9.61306	-14.1948	-0.94407	9.61306	-3.99221	0.28224	9.61306	-8.52418	-0.71107
329.044	9.62041	17.3427	-5.59126	9.61423	1.25763	-10.2128	9.61557	32.2746	-4.92168	9.6146	-78	1.01816	9.61451	4.15276	-1.90779	9.61166	-0.42552	-1.23634	9.6251	-7.79604	0.33404	9.61299	-15.1926	-0.98735	9.61299	-3.99104	0.28776	9.61299	-9.52125	-0.73657
329.047	9.62034	17.3663	-5.67594	9.61416	1.29489	-10.3532	9.6155	32.2968	-4.95107	9.61453	-79	1.01559	9.61443	5.1604	-1.94018	9.61159	-2.41936	-1.2574	9.62502	-8.79877	0.31749	9.61291	-14.1905	-1.02813	9.61292	-1.98988	0.29826	9.61292	-9.51832	-0.76207
329.049	9.62026	16.3898	-5.76306	9.61409	2.33215	-10.4911	9.61543	31.319	-4.98289	9.61445	-78	1.0155	9.61436	5.16805	-1.97255	9.61151	-4.4132	-1.28343	9.62495	-8.80149	0.30092	9.61284	-13.1883	-1.06643	9.61285	0.01129	0.31374	9.61285	-8.51539	-0.78508
329.052	9.62019	15.4133	-5.8526	9.61402	3.36941	-10.6264	9.61535	30.3412	-5.01715	9.61438	-77	1.0179	9.61429	5.17569	-2.0049	9.61144	-6.40704	-1.31441	9.62488	-9.80421	0.28187	9.61277	-12.1861	-1.10223	9.61277	2.01245	0.33419	9.61277	-7.51246	-0.80559
329.054	9.62012	13.4368	-5.94705	9.61394	4.40667	-10.7592	9.61528	27.3634	-5.0588	9.61431	-74	1.02776	9.61422	5.18334	-2.03723	9.61137	-7.40088	-1.34786	9.6248	-12.8069	0.25535	9.61269	-11.1839	-1.13553	9.6127	4.01362	0.35962	9.6127	-6.50954	-0.82361
329.057	9.62005	12.4603	-6.04393	9.61387	7.44392	-10.8843	9.61521	23.3856	-5.11035	9.61424	-72	1.04259	9.61414	6.19098	-2.06705	9.61129	-9.39473	-1.38627	9.62473	-15.8097	0.22136	9.61262	-10.1817	-1.16635	9.61263	6.01479	0.39002	9.61263	-5.50661	-0.83913
329.059	9.61997	10.4838	-6.14573	9.6138	9.48118	-11.0045	9.61514	22.4079	-5.16433	9.61416	-70	1.0624	9.61407	8.19862	-2.09188	9.61122	-10.3886	-1.42716	9.62466	-17.8124	0.1824	9.61255	-8.17952	-1.19219	9.61256	7.01595	0.42291	9.61256	-4.50368	-0.85216
329.062	9.6199	8.50732	-6.25244	9.61373	10.5184	-11.122	9.61506	21.4301	-5.22074	9.61409	-67	1.08966	9.614	10.2063	-2.11172	9.61115	-11.3824	-1.47051	9.62459	-18.8151	0.14094	9.61248	-6.17734	-1.21305	9.61248	6.01712	0.45332	9.61248	-3.50075	-0.8627
329.064	9.61983	5.53083	-6.36655	9.61365	10.5557	-11.2394	9.61499	19.4523	-5.28207	9.61402	-66	1.11941	9.61393	14.2139	-2.1216	9.61108	-12.3763	-1.51633	9.62451	-18.8178	0.09947	9.6124	-5.17515	-1.23142	9.61241	5.01828	0.48124	9.61241	-3.49782	-0.87323
329.067	9.61975	2.55434	-6.48806	9.61358	10.593	-11.3568	9.61492	19.4745	-5.34334	9.61395	-64	1.15413	9.61385	17.2216	-2.124	9.611	-12.3701	-1.56214	9.62444	-17.8206	0.06049	9.61233	-3.17297	-1.24481	9.61234	4.01945	0.50669	9.61234	-3.49489	-0.88375
329.069	9.61968	0.57785	-6.61449	9.61351	9.63022	-11.4765	9.61485	18.4967	-5.40704	9.61387	-63	1.19134	9.61378	19.2292	-2.12141	9.61093	-12.3639	-1.60793	9.62437	-16.8233	0.02398	9.61226	-2.17078	-1.25571	9.61227	4.02062	0.53213	9.61227	-4.49196	-0.89675
329.072	9.61961	-1.39864	-6.74582	9.61344	9.66748	-11.5962	9.61477	17.5189	-5.47318	9.6138	-62	1.23104	9.61371	21.2369	-2.11382	9.61086	-13.3578	-1.6562	9.6243	-17.826	-0.01502	9.61219	-0.16859	-1.26163	9.61219	4.02178	0.55758	9.61219	-4.48904	-0.90975
329.074	9.61954	-2.37513	-6.87959	9.61336	8.70474	-11.7182	9.6147	17.5412	-5.53926	9.61373	-63	1.26825	9.61363	21.2445	-2.10622	9.61079	-14.3516	-1.70693	9.62422	-17.8287	-0.05403	9.61211	-0.16641	-1.26754	9.61212	5.02295	0.58551	9.61212	-5.48611	-0.92522
