b1	1
335.366	304.283
335.368	458.837
335.37	618.226
335.372	785.123
335.374	962.422
335.376	1153.36
335.378	1361.61
335.38	1591.49
335.381	1848.11
335.383	2137.61
335.385	2467.54
335.387	2847.23
335.389	3288.38
335.391	3805.83
335.393	4418.65
335.395	5151.59
335.397	6037.28
335.399	7119.22
335.401	8456.28
335.403	10129.5
335.405	12252.1
335.407	14985.5
335.409	18564.9
335.411	23340
335.413	29845
335.415	38918.4
335.417	51916.7
335.419	71106
335.421	100396
335.423	146716
335.424	222444
335.426	348458
335.428	549821
335.43	796780
335.432	778439
335.434	7.55146
335.436	-778424
335.438	-796764
335.44	-549806
335.442	-348443
335.444	-222428
335.446	-146700
335.448	-100380
335.45	-71090.5
335.452	-51901.1
335.454	-38902.7
335.456	-29829.1
335.458	-23324
335.46	-18548.7
335.462	-14969.1
335.464	-12235.4
335.466	-10112.6
335.467	-8439.16
335.469	-7101.8
335.471	-6019.54
335.473	-5133.49
335.475	-4400.14
335.477	-3786.89
335.479	-3268.95
335.481	-2827.26
335.483	-2446.96
335.485	-2116.36
335.487	-1826.1
335.489	-1568.65
335.491	-1337.82
335.493	-1128.5
335.495	-936.371
335.497	-757.712
335.499	-589.27
335.501	-428.114
335.503	-271.535
335.505	-116.946
335.507	38.2091
335.509	196.539
335.511	360.806
335.512	534.024
335.514	719.585
335.516	921.406
335.518	1144.11
335.52	1393.27
335.522	1675.72
335.524	1999.98
335.526	2376.81
335.528	2820.02
335.53	3347.55
335.532	3983.08
335.534	4758.27
335.536	5716.14
335.538	6916.16
335.54	8441.95
335.542	10413.5
335.544	13006.6
335.546	16485.3
335.548	21256.6
335.55	27965.6
335.552	37668.5
335.554	52149.9
335.555	74519.4
335.557	110305
335.559	169175
335.561	265747
335.563	407591
335.565	528017
335.567	389111
335.569	-129842
335.571	-522112
335.573	-490121
335.575	-333079
335.577	-211394
335.579	-135764
335.581	-90179.5
335.583	-62137.3
335.585	-44293.8
335.587	-32532.7
335.589	-24521.5
335.591	-18901.1
335.593	-14853.4
335.595	-11870.4
335.597	-9626.42
335.598	-7907.58
335.6	-6569.43
335.602	-5512.37
335.604	-4666.3
335.606	-3980.92
335.608	-3419.6
335.61	-2955.17
335.612	-2567.27
335.614	-2240.37
335.616	-1962.55
335.618	-1724.49
335.62	-1518.88
335.622	-1339.89
335.624	-1182.84
335.626	-1043.93
335.628	-920.033
335.63	-808.559
335.632	-707.327
335.634	-614.478
335.636	-528.398
335.638	-447.662
335.64	-370.976
335.641	-297.139
335.643	-224.999
335.645	-153.415
335.647	-81.2143
335.649	-7.14998
335.651	70.1517
335.653	152.253
335.655	240.981
335.657	338.533
335.659	447.605
335.661	571.58
335.663	714.778
335.665	882.816
335.667	1083.12
335.669	1325.67
335.671	1624.15
335.673	1997.61
335.675	2473.15
335.677	3090.12
335.679	3907.05
335.681	5013.2
335.683	6548.57
335.685	8739.55
335.686	11964.2
335.688	16874.4
335.69	24625.6
335.692	37281.3
335.694	58322.1
335.696	91925.6
335.698	133134
335.7	130133
335.702	458.172
335.704	-129206
335.706	-132176
335.708	-90912.8
335.71	-57229.1
335.712	-36077.9
335.714	-23275.1
335.716	-15331.1
335.718	-10169.4
335.72	-6616.14
335.722	-3992.92
335.724	-1882.86
335.726	-1.57603
335.728	1879.7
335.729	3989.75
335.731	6612.94
335.733	10166.1
335.735	15327.8
335.737	23271.8
335.739	36074.5
335.741	57225.6
335.743	90909.2
335.745	132172
335.747	129202
335.749	-462.079
335.751	-130137
335.753	-133138
335.755	-91930
335.757	-58326.6
335.759	-37286.1
335.761	-24630.6
335.763	-16879.7
335.765	-11969.7
335.767	-8745.44
335.769	-6554.81
335.771	-5019.81
335.772	-3914.08
335.774	-3097.6
335.776	-2481.13
335.778	-2006.15
335.78	-1633.3
335.782	-1335.5
335.784	-1093.69
335.786	-894.21
335.788	-727.086
335.79	-584.902
335.792	-462.055
335.794	-354.241
335.796	-258.095
335.798	-170.94
335.8	-90.6048
335.802	-15.2897
335.804	56.5337
335.806	126.199
335.808	194.907
335.81	263.774
335.812	333.874
335.814	406.277
335.815	482.089
335.817	562.481
335.819	648.737
335.821	742.291
335.823	844.784
335.825	958.119
335.827	1084.55
335.829	1226.75
335.831	1387.99
335.833	1572.23
335.835	1784.38
335.837	2030.56
335.839	2318.49
335.841	2657.98
335.843	3061.69
335.845	3546.06
335.847	4132.79
335.849	4850.83
335.851	5739.41
335.853	6852.48
335.855	8265.55
335.857	10086.2
335.859	12471.2
335.86	15653.6
335.862	19989.6
335.864	26038.2
335.866	34703.7
335.868	47496.8
335.87	67023.8
335.872	97904.4
335.874	148391
335.876	232402
335.878	366645
335.88	531286
335.882	519061
335.884	109.225
335.886	-518842
335.888	-531066
335.89	-366424
335.892	-232178
