bcuso4	cuso4	bcucl2	cucl2
293.016	0.118911	298.016	2.60666
293.065	0.120806	298.065	2.50697
293.113	0.122744	298.113	2.42728
293.162	0.124727	298.162	2.36761
293.211	0.126756	298.211	2.32772
293.260	0.128832	298.260	2.30733
293.309	0.130958	298.309	2.30622
293.358	0.133134	298.358	2.32433
293.407	0.135363	298.407	2.36179
293.456	0.137645	298.456	2.41889
293.504	0.139982	298.504	2.49606
293.553	0.142378	298.553	2.59372
293.602	0.144832	298.602	2.71217
293.651	0.147347	298.651	2.85127
293.700	0.149926	298.700	3.01010
293.749	0.152570	298.749	3.18650
293.798	0.155281	298.798	3.37645
293.847	0.158062	298.847	3.57357
293.895	0.160916	298.895	3.76875
293.944	0.163843	298.944	3.95027
293.993	0.166849	298.993	4.10471
294.042	0.169934	299.042	4.21876
294.091	0.173102	299.091	4.28166
294.140	0.176355	299.140	4.28756
294.189	0.179698	299.189	4.23694
294.238	0.183133	299.238	4.13650
294.286	0.186663	299.286	3.99746
294.335	0.190292	299.335	3.83319
294.384	0.194023	299.384	3.65680
294.433	0.197862	299.433	3.47951
294.482	0.201811	299.482	3.30992
294.531	0.205874	299.531	3.15394
294.580	0.210057	299.580	3.01522
294.629	0.214365	299.629	2.89568
294.677	0.218801	299.677	2.79608
294.726	0.223371	299.726	2.71647
294.775	0.228080	299.775	2.65653
294.824	0.232935	299.824	2.61579
294.873	0.237941	299.873	2.59384
294.922	0.243104	299.922	2.59037
294.971	0.248432	299.971	2.60529
295.020	0.253930	300.020	2.63868
295.068	0.259607	300.068	2.69085
295.117	0.265470	300.117	2.76221
295.166	0.271528	300.166	2.85324
295.215	0.277788	300.215	2.96433
295.264	0.284260	300.264	3.09556
295.313	0.290955	300.313	3.24633
295.362	0.297880	300.362	3.41496
295.411	0.305049	300.411	3.59813
295.459	0.312471	300.459	3.79032
295.508	0.320160	300.508	3.98338
295.557	0.328127	300.557	4.16648
295.606	0.336387	300.606	4.32673
295.655	0.344954	300.655	4.45077
295.704	0.353843	300.704	4.52704
295.753	0.363070	300.753	4.54823
295.802	0.372653	300.802	4.51313
295.850	0.382610	300.850	4.42686
