b1	1	b2	2	b3	3
340.68	3.6553	340.68	1.5849	343.74	52.097
340.69	3.6765	340.69	1.5993	343.74	54.562
340.7	3.6979	340.7	1.6139	343.75	57.188
340.72	3.7195	340.72	1.6286	343.76	59.99
340.73	3.7413	340.73	1.6436	343.76	62.983
340.74	3.7633	340.74	1.6587	343.77	66.181
340.76	3.7856	340.76	1.674	343.77	69.604
340.77	3.808	340.77	1.6895	343.78	73.272
340.78	3.8306	340.78	1.7052	343.78	77.206
340.8	3.8534	340.8	1.7212	343.79	81.432
340.81	3.8765	340.81	1.7373	343.79	85.976
340.82	3.8998	340.82	1.7536	343.8	90.868
340.84	3.9233	340.84	1.7702	343.81	96.144
340.85	3.947	340.85	1.7869	343.81	101.84
340.86	3.9709	340.86	1.8039	343.82	108
340.88	3.9951	340.88	1.8211	343.82	114.67
340.89	4.0194	340.89	1.8385	343.83	121.9
340.9	4.0441	340.9	1.8562	343.83	129.76
340.92	4.0689	340.92	1.8741	343.84	138.3
340.93	4.094	340.93	1.8923	343.84	147.62
340.94	4.1194	340.94	1.9106	343.85	157.79
340.96	4.145	340.96	1.9293	343.85	168.92
340.97	4.1708	340.97	1.9482	343.86	181.11
340.98	4.1969	340.98	1.9673	343.87	194.49
341	4.2233	341	1.9867	343.87	209.22
341.01	4.2499	341.01	2.0064	343.88	225.46
341.02	4.2768	341.02	2.0263	343.88	243.39
341.04	4.3039	341.04	2.0466	343.89	263.26
341.05	4.3313	341.05	2.0671	343.89	285.31
341.06	4.359	341.06	2.0878	343.9	309.84
341.08	4.387	341.08	2.1089	343.9	337.2
341.09	4.4153	341.09	2.1303	343.91	367.8
341.1	4.4438	341.1	2.152	343.92	402.1
341.12	4.4726	341.12	2.174	343.92	440.66
341.13	4.5018	341.13	2.1963	343.93	484.13
341.14	4.5312	341.14	2.2189	343.93	533.27
341.16	4.5609	341.16	2.2418	343.94	588.97
341.17	4.591	341.17	2.2651	343.94	652.3
341.18	4.6213	341.18	2.2887	343.95	724.51
341.2	4.652	341.2	2.3127	343.95	807.07
341.21	4.683	341.21	2.337	343.96	901.71
341.22	4.7143	341.22	2.3616	343.97	1010.5
341.24	4.7459	341.24	2.3866	343.97	1135.8
341.25	4.7779	341.25	2.412	343.98	1280.3
341.26	4.8103	341.26	2.4378	343.98	1447.4
341.28	4.8429	341.28	2.464	343.99	1640.3
341.29	4.8759	341.29	2.4905	343.99	1863.1
341.3	4.9093	341.3	2.5175	344	2119.5
341.32	4.9431	341.32	2.5448	344	2413.1
341.33	4.9772	341.33	2.5726	344.01	2746.1
341.34	5.0117	341.34	2.6008	344.01	3118.3
341.36	5.0465	341.36	2.6294	344.02	3524.8
341.37	5.0818	341.37	2.6585	344.03	3952.7
341.38	5.1174	341.38	2.688	344.03	4376.8
341.4	5.1534	341.4	2.7179	344.04	4754.2
341.41	5.1899	341.41	2.7484	344.04	5019.3
341.42	5.2267	341.42	2.7793	344.05	5084.1
341.44	5.264	341.44	2.8107	344.05	4846.3
341.45	5.3016	341.45	2.8426	344.06	4214.1
341.46	5.3398	341.46	2.875	344.06	3145.9
341.48	5.3783	341.48	2.9079	344.07	1691.2
341.49	5.4173	341.49	2.9414	344.08	6.3363
341.5	5.4567	341.5	2.9754	344.08	-1678.5
341.52	5.4966	341.52	3.0099	344.09	-3133.2
341.53	5.537	341.53	3.045	344.09	-4201.4
341.54	5.5778	341.54	3.0807	344.1	-4833.6
341.56	5.6191	341.56	3.117	344.1	-5071.4
341.57	5.6609	341.57	3.1539	344.11	-5006.6
341.58	5.7032	341.58	3.1913	344.11	-4741.4
341.6	5.746	341.6	3.2294	344.12	-4364
341.61	5.7893	341.61	3.2682	344.12	-3939.9
341.62	5.8331	341.62	3.3076	344.13	-3511.9
341.64	5.8775	341.64	3.3476	344.14	-3105.3
341.65	5.9224	341.65	3.3884	344.14	-2733
341.66	5.9678	341.66	3.4298	344.15	-2400
341.68	6.0138	341.68	3.4719	344.15	-2106.4
341.69	6.0604	341.69	3.5148	344.16	-1849.9
341.7	6.1076	341.7	3.5584	344.16	-1627
341.72	6.1553	341.72	3.6028	344.17	-1434
341.73	6.2036	341.73	3.648	344.17	-1266.9
341.74	6.2525	341.74	3.6939	344.18	-1122.2
341.76	6.3021	341.76	3.7407	344.19	-996.84
341.77	6.3523	341.77	3.7883	344.19	-887.97
341.78	6.4031	341.78	3.8367	344.2	-793.21
341.8	6.4546	341.8	3.8861	344.2	-710.54
