b	f	mn	mna
304.846	10.3873	1770.71	6198.9
304.87	10.3865	1785.76	6241.37
304.895	10.3856	1801.82	6284.24
304.919	10.3848	1816.87	6327.47
304.943	10.384	1831.93	6371.07
304.968	10.3831	1845.98	6415.02
304.992	10.3823	1860.04	6459.31
305.017	10.3815	1876.09	6503.99
305.041	10.3806	1892.15	6549.06
305.066	10.3798	1910.2	6594.58
305.09	10.379	1927.25	6640.51
305.115	10.3781	1943.31	6686.83
305.139	10.3773	1960.36	6733.57
305.164	10.3765	1977.42	6780.73
305.188	10.3756	1994.47	6828.31
305.212	10.3748	2011.53	6876.3
305.237	10.374	2027.58	6924.69
305.261	10.3732	2044.64	6973.49
305.286	10.3723	2063.69	7022.76
305.31	10.3715	2082.75	7072.49
305.335	10.3707	2102.8	7122.72
305.359	10.3698	2121.86	7173.41
305.384	10.369	2138.91	7224.51
305.408	10.3682	2155.97	7276.04
305.432	10.3673	2175.02	7328.03
305.457	10.3665	2194.08	7380.48
305.481	10.3657	2214.13	7433.43
305.506	10.3649	2235.19	7486.89
305.53	10.364	2257.24	7540.89
305.555	10.3632	2279.3	7595.43
305.579	10.3624	2301.35	7650.51
305.604	10.3615	2322.41	7706.1
305.628	10.3607	2344.46	7762.23
305.652	10.3599	2366.52	7818.91
305.677	10.359	2388.57	7876.12
305.701	10.3582	2410.63	7933.87
305.726	10.3574	2432.68	7992.16
305.75	10.3566	2454.74	8050.99
305.775	10.3557	2477.79	8110.38
305.799	10.3549	2500.85	8170.33
305.824	10.3541	2524.9	8230.88
305.848	10.3533	2546.96	8291.96
305.873	10.3524	2570.01	8353.61
305.897	10.3516	2594.07	8415.84
305.921	10.3508	2618.12	8478.67
305.946	10.3499	2643.18	8542.1
305.97	10.3491	2668.23	8606.15
305.995	10.3483	2694.29	8670.84
306.019	10.3475	2719.34	8736.13
306.044	10.3466	2745.39	8802.07
306.068	10.3458	2771.45	8868.64
306.093	10.345	2797.5	8935.85
306.117	10.3442	2823.56	9003.7
306.141	10.3433	2851.61	9072.23
306.166	10.3425	2877.67	9141.4
306.19	10.3417	2905.72	9211.25
306.215	10.3409	2932.78	9281.77
306.239	10.34	2961.83	9353
306.264	10.3392	2989.89	9424.91
306.288	10.3384	3017.94	9497.51
306.313	10.3375	3047	9570.82
306.337	10.3367	3076.05	9644.84
306.362	10.3359	3104.11	9719.54
306.386	10.3351	3132.16	9794.93
306.41	10.3342	3160.22	9871.01
306.435	10.3334	3188.27	9947.77
306.459	10.3326	3216.33	10025.2
306.484	10.3318	3246.38	10103.4
306.508	10.331	3275.44	10182.3
306.533	10.3301	3304.49	10261.9
306.557	10.3293	3335.55	10342.3
306.582	10.3285	3365.6	10423.4
306.606	10.3277	3395.66	10505.2
306.63	10.3268	3427.71	10587.8
306.655	10.326	3457.77	10671.2
306.679	10.3252	3489.82	10755.3
306.704	10.3244	3520.88	10840.2
306.728	10.3235	3552.93	10925.9
306.753	10.3227	3586.99	11012.4
306.777	10.3219	3622.04	11099.8
306.802	10.3211	3658.1	11188
306.826	10.3203	3695.15	11277.2
306.851	10.3194	3732.21	11367.2
306.875	10.3186	3770.26	11458.2
306.899	10.3178	3808.32	11550.1
306.924	10.317	3846.37	11643
306.948	10.3161	3883.43	11736.8
306.973	10.3153	3920.48	11831.4
306.997	10.3145	3959.53	11927
307.022	10.3137	3997.59	12023.6
307.046	10.3129	4034.64	12121
307.071	10.312	4072.7	12219.4
307.095	10.3112	4110.75	12318.8
307.119	10.3104	4150.81	12419
307.144	10.3096	4191.86	12520.3
307.168	10.3088	4233.92	12622.7
307.193	10.3079	4276.97	12726.1
307.217	10.3071	4320.03	12830.5
307.242	10.3063	4361.08	12935.9
307.266	10.3055	4400.14	13042.3
307.291	10.3046	4441.19	13149.7
307.315	10.3038	4484.25	13258.2
307.339	10.303	4528.3	13367.7
307.364	10.3022	4574.36	13478.3
307.388	10.3014	4620.41	13590.1
307.413	10.3006	4667.47	13703
307.437	10.2997	4714.52	13817.1
307.462	10.2989	4760.58	13932.3
307.486	10.2981	4807.63	14048.7
307.511	10.2973	4855.69	14166.2
307.535	10.2965	4903.74	14284.9
307.56	10.2956	4951.8	14404.8
307.584	10.2948	4997.85	14525.8
307.608	10.294	5044.91	14648
307.633	10.2932	5092.96	14771.3
307.657	10.2924	5142.02	14895.8
307.682	10.2915	5194.07	15021.6
307.706	10.2907	5245.13	15148.7
307.731	10.2899	5296.18	15277
307.755	10.2891	5348.24	15406.6
307.78	10.2883	5401.29	15537.4
307.804	10.2875	5454.35	15669.6
307.828	10.2866	5510.4	15803.1
307.853	10.2858	5566.46	15938
307.877	10.285	5620.51	16074.3
307.902	10.2842	5675.56	16211.8
307.926	10.2834	5729.62	16350.7
307.951	10.2826	5783.67	16491
307.975	10.2817	5837.73	16632.5
308	10.2809	5891.78	16775.4
308.024	10.2801	5946.84	16919.6
308.049	10.2793	6003.89	17065.2
308.073	10.2785	6061.95	17212.2
308.097	10.2777	6121	17360.7
308.122	10.2768	6180.06	17510.6
308.146	10.276	6239.11	17661.9
308.171	10.2752	6298.17	17814.7
308.195	10.2744	6357.22	17969
308.22	10.2736	6415.28	18124.6
308.244	10.2728	6474.33	18281.7
308.269	10.272	6533.39	18440.3
308.293	10.2711	6593.44	18600.3
308.317	10.2703	6655.5	18761.8
308.342	10.2695	6719.55	18924.9
308.366	10.2687	6783.61	19089.6
308.391	10.2679	6849.66	19255.9
308.415	10.2671	6915.72	19423.8
308.44	10.2663	6980.77	19593.3
308.464	10.2654	7046.83	19764.4
308.489	10.2646	7114.88	19937.1
308.513	10.2638	7183.94	20111.6
308.538	10.263	7252.99	20287.7
308.562	10.2622	7321.05	20465.5
308.586	10.2614	7388.1	20645
308.611	10.2606	7455.16	20826.1
308.635	10.2598	7522.21	21008.8
308.66	10.2589	7590.27	21193.2
308.684	10.2581	7658.32	21379.2
308.709	10.2573	7727.38	21567
308.733	10.2565	7795.43	21756.4
308.758	10.2557	7865.49	21947.5
308.782	10.2549	7935.54	22140.3
308.806	10.2541	8007.6	22334.9
308.831	10.2533	8079.65	22531.3
308.855	10.2524	8151.71	22729.4
308.88	10.2516	8223.76	22929.3
308.904	10.2508	8294.81	23130.9
308.929	10.25	8364.87	23334.2
308.953	10.2492	8434.92	23539.2
308.978	10.2484	8504.98	23746
309.002	10.2476	8576.03	23954.5
309.026	10.2468	8647.09	24164.7
309.051	10.246	8718.14	24376.7
309.075	10.2451	8791.2	24590.4
309.1	10.2443	8864.25	24806
309.124	10.2435	8937.31	25023.3
309.149	10.2427	9009.36	25242.4
309.173	10.2419	9081.42	25463.2
309.198	10.2411	9154.47	25685.8
309.222	10.2403	9225.53	25910.2
309.247	10.2395	9297.58	26136.3
309.271	10.2387	9369.64	26364.2
309.295	10.2379	9441.69	26593.9
309.32	10.237	9514.75	26825.3
309.344	10.2362	9588.8	27058.6
309.369	10.2354	9661.86	27293.6
309.393	10.2346	9732.91	27530.4
309.418	10.2338	9803.97	27768.9
309.442	10.233	9874.02	28009.1
309.467	10.2322	9944.08	28251.1
309.491	10.2314	10015.1	28494.7
309.515	10.2306	10085.2	28740.1
309.54	10.2298	10156.2	28987.3
309.564	10.229	10226.3	29236.1
309.589	10.2282	10293.4	29486.6
309.613	10.2273	10359.4	29738.7
309.638	10.2265	10426.5	29992.4
309.662	10.2257	10493.5	30247.8
309.687	10.2249	10559.6	30504.8
309.711	10.2241	10625.6	30763.3
309.736	10.2233	10688.7	31023.5
309.76	10.2225	10750.7	31285.2
309.784	10.2217	10810.8	31548.3
309.809	10.2209	10869.8	31812.9
309.833	10.2201	10926.9	32078.8
309.858	10.2193	10981	32346.1
309.882	10.2185	11034	32614.7
309.907	10.2177	11086.1	32884.6
309.931	10.2169	11137.1	33155.7
309.956	10.2161	11187.2	33428
309.98	10.2152	11236.2	33701.5
310.004	10.2144	11281.3	33976.1
310.029	10.2136	11323.3	34251.8
310.053	10.2128	11363.4	34528.4
310.078	10.212	11402.4	34806
310.102	10.2112	11439.5	35084.5
310.127	10.2104	11473.6	35363.9
310.151	10.2096	11505.6	35644
310.176	10.2088	11533.7	35924.8
310.2	10.208	11559.7	36206.2
310.224	10.2072	11583.8	36488.3
310.249	10.2064	11605.8	36770.8
310.273	10.2056	11626.9	37053.9
310.298	10.2048	11645.9	37337.4
310.322	10.204	11661	37621.4
310.347	10.2032	11676.1	37905.6
310.371	10.2024	11689.1	38190.2
310.396	10.2016	11698.2	38475.1
310.42	10.2008	11705.2	38760.1
310.445	10.2	11708.3	39045.1
310.469	10.1992	11708.3	39330.2
310.493	10.1984	11705.4	39615.2
310.518	10.1976	11697.4	39900
310.542	10.1967	11683.5	40184.5
310.567	10.1959	11666.5	40468.5
310.591	10.1951	11646.6	40752.1
310.616	10.1943	11622.7	41035.1
310.64	10.1935	11594.7	41317.4
310.665	10.1927	11564.8	41598.9
310.689	10.1919	11529.8	41879.6
310.713	10.1911	11490.9	42159.4
310.738	10.1903	11447.9	42438.1
310.762	10.1895	11399	42715.6
310.787	10.1887	11344	42991.8
310.811	10.1879	11284.1	43266.5
310.836	10.1871	11218.1	43539.6
310.86	10.1863	11148.2	43810.9
310.885	10.1855	11074.3	44080.5
310.909	10.1847	10997.3	44348.2
310.934	10.1839	10914.4	44613.9
310.958	10.1831	10827.4	44877.4
310.982	10.1823	10736.5	45138.7
311.007	10.1815	10641.5	45397.7
311.031	10.1807	10542.6	45654.3
311.056	10.1799	10438.6	45908.3
311.08	10.1791	10329.7	46159.6
311.105	10.1783	10215.8	46408.2
311.129	10.1775	10096.8	46653.9
311.154	10.1767	9972.86	46896.5
311.178	10.1759	9844.92	47136.1
311.202	10.1751	9710.97	47372.3
311.227	10.1743	9572.03	47605.1
311.251	10.1735	9427.08	47834.4
311.276	10.1727	9277.14	48060.1
311.3	10.1719	9120.19	48281.9
311.325	10.1711	8958.25	48499.7
311.349	10.1703	8791.3	48713.4
311.374	10.1695	8620.36	48923
311.398	10.1687	8447.41	49128.4
311.423	10.1679	8270.47	49329.4
311.447	10.1671	8089.52	49526
311.471	10.1663	7903.58	49718
311.496	10.1655	7712.63	49905.4
311.52	10.1647	7517.69	50088
311.545	10.1639	7318.74	50265.8
311.569	10.1631	7115.8	50438.6
311.594	10.1623	6909.85	50606.3
311.618	10.1615	6700.91	50769
311.643	10.1607	6487.96	50926.4
311.667	10.16	6270.02	51078.5
311.691	10.1592	6048.07	51225.2
311.716	10.1584	5821.13	51366.3
311.74	10.1576	5591.18	51501.8
311.765	10.1568	5358.23	51631.7
311.789	10.156	5121.29	51755.7
311.814	10.1552	4882.34	51873.9
311.838	10.1544	4641.4	51986.2
311.863	10.1536	4400.45	52092.6
311.887	10.1528	4157.51	52193
311.911	10.152	3912.56	52287.5
311.936	10.1512	3666.62	52375.9
311.96	10.1504	3418.67	52458.3
311.985	10.1496	3169.73	52534.6
312.009	10.1488	2919.78	52604.8
312.034	10.148	2667.84	52668.9
312.058	10.1472	2413.89	52726.7
312.083	10.1464	2159.95	52778.3
312.107	10.1456	1905	52823.7
312.132	10.1448	1651.06	52862.9
312.156	10.144	1396.11	52895.8
312.18	10.1432	1140.17	52922.5
312.205	10.1424	885.223	52943
312.229	10.1417	632.277	52957.3
312.254	10.1409	379.332	52965.3
312.278	10.1401	127.387	52967.3
312.303	10.1393	-122.558	52963.1
312.327	10.1385	-371.503	52952.8
312.352	10.1377	-619.448	52936.5
312.376	10.1369	-865.393	52914.1
312.4	10.1361	-1108.34	52885.9
312.425	10.1353	-1350.28	52851.7
312.449	10.1345	-1589.23	52811.6
312.474	10.1337	-1826.17	52765.8
312.498	10.1329	-2061.12	52714.2
312.523	10.1321	-2293.06	52656.9
312.547	10.1313	-2521.01	52594.1
312.572	10.1305	-2745.95	52525.8
312.596	10.1298	-2968.9	52452
312.621	10.129	-3189.84	52372.8
312.645	10.1282	-3407.79	52288.3
312.669	10.1274	-3620.73	52198.6
312.694	10.1266	-3829.68	52103.8
312.718	10.1258	-4034.63	52004
312.743	10.125	-4234.57	51899.3
312.767	10.1242	-4430.52	51789.7
312.792	10.1234	-4622.46	51675.5
312.816	10.1226	-4809.41	51556.8
312.841	10.1218	-4991.35	51433.5
312.865	10.121	-5169.3	51306
312.889	10.1203	-5343.24	51174.1
312.914	10.1195	-5512.19	51038.2
312.938	10.1187	-5675.13	50898.2
312.963	10.1179	-5832.08	50754.5
312.987	10.1171	-5985.02	50607
313.012	10.1163	-6131.97	50455.8
313.036	10.1155	-6274.91	50301.2
313.061	10.1147	-6413.86	50143.2
313.085	10.1139	-6548.8	49981.9
313.11	10.1131	-6680.75	49817.4
313.134	10.1124	-6807.69	49649.8
313.158	10.1116	-6928.64	49479.2
313.183	10.1108	-7044.58	49305.8
313.207	10.11	-7156.53	49129.6
313.232	10.1092	-7264.47	48950.8
313.256	10.1084	-7367.42	48769.5
313.281	10.1076	-7466.36	48585.8
313.305	10.1068	-7560.31	48399.7
313.33	10.106	-7649.25	48211.5
313.354	10.1053	-7734.2	48021.2
313.378	10.1045	-7815.14	47829
313.403	10.1037	-7890.09	47634.9
313.427	10.1029	-7962.03	47439
313.452	10.1021	-8027.98	47241.6
313.476	10.1013	-8086.92	47042.7
313.501	10.1005	-8141.87	46842.4
313.525	10.0997	-8192.81	46640.9
313.55	10.099	-8239.76	46438.3
313.574	10.0982	-8283.71	46234.6
313.599	10.0974	-8323.65	46029.9
313.623	10.0966	-8358.59	45824.3
313.647	10.0958	-8389.54	45618
313.672	10.095	-8415.49	45411.1
313.696	10.0942	-8437.43	45203.6
313.721	10.0934	-8454.38	44995.7
313.745	10.0927	-8467.32	44787.5
313.77	10.0919	-8477.27	44579
313.794	10.0911	-8482.21	44370.5
313.819	10.0903	-8483.16	44161.9
313.843	10.0895	-8480.1	43953.4
313.867	10.0887	-8474.05	43745
313.892	10.0879	-8464.99	43536.8
313.916	10.0872	-8452.94	43329
313.941	10.0864	-8438.88	43121.5
313.965	10.0856	-8420.83	42914.4
313.99	10.0848	-8400.77	42707.8
314.014	10.084	-8377.72	42501.8
314.039	10.0832	-8352.66	42296.4
314.063	10.0824	-8323.61	42091.7
314.087	10.0817	-8293.55	41887.7
314.112	10.0809	-8259.5	41684.6
314.136	10.0801	-8224.44	41482.3
314.161	10.0793	-8186.39	41281
314.185	10.0785	-8148.33	41080.6
314.21	10.0777	-8109.28	40881.1
314.234	10.0769	-8067.22	40682.7
314.259	10.0762	-8022.17	40485.4
314.283	10.0754	-7974.11	40289.3
314.308	10.0746	-7924.06	40094.3
314.332	10.0738	-7872	39900.7
314.356	10.073	-7817.95	39708.3
314.381	10.0722	-7761.89	39517.4
314.405	10.0715	-7704.84	39327.8
314.43	10.0707	-7645.78	39139.7
314.454	10.0699	-7583.73	38953.1
314.479	10.0691	-7520.67	38768
314.503	10.0683	-7455.62	38584.6
314.528	10.0675	-7388.56	38402.7
314.552	10.0668	-7321.51	38222.5
314.576	10.066	-7251.46	38044.1
314.601	10.0652	-7179.4	37867.3
314.625	10.0644	-7105.35	37692.4
314.65	10.0636	-7031.29	37519.3
314.674	10.0629	-6954.24	37348.1
314.699	10.0621	-6877.18	37178.8
314.723	10.0613	-6799.13	37011.4
314.748	10.0605	-6721.07	36845.9
314.772	10.0597	-6644.02	36682.2
314.797	10.0589	-6565.96	36520.5
314.821	10.0582	-6486.91	36360.7
314.845	10.0574	-6406.85	36202.9
314.87	10.0566	-6326.8	36047
314.894	10.0558	-6245.74	35893.1
314.919	10.055	-6163.69	35741.2
314.943	10.0543	-6080.63	35591.4
314.968	10.0535	-5997.58	35443.6
314.992	10.0527	-5913.52	35297.8
315.017	10.0519	-5829.47	35154.1
315.041	10.0511	-5745.41	35012.4
315.065	10.0504	-5661.36	34872.8
315.09	10.0496	-5575.3	34735.3
315.114	10.0488	-5491.25	34599.9
315.139	10.048	-5406.19	34466.5
315.163	10.0472	-5321.14	34335.2
315.188	10.0465	-5233.08	34206.1
315.212	10.0457	-5145.03	34079.1
315.237	10.0449	-5054.97	33954.3
315.261	10.0441	-4963.92	33831.8
315.285	10.0433	-4872.86	33711.5
315.31	10.0426	-4781.81	33593.4
315.334	10.0418	-4692.75	33477.4
315.359	10.041	-4604.7	33363.7
315.383	10.0402	-4515.64	33252.1
315.408	10.0395	-4427.59	33142.6
315.432	10.0387	-4339.53	33035.4
315.457	10.0379	-4250.48	32930.2
315.481	10.0371	-4161.42	32827.3
315.506	10.0363	-4070.37	32726.6
315.53	10.0356	-3980.31	32628.1
315.554	10.0348	-3890.26	32531.8
315.579	10.034	-3801.21	32437.7
315.603	10.0332	-3711.15	32345.8
315.628	10.0325	-3621.1	32256
315.652	10.0317	-3531.04	32168.5
315.677	10.0309	-3440.99	32083.2
315.701	10.0301	-3351.93	32000.1
315.726	10.0293	-3260.88	31919.1
315.75	10.0286	-3169.82	31840.5
315.774	10.0278	-3078.77	31764
315.799	10.027	-2985.71	31689.8
315.823	10.0262	-2891.66	31617.9
315.848	10.0255	-2799.6	31548.3
315.872	10.0247	-2707.55	31480.9
315.897	10.0239	-2616.49	31415.7
315.921	10.0231	-2526.44	31352.8
315.946	10.0224	-2435.38	31292.1
315.97	10.0216	-2342.33	31233.6
315.995	10.0208	-2251.27	31177.4
316.019	10.02	-2160.22	31123.4
316.043	10.0193	-2070.16	31071.6
316.068	10.0185	-1979.11	31022
316.092	10.0177	-1887.05	30974.7
316.117	10.0169	-1794	30929.6
316.141	10.0162	-1700.94	30886.8
316.166	10.0154	-1607.89	30846.3
316.19	10.0146	-1514.83	30808.1
316.215	10.0138	-1420.78	30772.2
316.239	10.0131	-1326.72	30738.6
316.263	10.0123	-1232.67	30707.2
316.288	10.0115	-1139.61	30678.2
316.312	10.0107	-1046.56	30651.4
316.337	10.01	-952.504	30626.9
316.361	10.0092	-860.449	30604.7
316.386	10.0084	-768.394	30584.7
316.41	10.0076	-676.339	30567
316.435	10.0069	-585.285	30551.5
316.459	10.0061	-494.23	30538.2
316.484	10.0053	-403.175	30527.2
316.508	10.0046	-311.12	30518.4
316.532	10.0038	-221.065	30511.8
316.557	10.003	-131.01	30507.4
316.581	10.0022	-40.9554	30505.2
316.606	10.0015	48.0995	30505.2
316.63	10.0007	139.154	30507.4
316.655	9.99992	231.209	30511.9
316.679	9.99915	325.264	30518.7
316.704	9.99838	420.319	30527.8
316.728	9.99761	514.374	30539.1
316.752	9.99683	608.429	30552.8
316.777	9.99606	701.484	30568.8
316.801	9.99529	793.538	30587
316.826	9.99452	884.593	30607.5
316.85	9.99375	978.648	30630.2
316.875	9.99298	1072.7	30655.2
316.899	9.99221	1167.76	30682.6
316.924	9.99144	1262.81	30712.3
316.948	9.99067	1357.87	30744.3
316.972	9.98989	1453.92	30778.7
316.997	9.98912	1549.98	30815.4
317.021	9.98835	1646.03	30854.4
317.046	9.98758	1742.09	30895.8
317.07	9.98681	1839.14	30939.6
317.095	9.98604	1934.2	30985.7
317.119	9.98527	2028.25	31034.1
317.144	9.9845	2120.31	31084.8
317.168	9.98373	2213.36	31137.7
317.193	9.98296	2306.42	31192.9
317.217	9.9822	2400.47	31250.4
317.241	9.98143	2496.53	31310.2
317.266	9.98066	2592.58	31372.4
317.29	9.97989	2687.64	31437
317.315	9.97912	2781.69	31503.8
317.339	9.97835	2877.75	31573
317.364	9.97758	2973.8	31644.5
317.388	9.97681	3069.86	31718.3
317.413	9.97604	3165.91	31794.6
317.437	9.97528	3260.97	31873.1
317.461	9.97451	3356.02	31954
317.486	9.97374	3450.07	32037.1
317.51	9.97297	3545.13	32122.6
317.535	9.9722	3639.18	32210.4
317.559	9.97144	3735.24	32300.5
317.584	9.97067	3831.29	32393
317.608	9.9699	3928.35	32487.9
317.633	9.96913	4026.4	32585.1
317.657	9.96837	4124.46	32684.8
317.682	9.9676	4221.51	32786.8
317.706	9.96683	4318.57	32891.2
317.73	9.96606	4416.62	32998
317.755	9.9653	4517.68	33107.3
317.779	9.96453	4619.73	33219
317.804	9.96376	4722.79	33333.3
317.828	9.963	4825.84	33450.1
317.853	9.96223	4927.9	33569.4
317.877	9.96147	5029.95	33691.2
317.902	9.9607	5132.01	33815.5
317.926	9.95993	5232.06	33942.2
317.95	9.95917	5332.12	34071.4
317.975	9.9584	5433.17	34203
317.999	9.95764	5534.23	34337.2
318.024	9.95687	5634.28	34473.7
318.048	9.9561	5733.34	34612.7
318.073	9.95534	5832.39	34754.1
318.097	9.95457	5931.45	34898
318.122	9.95381	6031.5	35044.2
318.146	9.95304	6130.56	35192.9
318.171	9.95228	6230.61	35344.1
318.195	9.95151	6328.67	35497.6
318.219	9.95075	6427.72	35653.6
318.244	9.94999	6525.78	35812
318.268	9.94922	6623.83	35972.7
318.293	9.94846	6720.89	36135.8
318.317	9.94769	6817.94	36301.4
318.342	9.94693	6913	36469.2
318.366	9.94617	7010.05	36639.4
318.391	9.9454	7107.1	36812
318.415	9.94464	7204.16	36986.9
318.439	9.94387	7299.21	37164.2
318.464	9.94311	7394.27	37343.8
318.488	9.94235	7490.32	37525.7
318.513	9.94158	7586.38	37710
318.537	9.94082	7680.43	37896.6
318.562	9.94006	7774.49	38085.5
318.586	9.9393	7867.54	38276.7
318.611	9.93853	7960.6	38470.1
318.635	9.93777	8052.65	38665.8
318.659	9.93701	8144.71	38863.8
318.684	9.93625	8236.76	39063.9
318.708	9.93548	8325.82	39266.3
318.733	9.93472	8414.87	39470.9
318.757	9.93396	8500.93	39677.5
318.782	9.9332	8585.98	39886.3
318.806	9.93244	8669.04	40097
318.831	9.93167	8749.09	40309.7
318.855	9.93091	8829.15	40524.4
318.88	9.93015	8907.2	40741
318.904	9.92939	8986.26	40959.5
318.928	9.92863	9062.31	41179.9
318.953	9.92787	9138.37	41402.1
318.977	9.92711	9211.42	41626.2
319.002	9.92635	9283.48	41851.9
319.026	9.92558	9354.53	42079.5
319.051	9.92482	9423.59	42308.7
319.075	9.92406	9489.64	42539.5
319.1	9.9233	9555.7	42772
319.124	9.92254	9619.75	43006
319.148	9.92178	9680.81	43241.5
319.173	9.92102	9738.86	43478.4
319.197	9.92026	9793.92	43716.6
319.222	9.9195	9846.97	43956.2
319.246	9.91874	9897.03	44197
319.271	9.91798	9944.08	44438.9
319.295	9.91722	9988.14	44681.9
319.32	9.91646	10029.2	44926
319.344	9.91571	10068.2	45170.9
319.369	9.91495	10105.3	45416.8
319.393	9.91419	10139.4	45663.5
319.417	9.91343	10170.4	45911
319.442	9.91267	10197.5	46159.1
319.466	9.91191	10220.5	46407.8
319.491	9.91115	10240.6	46657
319.515	9.91039	10255.6	46906.6
319.54	9.90964	10267.7	47156.4
319.564	9.90888	10276.7	47406.5
319.589	9.90812	10282.8	47656.7
319.613	9.90736	10283.8	47907
319.637	9.9066	10278.9	48157.1
319.662	9.90585	10268	48406.9
319.686	9.90509	10253	48656.4
319.711	9.90433	10235.1	48905.5
319.735	9.90357	10211.1	49153.9
319.76	9.90282	10183.2	49401.7
319.784	9.90206	10149.2	49648.7
319.809	9.9013	10113.3	49894.8
319.833	9.90055	10073.3	50139.9
319.858	9.89979	10029.4	50383.9
319.882	9.89903	9981.45	50626.7
319.906	9.89828	9929.51	50868.3
319.931	9.89752	9873.56	51108.5
319.955	9.89676	9813.62	51347.3
319.98	9.89601	9747.67	51584.4
320.004	9.89525	9676.73	51819.8
320.029	9.8945	9601.78	52053.4
320.053	9.89374	9519.84	52284.9
320.078	9.89298	9430.89	52514.3
320.102	9.89223	9333.95	52741.4
320.126	9.89147	9232	52965.9
320.151	9.89072	9127.06	53187.8
320.175	9.88996	9018.11	53407.1
320.2	9.88921	8903.17	53623.6
320.224	9.88845	8781.22	53837.1
320.249	9.8877	8655.28	54047.6
320.273	9.88694	8524.33	54254.8
320.298	9.88619	8389.38	54458.7
320.322	9.88543	8249.44	54659.2
320.346	9.88468	8104.49	54856.2
320.371	9.88392	7951.55	55049.4
320.395	9.88317	7792.6	55238.7
320.42	9.88242	7627.66	55424
320.444	9.88166	7457.71	55605.2
320.469	9.88091	7282.77	55782.1
320.493	9.88015	7101.82	55954.5
320.518	9.8794	6914.88	56122.4
320.542	9.87865	6721.93	56285.5
320.567	9.87789	6525.99	56443.9
320.591	9.87714	6326.04	56597.4
320.615	9.87639	6123.1	56745.9
320.64	9.87563	5915.15	56889.3
320.664	9.87488	5705.21	57027.6
320.689	9.87413	5490.26	57160.7
320.713	9.87337	5272.32	57288.4
320.738	9.87262	5051.37	57410.7
320.762	9.87187	4827.43	57527.5
320.787	9.87112	4598.48	57638.8
320.811	9.87036	4363.54	57744.3
320.835	9.86961	4124.59	57843.9
320.86	9.86886	3883.65	57937.7
320.884	9.86811	3639.7	58025.5
320.909	9.86736	3392.76	58107.3
320.933	9.8666	3143.81	58182.9
320.958	9.86585	2894.87	58252.5
320.982	9.8651	2641.92	58315.9
321.007	9.86435	2386.98	58373.1
321.031	9.8636	2133.03	58424.1
321.056	9.86285	1879.09	58468.8
321.08	9.8621	1623.14	58507.3
321.104	9.86135	1366.2	58539.5
321.129	9.8606	1109.25	58565.5
321.153	9.85984	850.306	58585.1
321.178	9.85909	589.361	58598.3
321.202	9.85834	328.415	58605.1
321.227	9.85759	66.4702	58605.6
321.251	9.85684	-194.475	58599.6
321.276	9.85609	-454.42	58587.3
321.3	9.85534	-713.365	58568.7
321.324	9.85459	-972.31	58543.8
321.349	9.85384	-1229.26	58512.5
321.373	9.85309	-1485.2	58475
321.398	9.85234	-1739.15	58431.3
321.422	9.85159	-1992.09	58381.4
321.447	9.85085	-2243.04	58325.4
321.471	9.8501	-2491.98	58263.3
321.496	9.84935	-2738.93	58195.1
321.52	9.8486	-2982.87	58121
321.545	9.84785	-3224.82	58041
321.569	9.8471	-3463.76	57955.1
321.593	9.84635	-3700.71	57863.4
321.618	9.8456	-3933.65	57766.1
321.642	9.84486	-4160.6	57663.1
321.667	9.84411	-4384.54	57554.8
321.691	9.84336	-4604.49	57441
321.716	9.84261	-4821.43	57321.9
321.74	9.84186	-5034.38	57197.7
321.765	9.84111	-5244.32	57068.2
321.789	9.84037	-5450.27	56933.8
321.813	9.83962	-5653.21	56794.4
321.838	9.83887	-5850.16	56650.2
321.862	9.83812	-6042.1	56501.3
321.887	9.83738	-6230.05	56347.8
321.911	9.83663	-6412.99	56189.8
321.936	9.83588	-6588.94	56027.5
321.96	9.83514	-6760.88	55861
321.985	9.83439	-6925.83	55690.5
322.009	9.83364	-7087.77	55516
322.033	9.8329	-7243.72	55337.7
322.058	9.83215	-7393.66	55155.8
322.082	9.8314	-7538.61	54970.3
322.107	9.83066	-7678.55	54781.3
322.131	9.82991	-7810.5	54589.2
322.156	9.82916	-7939.44	54393.9
322.18	9.82842	-8063.39	54195.6
322.205	9.82767	-8183.33	53994.3
322.229	9.82693	-8298.28	53790.2
322.254	9.82618	-8408.23	53583.5
322.278	9.82544	-8513.17	53374.1
322.302	9.82469	-8613.12	53162.4
322.327	9.82395	-8707.06	52948.3
322.351	9.8232	-8795.01	52732.1
322.376	9.82246	-8876.95	52513.9
322.4	9.82171	-8953.9	52293.7
322.425	9.82097	-9025.84	52071.9
322.449	9.82022	-9094.79	51848.3
322.474	9.81948	-9160.73	51623.2
322.498	9.81873	-9220.68	51396.6
322.522	9.81799	-9276.62	51168.6
322.547	9.81724	-9328.57	50939.3
322.571	9.8165	-9375.51	50708.9
322.596	9.81576	-9417.46	50477.4
322.62	9.81501	-9455.4	50245.1
322.645	9.81427	-9489.35	50011.9
322.669	9.81352	-9519.29	49778
322.694	9.81278	-9545.24	49543.4
322.718	9.81204	-9566.18	49308.3
322.743	9.81129	-9582.13	49072.9
322.767	9.81055	-9595.07	48837.1
322.791	9.80981	-9604.02	48601.1
322.816	9.80907	-9609.96	48364.9
322.84	9.80832	-9610.91	48128.8
