b	f	mn	mna
289.932	10.9216	95.2344	-4.64769
289.956	10.9207	99.2892	-3.40781
289.981	10.9198	103.344	-2.06878
290.005	10.9189	106.399	-0.65508
290.029	10.9179	108.454	0.80887
290.054	10.917	109.509	2.29861
290.078	10.9161	109.564	3.78969
290.103	10.9152	109.618	5.28211
290.127	10.9143	109.673	6.77588
290.152	10.9133	109.728	8.27098
290.176	10.9124	107.783	9.71853
290.201	10.9115	105.838	11.1185
290.225	10.9106	102.893	12.4465
290.249	10.9097	101.948	13.7514
290.274	10.9087	102.003	15.0576
290.298	10.9078	102.057	16.3652
290.323	10.9069	101.112	17.6496
290.347	10.906	101.167	18.9354
290.372	10.9051	100.222	20.1981
290.396	10.9041	99.2769	21.4377
290.421	10.9032	101.332	22.7275
290.445	10.9023	103.387	24.0676
290.47	10.9014	104.442	25.4334
290.494	10.9005	105.496	26.8251
290.518	10.8996	105.551	28.218
290.543	10.8986	105.606	29.6124
290.567	10.8977	103.661	30.9591
290.592	10.8968	102.716	32.2828
290.616	10.8959	102.771	33.6078
290.641	10.895	102.826	34.9341
290.665	10.8941	103.881	36.2863
290.69	10.8931	103.935	37.6398
290.714	10.8922	104.99	39.019
290.738	10.8913	105.045	40.3996
290.763	10.8904	105.1	41.7816
290.787	10.8895	105.155	43.1649
290.812	10.8886	106.21	44.5739
290.836	10.8876	107.265	46.0088
290.861	10.8867	111.319	47.5428
290.885	10.8858	114.374	49.1515
290.91	10.8849	115.429	50.786
290.934	10.884	118.484	52.4952
290.959	10.8831	121.539	54.2791
290.983	10.8822	124.594	56.1377
291.007	10.8812	125.649	58.022
291.032	10.8803	126.704	59.9321
291.056	10.8794	127.758	61.8681
291.081	10.8785	126.813	63.7809
291.105	10.8776	124.868	65.6462
291.13	10.8767	121.923	67.4394
291.154	10.8758	119.978	69.1851
291.179	10.8748	121.033	70.9566
291.203	10.8739	123.088	72.7784
291.227	10.873	126.143	74.6748
291.252	10.8721	129.197	76.6459
291.276	10.8712	133.252	78.7161
291.301	10.8703	136.307	80.8611
291.325	10.8694	138.362	83.0563
291.35	10.8685	139.417	85.2772
291.374	10.8675	142.472	87.5729
291.399	10.8666	144.527	89.9188
291.423	10.8657	146.582	92.3149
291.447	10.8648	148.636	94.7613
291.472	10.8639	150.691	97.2579
291.496	10.863	151.746	99.7803
291.521	10.8621	151.801	102.304
291.545	10.8612	150.856	104.805
291.57	10.8603	149.911	107.282
291.594	10.8593	149.966	109.761
291.619	10.8584	149.021	112.217
291.643	10.8575	149.075	114.674
291.668	10.8566	147.13	117.084
291.692	10.8557	145.185	119.446
291.716	10.8548	143.24	121.76
291.741	10.8539	141.295	124.027
291.765	10.853	141.35	126.295
291.79	10.8521	140.405	128.54
291.814	10.8512	140.459	130.787
291.839	10.8502	141.514	133.059
291.863	10.8493	139.569	135.284
291.888	10.8484	137.624	137.461
291.912	10.8475	135.679	139.59
291.936	10.8466	133.734	141.672
291.961	10.8457	131.789	143.707
291.985	10.8448	128.844	145.669
292.01	10.8439	127.898	147.609
292.034	10.843	127.953	149.549
292.059	10.8421	129.008	151.516
292.083	10.8412	130.063	153.508
292.108	10.8403	130.118	155.502
292.132	10.8394	129.173	157.472
292.157	10.8384	130.228	159.469
292.181	10.8375	133.283	161.54
292.205	10.8366	135.337	163.661
292.23	10.8357	138.392	165.857
292.254	10.8348	141.447	168.127
292.279	10.8339	144.502	170.473
292.303	10.833	146.557	172.868
292.328	10.8321	148.612	175.314
292.352	10.8312	150.667	177.81
292.377	10.8303	153.722	180.381
292.401	10.8294	156.776	183.026
292.425	10.8285	158.831	185.722
292.45	10.8276	161.886	188.492
292.474	10.8267	163.941	191.313
292.499	10.8258	166.996	194.208
292.523	10.8249	170.051	197.178
292.548	10.824	174.106	200.247
292.572	10.823	178.161	203.415
292.597	10.8221	183.215	206.707
292.621	10.8212	186.27	210.073
292.646	10.8203	188.325	213.49
292.67	10.8194	189.38	216.933
292.694	10.8185	190.435	220.401
292.719	10.8176	191.49	223.895
292.743	10.8167	190.545	227.366
292.768	10.8158	192.599	230.887
292.792	10.8149	193.654	234.435
292.817	10.814	195.709	238.032
292.841	10.8131	198.764	241.704
