b1	1	b2	2
346.92	4214.2	347.07	-5297
346.92	4950.1	347.08	-2024.3
346.93	5859.4	347.08	-122.5
346.93	6993.1	347.09	-756.1
346.94	8419.3	347.09	-3744.7
346.94	10230	347.1	-6959.7
346.95	12548	347.1	-8271.4
346.95	15536	347.11	-7468.5
346.96	19404	347.12	-5555.6
346.96	24403	347.12	-3552.3
346.97	30785	347.13	-2234.6
346.97	38671	347.13	-2146
346.98	47716	347.14	-3199.8
346.98	56413	347.14	-4435.7
346.99	61082	347.15	-4893.5
346.99	55569	347.15	-4466.7
347	34370	347.16	-3584.4
347	-0.93662	347.16	-2666.1
347.01	-34372	347.17	-1996.2
347.01	-55571	347.18	-1749.2
347.02	-61084	347.18	-1894.4
347.02	-56414	347.19	-2135.1
347.03	-47717	347.19	-2175.4
347.03	-38673	347.2	-1976.4
347.04	-30787	347.2	-1659.5
347.04	-24405	347.21	-1340.2
347.05	-19406	347.21	-1087.3
347.05	-15538	347.22	-935.3
347.06	-12550	347.22	-876.01
347.06	-10232	347.23	-851.53
347.07	-8421.2	347.24	-804.42
347.07	-6995	347.24	-724.54
347.08	-5861.3	347.25	-631.21
347.08	-4952	347.25	-542.09
347.09	-4216.1	347.26	-465.41
347.09	-3615.4	347.26	-403.86
347.1	-3121.1	347.27	-357.86
347.1	-2711.1	347.27	-325.02
347.11	-2368.6	347.28	-299.31
347.11	-2080.5	347.28	-275.1
347.12	-1836.6	347.29	-250.91
347.12	-1628.8	347.3	-227.86
347.13	-1450.9	347.3	-207.03
347.13	-1297.6	347.31	-188.73
347.14	-1165	347.31	-172.81
347.14	-1049.6	347.32	-158.94
347.15	-948.91	347.32	-146.79
347.15	-860.56	347.33	-136.06
347.15	-782.75	347.33	-126.54
347.16	-713.99	347.34	-118.02
347.16	-652.99	347.34	-110.37
347.17	-598.7	347.35	-103.45
347.17	-550.24	347.36	-97.168
347.18	-506.84	347.36	-91.444
347.18	-467.86	347.37	-86.209
347.19	-432.76	347.37	-81.405
347.19	-401.07	347.38	-76.985
347.2	-372.39	347.38	-72.908
347.2	-346.37	347.39	-69.137
347.21	-322.71	347.39	-65.642
347.21	-301.16	347.4	-62.396
347.22	-281.47	347.4	-59.376
347.22	-263.46	347.41	-56.561
347.23	-246.95	347.42	-53.933
347.23	-231.79	347.42	-51.475
347.24	-217.84	347.43	-49.173
347.24	-204.99	347.43	-47.014
347.25	-193.13	347.44	-44.987
347.25	-182.16	347.44	-43.081
347.26	-172.01	347.45	-41.287
347.26	-162.6	347.45	-39.596
347.27	-153.86	347.46	-38
347.27	-145.74	347.46	-36.494
347.28	-138.18	347.47	-35.069
347.28	-131.13	347.48	-33.722
347.29	-124.56	347.48	-32.445
347.29	-118.42	347.49	-31.235
347.3	-112.67	347.49	-30.087
347.3	-107.29	347.5	-28.997
347.31	-102.25	347.5	-27.961
347.31	-97.523	347.51	-26.975
347.32	-93.081	347.51	-26.038
347.32	-88.906	347.52	-25.145
347.33	-84.977	347.52	-24.294
347.33	-81.276	347.53	-23.482
347.34	-77.788	347.54	-22.707
347.34	-74.497	347.54	-21.968
347.35	-71.39	347.55	-21.261
347.35	-68.454	347.55	-20.586
347.36	-65.677	347.56	-19.939
347.36	-63.049	347.56	-19.321
347.37	-60.559	347.57	-18.728
347.37	-58.2	347.57	-18.161
347.38	-55.962	347.58	-17.617
347.38	-53.838	347.58	-17.095
347.39	-51.82	347.59	-16.594
347.39	-49.903	347.6	-16.113
347.4	-48.079	347.6	-15.652
347.4	-46.344	347.61	-15.208
347.41	-44.691	347.61	-14.782
347.41	-43.117	347.62	-14.371
347.42	-41.616	347.62	-13.977
347.42	-40.184	347.63	-13.597
347.43	-38.818	347.63	-13.231
347.43	-37.513	347.64	-12.879
347.44	-36.267	347.64	-12.539
347.44	-35.075	347.65	-12.212
347.45	-33.936	347.66	-11.896
347.45	-32.845	347.66	-11.591
347.46	-31.802	347.67	-11.297
347.46	-30.802	347.67	-11.014
347.47	-29.844	347.68	-10.74
347.47	-28.926	347.68	-10.475
347.48	-28.045	347.69	-10.219
347.48	-27.2	347.69	-9.9716
347.49	-26.389	347.7	-9.7324
347.49	-25.61	347.7	-9.5011
347.49	-24.862	347.71	-9.2772
347.5	-24.143	347.72	-9.0606
347.5	-23.451	347.72	-8.8508
347.51	-22.786	347.73	-8.6477
347.51	-22.146	347.73	-8.4509
347.52	-21.53	347.74	-8.2603
347.52	-20.937	347.74	-8.0755
347.53	-20.366	347.75	-7.8963
347.53	-19.815	347.75	-7.7226
347.54	-19.285	347.76	-7.5541
347.54	-18.773	347.76	-7.3906
347.55	-18.28	347.77	-7.2319
347.55	-17.804	347.78	-7.0779
347.56	-17.344	347.78	-6.9284
347.56	-16.901	347.79	-6.7832
347.57	-16.472	347.79	-6.6421
347.57	-16.058	347.8	-6.5051
347.58	-15.658	347.8	-6.3719
347.58	-15.271	347.81	-6.2424
347.59	-14.897	347.81	-6.1166
347.59	-14.536	347.82	-5.9942
347.6	-14.186	347.82	-5.8751
347.6	-13.847	347.83	-5.7593
347.61	-13.52	347.84	-5.6466
347.61	-13.202	347.84	-5.5369
347.62	-12.895	347.85	-5.4301
347.62	-12.597	347.85	-5.3262
347.63	-12.309	347.86	-5.2249
347.63	-12.029	347.86	-5.1263
347.64	-11.758	347.87	-5.0303
347.64	-11.495	347.87	-4.9367
347.65	-11.24	347.88	-4.8455
347.65	-10.993	347.88	-4.7566
347.66	-10.753	347.89	-4.6699
347.66	-10.519	347.9	-4.5854
347.67	-10.293	347.9	-4.503
347.67	-10.074	347.91	-4.4226
347.68	-9.8601	347.91	-4.3441
347.68	-9.6528	347.92	-4.2676
347.69	-9.4514	347.92	-4.1929
347.69	-9.2556	347.93	-4.1201
347.7	-9.0653	347.93	-4.0489
347.7	-8.8803	347.94	-3.9795
347.71	-8.7003	347.94	-3.9116
347.71	-8.5253	347.95	-3.8454
347.72	-8.355	347.96	-3.7807
347.72	-8.1893	347.96	-3.7175
347.73	-8.028	347.97	-3.6557
347.73	-7.8711	347.97	-3.5953
347.74	-7.7182	347.98	-3.5364
347.74	-7.5694	347.98	-3.4787
347.75	-7.4244	347.99	-3.4223
347.75	-7.2832	347.99	-3.3672
347.76	-7.1457	348	-3.3133
347.76	-7.0116	348	-3.2606
347.77	-6.8809	348.01	-3.209
347.77	-6.7535	348.02	-3.1586
347.78	-6.6294	348.02	-3.1092
347.78	-6.5083	348.03	-3.0609
347.79	-6.3902	348.03	-3.0137
347.79	-6.275	348.04	-2.9674
347.8	-6.1626	348.04	-2.9221
347.8	-6.0529	348.05	-2.8778
347.81	-5.9459	348.05	-2.8344
347.81	-5.8414	348.06	-2.7918
347.82	-5.7394	348.06	-2.7502
347.82	-5.6399	348.07	-2.7094
347.83	-5.5426	348.08	-2.6695
347.83	-5.4477	348.08	-2.6303
347.84	-5.3549	348.09	-2.592
347.84	-5.2643	348.09	-2.5544
347.84	-5.1758	348.1	-2.5176
347.85	-5.0893	348.1	-2.4815
347.85	-5.0048	348.11	-2.4461
347.86	-4.9221	348.11	-2.4114
347.86	-4.8413	348.12	-2.3774
347.87	-4.7624	348.12	-2.344
347.87	-4.6851	348.13	-2.3113
347.88	-4.6096	348.14	-2.2792
347.88	-4.5357	348.14	-2.2477
347.89	-4.4634	348.15	-2.2169
347.89	-4.3927	348.15	-2.1866
347.9	-4.3236	348.16	-2.1569
347.9	-4.2559	348.16	-2.1277
347.91	-4.1896	348.17	-2.0991
347.91	-4.1248	348.17	-2.071
347.92	-4.0613	348.18	-2.0434
347.92	-3.9991	348.18	-2.0164
347.93	-3.9382	348.19	-1.9898
347.93	-3.8786	348.2	-1.9637
347.94	-3.8203	348.2	-1.9381
347.94	-3.7631	348.21	-1.9129
347.95	-3.7071	348.21	-1.8882
347.95	-3.6522	348.22	-1.864
347.96	-3.5984	348.22	-1.8401
347.96	-3.5458	348.23	-1.8167
347.97	-3.4941	348.23	-1.7937
347.97	-3.4435	348.24	-1.7711
347.98	-3.3939	348.24	-1.7489
347.98	-3.3453	348.25	-1.7271
347.99	-3.2976	348.26	-1.7056
347.99	-3.2508	348.26	-1.6846
348	-3.205	348.27	-1.6638
348	-3.16	348.27	-1.6435
