b1	1	b2	2
343.89	6995	343.72	724.55
343.9	8421.2	343.73	804.42
343.9	10232	343.73	851.54
343.91	12550	343.74	876.02
343.91	15538	343.74	935.31
343.92	19406	343.75	1087.3
343.92	24405	343.76	1340.2
343.93	30787	343.76	1659.5
343.93	38673	343.77	1976.4
343.94	47717	343.77	2175.5
343.94	56414	343.78	2135.2
343.95	61084	343.78	1894.4
343.95	55571	343.79	1749.2
343.96	34372	343.79	1996.2
343.96	0.94475	343.8	2666.1
343.97	-34370	343.8	3584.4
343.97	-55569	343.81	4466.7
343.98	-61082	343.82	4893.5
343.98	-56413	343.82	4435.7
343.99	-47716	343.83	3199.8
343.99	-38671	343.83	2146
344	-30785	343.84	2234.6
344	-24403	343.84	3552.3
344.01	-19404	343.85	5555.6
344.01	-15536	343.85	7468.5
344.02	-12548	343.86	8271.4
344.02	-10230	343.86	6959.7
344.03	-8419.3	343.87	3744.7
344.03	-6993.1	343.88	756.11
344.04	-5859.4	343.88	122.51
344.04	-4950.1	343.89	2024.3
344.05	-4214.2	343.89	5297
344.05	-3613.5	343.9	8434.2
344.05	-3119.2	343.9	9662.4
344.06	-2709.2	343.91	7308
344.06	-2366.7	343.91	1668.8
344.07	-2078.5	343.92	-3882.2
344.07	-1834.6	343.92	-5954.6
344.08	-1626.9	343.93	-4191.7
344.08	-1448.9	343.94	-144.62
344.09	-1295.7	343.94	4605.4
344.09	-1163	343.95	8653.6
344.1	-1047.7	343.95	10225
344.1	-946.93	343.96	7514
344.11	-858.57	343.96	925.67
344.11	-780.76	343.97	-5592.4
344.12	-711.99	343.97	-8107.7
344.12	-650.98	343.98	-6285.3
344.13	-596.69	343.98	-2138
344.13	-548.22	343.99	2083
344.14	-504.81	344	4246.1
344.14	-465.82	344	2569.1
344.15	-430.71	344.01	-2659.1
344.15	-399.02	344.01	-8052.9
344.16	-370.33	344.02	-10226
344.16	-344.3	344.02	-8864.2
344.17	-320.63	344.03	-5629.3
344.17	-299.06	344.03	-2284.5
344.18	-279.36	344.04	-329.2
344.18	-261.34	344.04	-922.92
344.19	-244.82	344.05	-3881.8
344.19	-229.65	344.06	-7074.7
344.2	-215.69	344.06	-8370.4
344.2	-202.82	344.07	-7556.6
344.21	-190.95	344.07	-5637.1
344.21	-179.97	344.08	-3631.5
344.22	-169.81	344.08	-2315.8
344.22	-160.38	344.09	-2234.1
344.23	-151.63	344.09	-3300.6
344.23	-143.5	344.1	-4555.7
344.24	-135.92	344.1	-5038.8
344.24	-128.86	344.11	-4638.3
344.25	-122.27	344.12	-3766.8
344.25	-116.11	344.12	-2804.7
344.26	-110.35	344.13	-1975.7
344.26	-104.96	344.13	-1437.6
