mag	a	aa	b	ba	c	ca	d	da	e	ea	f	fa	g	ga	h	ha	i	ia	k	ka
328.977	5.70796	-2.99925	-7.74836	-6.48961	3.67473	-2.69995	-70	0.38398	7.94637	-1.02119	-8.5918	-0.82832	6.27747	0.30854	-8.25165	-0.50324	-8.02253	0.44543	-2.60032	-0.27161
328.98	4.73148	-3.11535	-8.7111	-6.65495	3.69694	-2.80045	-69	0.40627	7.95401	-1.04664	-8.58564	-0.86472	6.27475	0.32947	-9.24946	-0.53174	-10.0214	0.43596	-2.59739	-0.2799
328.982	4.75499	-3.23139	-9.67384	-6.82269	3.71916	-2.9009	-69	0.42856	6.96166	-1.07454	-8.57948	-0.9011	7.27203	0.35287	-9.24728	-0.56023	-11.0202	0.42401	-1.59446	-0.2857
328.985	5.7785	-3.34489	-6.63658	-6.98288	2.74138	-3.00378	-69	0.45086	5.9693	-1.10492	-7.57332	-0.93499	7.26931	0.37626	-9.24509	-0.58872	-13.019	0.40709	-0.59153	-0.289
328.987	6.80201	-3.45584	-3.59932	-7.13551	1.76359	-3.10908	-68	0.47563	5.97694	-1.13528	-5.56716	-0.96388	6.26658	0.39717	-7.2429	-0.61223	-14.0179	0.38768	-1.5886	-0.29479
328.99	7.82552	-3.56424	-1.56206	-7.28308	0.78581	-3.21682	-66	0.50538	5.98459	-1.16561	-2.561	-0.9853	5.26386	0.41558	-5.24072	-0.63076	-16.0167	0.36331	-4.58568	-0.30802
328.992	9.84903	-3.66762	0.47519	-7.42558	0.80803	-3.32451	-64	0.5401	5.99223	-1.19593	-1.55485	-1.00422	4.26114	0.43149	-4.23853	-0.6468	-16.0155	0.33894	-6.58275	-0.32622
328.995	12.8725	-3.76347	1.51245	-7.56551	1.83024	-3.42965	-61	0.58229	4.99988	-1.22872	-1.54869	-1.02312	2.25841	0.44243	-4.23635	-0.66283	-14.0144	0.31954	-9.57982	-0.35187
328.997	14.8961	-3.8543	1.54971	-7.70534	1.85246	-3.53474	-59	0.62944	5.00752	-1.26148	-1.54253	-1.04201	0.25569	0.44839	-4.23416	-0.67886	-12.0132	0.30512	-11.5769	-0.38249
329	16.9196	-3.94009	2.58697	-7.84259	-0.12533	-3.64474	-58	0.67908	5.01516	-1.29423	-1.53637	-1.06088	-1.74703	0.44937	-3.23198	-0.6924	-11.012	0.29319	-11.574	-0.4131
329.002	17.9431	-4.02334	4.62423	-7.97478	-0.10311	-3.75469	-56	0.7337	7.02281	-1.32199	-1.53021	-1.07973	-2.74975	0.44785	-2.22979	-0.70344	-10.0109	0.28374	-11.571	-0.4437
329.005	18.9666	-4.10405	6.66149	-8.1019	0.91911	-3.8621	-56	0.78831	8.03045	-1.34724	-0.52405	-1.09609	-0.75248	0.4513	-1.22761	-0.712	-9.0097	0.27679	-10.5681	-0.47181
329.007	17.9901	-4.18718	6.69875	-8.22893	1.94132	-3.96696	-57	0.84044	8.0381	-1.37247	-0.5179	-1.11243	0.2448	0.45723	-0.22542	-0.71806	-8.00854	0.27233	-9.56518	-0.49743
329.01	18.0136	-4.27026	7.73601	-8.35338	3.96354	-4.0668	-60	0.8851	8.04574	-1.39768	-1.51174	-1.13124	0.24208	0.46316	0.77677	-0.72163	-7.00737	0.27035	-7.56225	-0.51806
329.012	18.0371	-4.35327	7.77327	-8.47774	4.98575	-4.1641	-63	0.92231	8.05339	-1.42288	-2.50558	-1.15252	0.23935	0.46907	1.77895	-0.72271	-7.0062	0.26838	-6.55932	-0.5362
329.015	16.0606	-4.4412	7.81052	-8.60201	6.00797	-4.25885	-66	0.95206	8.06103	-1.44805	-3.49942	-1.17627	1.23663	0.47747	2.78114	-0.72129	-7.00504	0.26641	-4.55639	-0.54936
329.017	15.0841	-4.53156	7.84778	-8.72618	8.03019	-4.34858	-70	0.97187	7.06867	-1.47569	-2.49326	-1.19752	1.23391	0.48586	0.78332	-0.72485	-7.00387	0.26444	-3.55346	-0.56003
329.019	14.1076	-4.62435	6.88504	-8.85275	11.0524	-4.43079	-72	0.9867	5.07632	-1.50829	-1.4871	-1.21627	-0.76881	0.48927	-0.21449	-0.73088	-6.00271	0.26497	-3.55053	-0.57069
329.022	13.1312	-4.71956	5.9223	-8.98171	13.0746	-4.50798	-73	0.99905	3.08396	-1.54584	-0.48094	-1.23252	-2.77154	0.4877	-1.21231	-0.7394	-6.00154	0.26549	-2.54761	-0.57886
329.024	11.1547	-4.81969	3.95956	-9.11555	16.0968	-4.57764	-75	1.00642	2.09161	-1.58586	2.52521	-1.24129	-4.77426	0.48115	-1.21012	-0.74791	-5.00037	0.26851	-3.54468	-0.58951
329.027	10.1782	-4.92224	3.99682	-9.2493	18.1191	-4.64229	-76	1.0113	0.09925	-1.63083	5.53137	-1.24259	-7.77698	0.46714	-2.20794	-0.7589	-5.99921	0.26904	-4.54175	-0.60263
329.029	9.20168	-5.02723	4.03408	-9.38295	21.1413	-4.69942	-78	1.01122	0.1069	-1.67578	8.53753	-1.23642	-9.77971	0.44815	-4.20575	-0.77486	-6.99804	0.26709	-5.53882	-0.61824
329.032	10.2252	-5.12967	3.07134	-9.519	24.1635	-4.74903	-78	1.01113	0.11454	-1.72071	10.5437	-1.22525	-10.7824	0.42666	-7.20356	-0.79827	-5.99687	0.26763	-5.53589	-0.63383
329.034	11.2487	-5.22956	3.1086	-9.65496	26.1857	-4.79361	-78	1.01105	2.12218	-1.76065	10.5498	-1.21407	-10.7852	0.40516	-9.20138	-0.82665	-4.99571	0.27065	-5.53296	-0.64942
329.037	12.2722	-5.32691	2.14585	-9.79331	29.2079	-4.83069	-77	1.01345	3.12983	-1.79809	8.55601	-1.20785	-10.7879	0.38366	-12.1992	-0.86248	-4.99454	0.27368	-6.53004	-0.66749
329.039	14.2957	-5.41923	2.18311	-9.93157	31.2301	-4.86273	-77	1.01585	3.13747	-1.8355	5.56216	-1.20907	-9.7906	0.36464	-14.197	-0.90328	-4.99338	0.27671	-7.52711	-0.68804
329.042	16.3192	-5.50652	1.22037	-10.0722	32.2524	-4.89223	-77	1.01825	3.14512	-1.8729	1.56832	-1.22023	-8.79332	0.3481	-14.1948	-0.94407	-3.99221	0.28224	-8.52418	-0.71107
329.044	17.3427	-5.59126	1.25763	-10.2128	32.2746	-4.92168	-78	1.01816	4.15276	-1.90779	-0.42552	-1.23634	-7.79604	0.33404	-15.1926	-0.98735	-3.99104	0.28776	-9.52125	-0.73657
329.047	17.3663	-5.67594	1.29489	-10.3532	32.2968	-4.95107	-79	1.01559	5.1604	-1.94018	-2.41936	-1.2574	-8.79877	0.31749	-14.1905	-1.02813	-1.98988	0.29826	-9.51832	-0.76207
329.049	16.3898	-5.76306	2.33215	-10.4911	31.319	-4.98289	-78	1.0155	5.16805	-1.97255	-4.4132	-1.28343	-8.80149	0.30092	-13.1883	-1.06643	0.01129	0.31374	-8.51539	-0.78508
329.052	15.4133	-5.8526	3.36941	-10.6264	30.3412	-5.01715	-77	1.0179	5.17569	-2.0049	-6.40704	-1.31441	-9.80421	0.28187	-12.1861	-1.10223	2.01245	0.33419	-7.51246	-0.80559
329.054	13.4368	-5.94705	4.40667	-10.7592	27.3634	-5.0588	-74	1.02776	5.18334	-2.03723	-7.40088	-1.34786	-12.8069	0.25535	-11.1839	-1.13553	4.01362	0.35962	-6.50954	-0.82361
329.057	12.4603	-6.04393	7.44392	-10.8843	23.3856	-5.11035	-72	1.04259	6.19098	-2.06705	-9.39473	-1.38627	-15.8097	0.22136	-10.1817	-1.16635	6.01479	0.39002	-5.50661	-0.83913
329.059	10.4838	-6.14573	9.48118	-11.0045	22.4079	-5.16433	-70	1.0624	8.19862	-2.09188	-10.3886	-1.42716	-17.8124	0.1824	-8.17952	-1.19219	7.01595	0.42291	-4.50368	-0.85216
329.062	8.50732	-6.25244	10.5184	-11.122	21.4301	-5.22074	-67	1.08966	10.2063	-2.11172	-11.3824	-1.47051	-18.8151	0.14094	-6.17734	-1.21305	6.01712	0.45332	-3.50075	-0.8627
329.064	5.53083	-6.36655	10.5557	-11.2394	19.4523	-5.28207	-66	1.11941	14.2139	-2.1216	-12.3763	-1.51633	-18.8178	0.09947	-5.17515	-1.23142	5.01828	0.48124	-3.49782	-0.87323
329.067	2.55434	-6.48806	10.593	-11.3568	19.4745	-5.34334	-64	1.15413	17.2216	-2.124	-12.3701	-1.56214	-17.8206	0.06049	-3.17297	-1.24481	4.01945	0.50669	-3.49489	-0.88375
329.069	0.57785	-6.61449	9.63022	-11.4765	18.4967	-5.40704	-63	1.19134	19.2292	-2.12141	-12.3639	-1.60793	-16.8233	0.02398	-2.17078	-1.25571	4.02062	0.53213	-4.49196	-0.89675
329.072	-1.39864	-6.74582	9.66748	-11.5962	17.5189	-5.47318	-62	1.23104	21.2369	-2.11382	-13.3578	-1.6562	-17.826	-0.01502	-0.16859	-1.26163	4.02178	0.55758	-4.48904	-0.90975
329.074	-2.37513	-6.87959	8.70474	-11.7182	17.5412	-5.53926	-63	1.26825	21.2445	-2.10622	-14.3516	-1.70693	-17.8287	-0.05403	-0.16641	-1.26754	5.02295	0.58551	-5.48611	-0.92522
329.077	-3.35162	-7.01579	9.742	-11.8377	16.5634	-5.60777	-64	1.30297	20.2521	-2.10108	-13.3455	-1.75516	-17.8314	-0.09304	-0.16422	-1.27345	5.02411	0.61345	-7.48318	-0.94566
329.079	-2.32811	-7.14944	9.77925	-11.957	15.5856	-5.67871	-65	1.33521	21.2598	-2.09344	-13.3393	-1.80338	-18.8342	-0.13455	-2.16204	-1.28433	5.02528	0.6414	-8.48025	-0.96858
329.082	-0.3046	-7.27806	10.8165	-12.0738	14.6078	-5.75208	-65	1.36744	20.2674	-2.08826	-13.3331	-1.85158	-18.8369	-0.17606	-3.15985	-1.29769	4.02645	0.66685	-7.47732	-0.989
329.084	0.71891	-7.40413	10.8538	-12.1905	13.63	-5.82789	-66	1.39719	18.2751	-2.08804	-12.327	-1.89729	-17.8396	-0.21509	-3.15767	-1.31104	4.02761	0.69232	-5.47439	-1.00445
329.087	2.74242	-7.52518	10.891	-12.3071	14.6522	-5.90115	-66	1.42694	17.2827	-2.09029	-12.3208	-1.94297	-16.8423	-0.25165	-4.15548	-1.32687	3.02878	0.71529	-4.47147	-1.0174
329.089	3.76593	-7.64368	11.9283	-12.4212	15.6745	-5.97187	-66	1.45669	17.2904	-2.09252	-12.3147	-1.98864	-14.8451	-0.28324	-4.1533	-1.3427	1.02994	0.7333	-4.46854	-1.03034
329.092	4.78944	-7.75963	12.9656	-12.5326	16.6967	-6.04005	-67	1.48396	18.298	-2.09224	-12.3085	-2.0343	-14.8478	-0.31483	-4.15111	-1.35852	1.03111	0.75132	-4.46561	-1.04328
329.094	5.81295	-7.87304	14.0028	-12.6415	18.7189	-6.1032	-68	1.50873	18.3056	-2.09194	-12.3024	-2.07994	-13.8505	-0.34395	-5.14892	-1.37682	0.03228	0.76684	-3.46268	-1.05372
329.097	7.83646	-7.98142	14.0401	-12.7503	19.7411	-6.16381	-70	1.52854	19.3133	-2.08914	-12.2962	-2.12556	-12.8532	-0.37058	-5.14674	-1.39512	-1.96656	0.7774	-3.45975	-1.06415
329.099	8.85997	-8.08725	15.0773	-12.8565	21.7633	-6.21939	-71	1.54586	19.3209	-2.08632	-12.29	-2.17117	-9.85594	-0.38976	-6.14455	-1.4159	-2.96539	0.78548	-2.45682	-1.0721
329.102	8.88348	-8.19303	14.1146	-12.9651	23.7855	-6.26994	-73	1.5582	18.3286	-2.08596	-10.2839	-2.21179	-8.85867	-0.40647	-7.14237	-1.43916	-2.96423	0.79355	-2.45389	-1.08003
329.104	7.90699	-8.30123	15.1518	-13.0711	24.8077	-6.31796	-75	1.56557	16.3362	-2.09056	-9.27772	-2.24991	-6.86139	-0.41821	-9.14018	-1.46739	-2.96306	0.80163	-2.45097	-1.08796
329.106	7.9305	-8.40938	16.1891	-13.1745	24.83	-6.36591	-77	1.56797	13.3439	-2.1026	-6.27156	-2.28056	-5.86411	-0.42746	-9.138	-1.49561	-2.96189	0.80972	-3.44804	-1.09836
329.109	6.95401	-8.51995	16.2264	-13.2778	26.8522	-6.40884	-78	1.56789	8.35151	-2.12706	-5.2654	-2.3087	-4.86684	-0.43424	-8.13581	-1.52134	-2.96073	0.8178	-4.44511	-1.11125
329.111	6.97753	-8.63046	15.2636	-13.3836	28.8744	-6.44674	-78	1.5678	3.35915	-2.16392	-5.25924	-2.33683	-2.86956	-0.43606	-6.13363	-1.54209	-1.95956	0.82838	-6.44218	-1.1291
329.114	7.00104	-8.74092	14.3009	-13.4917	28.8966	-6.48459	-78	1.56772	1.3668	-2.20574	-4.25308	-2.36245	-0.87228	-0.4329	-5.13144	-1.56035	-0.9584	0.84145	-8.43925	-1.15191
329.116	7.02455	-8.85131	13.3381	-13.6022	27.9188	-6.52487	-77	1.57012	0.37444	-2.25003	-3.24692	-2.38558	0.125	-0.42727	-4.12925	-1.57612	0.04277	0.857	-9.43632	-1.17721
329.119	7.04806	-8.96165	11.3754	-13.7176	24.9411	-6.57254	-75	1.57749	-0.61792	-2.29678	-4.24076	-2.41117	0.12227	-0.42164	-4.12707	-1.59188	0.04394	0.87256	-9.4334	-1.2025
329.121	9.07157	-9.06696	10.4126	-13.8354	22.9633	-6.62514	-73	1.58983	-0.61027	-2.34352	-4.23461	-2.43675	0.11955	-0.41602	-4.12488	-1.60764	-0.9549	0.88563	-8.43047	-1.22529
329.124	11.0951	-9.16724	10.4499	-13.9531	22.9855	-6.67769	-71	1.60715	-0.60263	-2.39023	-3.22845	-2.45983	0.11683	-0.41041	-3.1227	-1.6209	-1.95373	0.89622	-7.42754	-1.24559
329.126	12.1186	-9.26497	10.4872	-14.0707	23.0077	-6.73017	-69	1.62944	0.40502	-2.43444	-2.22229	-2.48041	2.1141	-0.39983	-2.12051	-1.63168	-1.95256	0.90681	-6.42461	-1.2634
329.129	12.1421	-9.36264	11.5244	-14.1858	22.0299	-6.78509	-66	1.65919	-1.58734	-2.4836	-1.21613	-2.49849	5.11138	-0.3818	-2.11833	-1.64244	-2.9514	0.91492	-4.42168	-1.27622
329.131	11.1656	-9.46274	13.5617	-14.2957	22.0521	-6.83996	-63	1.6964	-2.57969	-2.53524	1.79003	-2.50909	8.10866	-0.35632	-2.11614	-1.65321	-3.95023	0.92055	-4.41875	-1.28904
329.134	9.18912	-9.56776	15.599	-14.4006	22.0743	-6.89476	-61	1.73858	-3.57205	-2.58933	3.79619	-2.5147	11.1059	-0.32339	-1.11395	-1.66148	-4.94907	0.92369	-3.41582	-1.29937
329.136	7.21263	-9.67769	17.6362	-14.5005	23.0966	-6.94703	-60	1.78325	-4.56441	-2.6459	6.80235	-2.51284	13.1032	-0.28548	-1.11177	-1.66974	-5.9479	0.92435	-2.4129	-1.3072
329.139	7.23614	-9.78756	18.6735	-14.5977	23.1188	-6.99924	-59	1.83041	-6.55676	-2.70742	7.8085	-2.50848	15.1005	-0.24262	-1.10958	-1.678	-8.94673	0.91755	-2.40997	-1.31503
329.141	7.25965	-9.89737	17.7107	-14.6974	21.141	-7.05637	-58	1.88005	-7.54912	-2.77141	7.81466	-2.5041	15.0978	-0.19976	-1.1074	-1.68626	-12.9456	0.90081	-1.40704	-1.32036
329.144	5.28316	-10.0121	18.748	-14.7944	17.1632	-7.12339	-58	1.92969	-9.54147	-2.84035	6.82082	-2.50219	14.095	-0.15939	-3.10521	-1.69948	-17.9444	0.87165	-0.40411	-1.3232
329.146	3.30667	-10.1317	17.7852	-14.8939	15.1854	-7.19533	-59	1.97684	-12.5338	-2.91673	3.82698	-2.50773	11.0923	-0.12649	-3.10303	-1.7127	-21.9432	0.83254	0.59882	-1.32354
329.149	2.33018	-10.2538	17.8225	-14.9933	14.2076	-7.26969	-61	2.01902	-14.5262	-2.99806	-0.16686	-2.52319	8.0896	-0.10105	-3.10084	-1.72591	-23.9421	0.78846	2.60175	-1.3189
329.151	2.35369	-10.3758	16.8598	-15.0951	14.2299	-7.344	-64	2.05375	-15.5185	-3.08187	-3.1607	-2.5461	6.08688	-0.0806	-5.09866	-1.74409	-24.9409	0.74189	3.60468	-1.31177
329.154	3.3772	-10.4953	15.897	-15.1992	13.2521	-7.42075	-66	2.0835	-16.5109	-3.16813	-5.15455	-2.57397	5.08415	-0.06263	-6.09647	-1.76474	-23.9397	0.69782	3.6076	-1.30464
329.156	3.40071	-10.6147	14.9343	-15.3058	12.2743	-7.49992	-68	2.10827	-15.5033	-3.2519	-7.14839	-2.6068	3.08143	-0.04965	-7.09428	-1.78788	-20.9386	0.6612	4.61053	-1.29501
329.159	4.42422	-10.7316	12.9715	-15.4172	11.2965	-7.58153	-69	2.13056	-14.4956	-3.33316	-8.14223	-2.64209	2.07871	-0.03916	-8.0921	-1.81351	-18.9374	0.62957	5.61346	-1.28288
329.161	6.44773	-10.8434	12.0088	-15.531	10.3187	-7.66557	-68	2.15534	-12.488	-3.40942	-9.13607	-2.67986	1.07598	-0.03116	-9.08991	-1.84161	-16.9362	0.60291	4.61639	-1.27324
329.164	5.47124	-10.9576	11.0461	-15.6473	8.34094	-7.75452	-67	2.18261	-12.4803	-3.48567	-9.12991	-2.71761	0.07326	-0.02566	-9.08773	-1.8697	-14.9351	0.58122	5.61932	-1.2611
329.166	4.49475	-11.0743	10.0833	-15.7659	7.36315	-7.8459	-69	2.2049	-13.4727	-3.56439	-9.12375	-2.75535	-0.92946	-0.02265	-11.0855	-1.90277	-12.9339	0.56451	4.62225	-1.25144
