b	fn2	n2	n2a	fo2	o2	o2a
334.693	9.46249	2987.14	584.959	9.47555	1209.35	326.735
334.694	9.46245	3006.15	588.719	9.47551	1212.36	328.272
334.696	9.46242	3027.17	592.505	9.47548	1216.37	329.814
334.697	9.46238	3046.18	596.315	9.47544	1219.38	331.36
334.698	9.46235	3066.2	600.149	9.47541	1224.38	332.912
334.699	9.46231	3084.21	604.006	9.47537	1227.39	334.467
334.701	9.46228	3103.23	607.887	9.47534	1230.4	336.026
334.702	9.46224	3123.24	611.792	9.4753	1231.41	337.587
334.703	9.46221	3143.26	615.722	9.47527	1234.42	339.151
334.704	9.46217	3162.27	619.677	9.47523	1237.43	340.719
334.706	9.46214	3180.29	623.653	9.4752	1241.44	342.292
334.707	9.4621	3198.3	627.652	9.47516	1247.44	343.873
334.708	9.46207	3219.32	631.677	9.47513	1256.45	345.464
334.709	9.46203	3241.33	635.729	9.47509	1265.46	347.067
334.711	9.462	3262.35	639.807	9.47506	1275.47	348.683
334.712	9.46196	3282.36	643.91	9.47502	1286.48	350.312
334.713	9.46193	3304.38	648.041	9.47499	1297.49	351.954
334.714	9.46189	3325.39	652.198	9.47495	1311.5	353.615
334.716	9.46186	3345.41	656.38	9.47492	1321.5	355.287
334.717	9.46182	3364.42	660.585	9.47488	1330.51	356.971
334.718	9.46178	3386.44	664.818	9.47485	1337.52	358.663
334.719	9.46175	3406.45	669.075	9.47481	1343.53	360.363
334.721	9.46171	3425.47	673.356	9.47478	1350.54	362.072
334.722	9.46168	3443.48	677.66	9.47474	1357.55	363.789
334.723	9.46164	3460.5	681.985	9.47471	1365.55	365.517
334.724	9.46161	3478.51	686.332	9.47467	1373.56	367.254
334.726	9.46157	3500.53	690.706	9.47463	1382.57	369.002
334.727	9.46154	3523.54	695.109	9.4746	1392.58	370.763
334.728	9.4615	3547.56	699.542	9.47456	1400.59	372.534
334.729	9.46147	3570.57	704.004	9.47453	1405.6	374.311
334.731	9.46143	3593.59	708.494	9.47449	1411.61	376.096
334.732	9.4614	3616.6	713.013	9.47446	1417.61	377.888
334.733	9.46136	3638.62	717.559	9.47442	1421.62	379.685
334.734	9.46133	3657.63	722.129	9.47439	1424.63	381.486
334.735	9.46129	3673.65	726.718	9.47435	1427.64	383.29
334.737	9.46126	3690.66	731.329	9.47432	1432.65	385.101
334.738	9.46122	3706.68	735.96	9.47428	1436.66	386.916
334.739	9.46119	3720.69	740.608	9.47425	1439.67	388.736
334.74	9.46115	3735.71	745.275	9.47421	1441.67	390.558
334.742	9.46112	3751.72	749.962	9.47418	1442.68	392.381
334.743	9.46108	3769.74	754.671	9.47414	1445.69	394.208
334.744	9.46105	3786.75	759.401	9.47411	1448.7	396.039
334.745	9.46101	3800.77	764.149	9.47407	1452.71	397.874
334.747	9.46098	3812.79	768.912	9.47404	1455.72	399.714
334.748	9.46094	3822.8	773.687	9.474	1458.73	401.557
334.749	9.46091	3832.82	778.475	9.47397	1462.73	403.405
334.75	9.46087	3844.83	783.277	9.47393	1467.74	405.259
334.752	9.46084	3856.85	788.095	9.4739	1473.75	407.121
334.753	9.4608	3870.86	792.93	9.47386	1478.76	408.989
334.754	9.46077	3886.88	797.784	9.47383	1481.77	410.861
334.755	9.46073	3904.89	802.662	9.47379	1483.78	412.735
334.757	9.4607	3922.91	807.561	9.47375	1483.79	414.61
334.758	9.46066	3938.92	812.481	9.47372	1486.79	416.488
334.759	9.46063	3952.94	817.418	9.47368	1491.8	418.372
334.76	9.46059	3966.95	822.372	9.47365	1495.81	420.261
334.762	9.46056	3980.97	827.344	9.47361	1497.82	422.153
334.763	9.46052	3992.98	832.33	9.47358	1498.83	424.046
334.764	9.46048	4005	837.332	9.47354	1499.84	425.94
334.765	9.46045	4017.01	842.349	9.47351	1498.85	427.833
334.767	9.46041	4029.03	847.38	9.47347	1497.85	429.725
334.768	9.46038	4044.04	852.43	9.47344	1497.86	431.617
334.769	9.46034	4061.06	857.502	9.4734	1499.87	433.511
334.77	9.46031	4078.07	862.594	9.47337	1503.88	435.41
334.772	9.46027	4093.09	867.705	9.47333	1504.89	437.311
334.773	9.46024	4110.1	872.837	9.4733	1506.9	439.214
334.774	9.4602	4127.12	877.991	9.47326	1509.9	441.121
334.775	9.46017	4145.13	883.167	9.47323	1514.91	443.034
334.777	9.46013	4160.15	888.361	9.47319	1520.92	444.954
334.778	9.4601	4175.16	893.575	9.47316	1528.93	446.885
334.779	9.46006	4187.18	898.803	9.47312	1535.94	448.824
334.78	9.46003	4200.19	904.047	9.47309	1541.95	450.77
334.781	9.45999	4214.21	909.309	9.47305	1547.96	452.724
334.783	9.45996	4228.22	914.588	9.47302	1553.96	454.686
334.784	9.45992	4244.24	919.887	9.47298	1559.97	456.655
334.785	9.45989	4262.25	925.208	9.47295	1564.98	458.63
334.786	9.45985	4281.27	930.553	9.47291	1566.99	460.608
334.788	9.45982	4298.28	935.92	9.47288	1569	462.588
334.789	9.45978	4315.3	941.307	9.47284	1573.01	464.573
334.79	9.45975	4334.31	946.718	9.47281	1578.02	466.565
334.791	9.45971	4353.33	952.153	9.47277	1584.02	468.564
334.793	9.45968	4370.34	957.609	9.47273	1588.03	470.568
334.794	9.45964	4385.36	963.083	9.4727	1594.04	472.579
334.795	9.45961	4402.37	968.579	9.47266	1601.05	474.599
334.796	9.45957	4419.39	974.096	9.47263	1608.06	476.628
334.798	9.45954	4437.4	979.635	9.47259	1613.07	478.663
334.799	9.4595	4453.42	985.194	9.47256	1617.08	480.703
334.8	9.45947	4468.43	990.772	9.47252	1619.08	482.745
334.801	9.45943	4482.45	996.367	9.47249	1620.09	484.789
334.803	9.4594	4497.46	1001.98	9.47245	1621.1	486.834
334.804	9.45936	4514.48	1007.62	9.47242	1620.11	488.878
334.805	9.45933	4532.49	1013.27	9.47238	1619.12	490.92
334.806	9.45929	4550.51	1018.95	9.47235	1618.13	492.962
334.808	9.45926	4569.52	1024.66	9.47231	1617.14	495.002
334.809	9.45922	4588.54	1030.38	9.47228	1614.14	497.038
334.81	9.45919	4607.55	1036.13	9.47224	1613.15	499.073
334.811	9.45915	4625.57	1041.91	9.47221	1613.16	501.108
334.813	9.45911	4645.58	1047.71	9.47217	1615.17	503.146
334.814	9.45908	4668.6	1053.53	9.47214	1619.18	505.189
334.815	9.45904	4692.61	1059.39	9.4721	1624.19	507.238
334.816	9.45901	4716.63	1065.27	9.47207	1630.2	509.294
334.818	9.45897	4739.65	1071.19	9.47203	1636.2	511.358
334.819	9.45894	4759.66	1077.13	9.472	1642.21	513.429
334.82	9.4589	4778.68	1083.09	9.47196	1648.22	515.508
334.821	9.45887	4801.69	1089.08	9.47193	1655.23	517.595
334.823	9.45883	4824.71	1095.11	9.47189	1663.24	519.693
334.824	9.4588	4849.72	1101.16	9.47186	1673.25	521.802
334.825	9.45876	4873.74	1107.24	9.47182	1681.25	523.922
334.826	9.45873	4895.75	1113.35	9.47179	1686.26	526.048
334.827	9.45869	4918.77	1119.49	9.47175	1687.27	528.175
334.829	9.45866	4943.78	1125.65	9.47171	1689.28	530.305
334.83	9.45862	4968.8	1131.85	9.47168	1689.29	532.435
334.831	9.45859	4991.81	1138.08	9.47164	1690.3	534.566
334.832	9.45855	5013.83	1144.34	9.47161	1689.31	536.696
334.834	9.45852	5034.84	1150.62	9.47157	1690.31	538.827
334.835	9.45848	5053.86	1156.93	9.47154	1691.32	540.959
334.836	9.45845	5074.87	1163.26	9.4715	1691.33	543.091
334.837	9.45841	5095.89	1169.62	9.47147	1689.34	545.221
334.839	9.45838	5115.9	1176	9.47143	1686.35	547.347
334.84	9.45834	5135.92	1182.41	9.4714	1685.36	549.472
334.841	9.45831	5154.93	1188.84	9.47136	1686.37	551.598
334.842	9.45827	5173.95	1195.29	9.47133	1686.37	553.725
334.844	9.45824	5192.96	1201.77	9.47129	1688.38	555.853
334.845	9.4582	5209.98	1208.27	9.47126	1690.39	557.984
334.846	9.45817	5225.99	1214.79	9.47122	1690.4	560.115
334.847	9.45813	5240.01	1221.33	9.47119	1689.41	562.245
334.849	9.4581	5256.02	1227.88	9.47115	1686.42	564.372
334.85	9.45806	5273.04	1234.46	9.47112	1682.43	566.493
334.851	9.45803	5290.05	1241.06	9.47108	1678.43	568.609
334.852	9.45799	5306.07	1247.68	9.47105	1676.44	570.723
334.854	9.45796	5321.08	1254.32	9.47101	1676.45	572.837
334.855	9.45792	5335.1	1260.97	9.47098	1677.46	574.952
334.856	9.45789	5348.11	1267.64	9.47094	1678.47	577.068
334.857	9.45785	5359.13	1274.33	9.47091	1679.48	579.186
334.859	9.45782	5370.14	1281.03	9.47087	1682.49	581.307
334.86	9.45778	5380.16	1287.74	9.47084	1688.49	583.436
334.861	9.45775	5390.17	1294.46	9.4708	1692.5	585.57
334.862	9.45771	5400.19	1301.2	9.47077	1693.51	587.705
334.864	9.45768	5410.2	1307.95	9.47073	1694.52	589.841
334.865	9.45764	5421.22	1314.71	9.4707	1694.53	591.977
334.866	9.4576	5431.23	1321.48	9.47066	1691.54	594.11
334.867	9.45757	5438.25	1328.27	9.47062	1688.55	596.239
334.868	9.45753	5443.26	1335.06	9.47059	1686.55	598.365
334.87	9.4575	5446.28	1341.85	9.47055	1681.56	600.485
334.871	9.45746	5447.29	1348.65	9.47052	1676.57	602.599
334.872	9.45743	5446.31	1355.44	9.47048	1672.58	604.708
334.873	9.45739	5444.32	1362.23	9.47045	1667.59	606.811
334.875	9.45736	5440.34	1369.02	9.47041	1662.6	608.908
334.876	9.45732	5436.35	1375.8	9.47038	1658.6	610.999
334.877	9.45729	5432.37	1382.57	9.47034	1654.61	613.086
334.878	9.45725	5428.38	1389.34	9.47031	1652.62	615.17
334.88	9.45722	5422.4	1396.11	9.47027	1652.63	617.254
334.881	9.45718	5418.41	1402.87	9.47024	1653.64	619.34
334.882	9.45715	5413.43	1409.62	9.4702	1655.65	621.428
334.883	9.45711	5405.44	1416.36	9.47017	1654.66	623.514
334.885	9.45708	5393.46	1423.09	9.47013	1651.66	625.597
334.886	9.45704	5378.47	1429.8	9.4701	1646.67	627.674
334.887	9.45701	5361.49	1436.49	9.47006	1642.68	629.746
334.888	9.45697	5341.5	1443.15	9.47003	1636.69	631.81
334.89	9.45694	5320.52	1449.79	9.46999	1631.7	633.869
334.891	9.4569	5299.54	1456.4	9.46996	1625.71	635.919
334.892	9.45687	5278.55	1462.98	9.46992	1620.72	637.964
334.893	9.45683	5257.56	1469.54	9.46989	1615.72	640.002
334.895	9.4568	5235.58	1476.07	9.46985	1612.73	642.037
334.896	9.45676	5211.6	1482.57	9.46982	1609.74	644.068
334.897	9.45673	5185.61	1489.04	9.46978	1606.75	646.095
334.898	9.45669	5160.63	1495.48	9.46975	1603.76	648.118
334.9	9.45666	5135.64	1501.89	9.46971	1599.77	650.137
334.901	9.45662	5110.66	1508.27	9.46968	1593.78	652.148
334.902	9.45659	5084.67	1514.61	9.46964	1587.78	654.151
334.903	9.45655	5057.69	1520.92	9.46961	1583.79	656.15
334.905	9.45652	5032.7	1527.2	9.46957	1575.8	658.139
334.906	9.45648	5006.72	1533.45	9.46953	1565.81	660.115
334.907	9.45645	4978.73	1539.66	9.4695	1556.82	662.08
334.908	9.45641	4950.75	1545.84	9.46946	1547.83	664.034
334.91	9.45638	4923.76	1551.98	9.46943	1541.84	665.98
334.911	9.45634	4895.78	1558.09	9.46939	1534.84	667.918
334.912	9.45631	4867.79	1564.16	9.46936	1530.85	669.851
334.913	9.45627	4838.81	1570.2	9.46932	1525.86	671.778
334.914	9.45624	4805.82	1576.2	9.46929	1521.87	673.699
334.916	9.4562	4771.84	1582.15	9.46925	1518.88	675.617
334.917	9.45617	4737.85	1588.07	9.46922	1514.89	677.53
334.918	9.45613	4702.87	1593.93	9.46918	1512.89	679.441
334.919	9.4561	4665.88	1599.76	9.46915	1508.9	681.346
334.921	9.45606	4625.9	1605.53	9.46911	1501.91	683.243
334.922	9.45603	4590.91	1611.26	9.46908	1492.92	685.129
334.923	9.45599	4557.93	1616.95	9.46904	1486.93	687.007
334.924	9.45595	4527.94	1622.6	9.46901	1480.94	688.878
334.926	9.45592	4497.96	1628.22	9.46897	1474.95	690.741
334.927	9.45588	4467.97	1633.79	9.46894	1468.95	692.597
334.928	9.45585	4437.99	1639.33	9.4689	1462.96	694.445
334.929	9.45581	4409	1644.84	9.46887	1454.97	696.284
334.931	9.45578	4381.02	1650.31	9.46883	1447.98	698.113
334.932	9.45574	4354.03	1655.74	9.4688	1444.99	699.94
334.933	9.45571	4326.05	1661.14	9.46876	1444	701.764
334.934	9.45567	4298.06	1666.51	9.46873	1441.01	703.585
334.936	9.45564	4270.08	1671.84	9.46869	1436.01	705.4
334.937	9.4556	4240.09	1677.13	9.46866	1430.02	707.208
334.938	9.45557	4210.11	1682.39	9.46862	1423.03	709.007
334.939	9.45553	4182.12	1687.61	9.46859	1416.04	710.797
334.941	9.4555	4152.14	1692.8	9.46855	1409.05	712.578
334.942	9.45546	4122.15	1697.94	9.46852	1405.06	714.355
334.943	9.45543	4091.17	1703.05	9.46848	1399.07	716.124
334.944	9.45539	4063.18	1708.13	9.46845	1393.07	717.885
334.946	9.45536	4035.2	1713.17	9.46841	1387.08	719.639
334.947	9.45532	4006.21	1718.17	9.46838	1382.09	721.387
334.948	9.45529	3978.23	1723.14	9.46834	1378.1	723.13
334.949	9.45525	3952.24	1728.07	9.4683	1375.11	724.869
334.951	9.45522	3925.26	1732.98	9.46827	1371.12	726.603
334.952	9.45518	3902.27	1737.85	9.46823	1368.13	728.334
334.953	9.45515	3882.29	1742.7	9.4682	1362.13	730.057
334.954	9.45511	3865.3	1747.53	9.46816	1356.14	731.772
334.956	9.45508	3851.32	1752.34	9.46813	1348.15	733.478
334.957	9.45504	3838.33	1757.13	9.46809	1341.16	735.175
334.958	9.45501	3826.35	1761.91	9.46806	1333.17	736.862
334.959	9.45497	3814.36	1766.68	9.46802	1324.18	738.538
334.961	9.45494	3803.38	1771.43	9.46799	1313.19	740.2
334.962	9.4549	3794.39	1776.17	9.46795	1302.19	741.849
334.963	9.45487	3785.41	1780.9	9.46792	1292.2	743.485
334.964	9.45483	3776.43	1785.61	9.46788	1282.21	745.109
334.965	9.4548	3767.44	1790.32	9.46785	1273.22	746.721
334.967	9.45476	3757.46	1795.01	9.46781	1265.23	748.324
334.968	9.45473	3746.47	1799.69	9.46778	1258.24	749.918
334.969	9.45469	3737.49	1804.36	9.46774	1250.24	751.502
334.97	9.45466	3728.5	1809.02	9.46771	1242.25	753.076
334.972	9.45462	3719.52	1813.67	9.46767	1236.26	754.642
334.973	9.45459	3712.53	1818.31	9.46764	1229.27	756.2
334.974	9.45455	3706.55	1822.94	9.4676	1222.28	757.749
334.975	9.45452	3697.56	1827.56	9.46757	1215.29	759.29
334.977	9.45448	3687.58	1832.16	9.46753	1208.3	760.822
334.978	9.45445	3677.59	1836.76	9.4675	1203.3	762.347
334.979	9.45441	3670.61	1841.34	9.46746	1196.31	763.864
334.98	9.45438	3664.62	1845.92	9.46743	1186.32	765.369
334.982	9.45434	3656.64	1850.49	9.46739	1176.33	766.861
334.983	9.45431	3648.65	1855.05	9.46736	1163.34	768.337
334.984	9.45427	3640.67	1859.6	9.46732	1150.35	769.797
334.985	9.45424	3631.68	1864.14	9.46729	1139.36	771.243
334.987	9.4542	3621.7	1868.66	9.46725	1129.36	772.676
334.988	9.45417	3612.71	1873.18	9.46722	1119.37	774.098
334.989	9.45413	3603.73	1877.68	9.46718	1110.38	775.508
334.99	9.45409	3594.74	1882.17	9.46715	1102.39	776.908
334.992	9.45406	3587.76	1886.65	9.46711	1096.4	778.301
334.993	9.45403	3580.77	1891.13	9.46708	1090.41	779.686
334.994	9.45399	3571.79	1895.59	9.46704	1082.42	781.061
334.995	9.45395	3562.8	1900.04	9.467	1072.42	782.424
334.997	9.45392	3551.82	1904.48	9.46697	1060.43	783.772
334.998	9.45388	3536.83	1908.9	9.46693	1046.44	785.103
334.999	9.45385	3520.85	1913.3	9.4669	1033.45	786.417
335	9.45381	3505.86	1917.68	9.46686	1022.46	787.718
335.002	9.45378	3488.88	1922.04	9.46683	1011.47	789.005
335.003	9.45374	3471.89	1926.38	9.46679	1001.48	790.28
335.004	9.45371	3453.91	1930.7	9.46676	994.484	791.546
335.005	9.45367	3434.92	1934.99	9.46672	986.492	792.802
335.007	9.45364	3411.94	1939.25	9.46669	979.501	794.049
335.008	9.4536	3386.95	1943.49	9.46665	971.509	795.287
335.009	9.45357	3359.97	1947.69	9.46662	962.518	796.513
335.01	9.45353	3332.98	1951.85	9.46658	955.526	797.73
335.011	9.4535	3306	1955.99	9.46655	947.535	798.938
335.013	9.45346	3277.01	1960.08	9.46651	937.544	800.133
335.014	9.45343	3247.03	1964.14	9.46648	928.552	801.318
335.015	9.45339	3215.04	1968.16	9.46644	922.561	802.494
335.016	9.45336	3180.06	1972.14	9.46641	913.569	803.659
335.018	9.45332	3141.07	1976.06	9.46637	902.578	804.811
335.019	9.45329	3101.09	1979.94	9.46634	893.586	805.952
335.02	9.45325	3058.1	1983.77	9.4663	886.595	807.084
335.021	9.45322	3012.12	1987.53	9.46627	878.603	808.206
335.023	9.45318	2965.13	1991.24	9.46623	867.612	809.314
335.024	9.45315	2917.15	1994.89	9.4662	855.62	810.407
335.025	9.45311	2868.16	1998.48	9.46616	844.629	811.487
335.026	9.45308	2819.18	2002.01	9.46613	834.637	812.554
335.028	9.45304	2769.19	2005.47	9.46609	823.646	813.608
335.029	9.45301	2719.21	2008.88	9.46606	809.655	814.644
335.03	9.45297	2665.22	2012.21	9.46602	796.663	815.664
335.031	9.45294	2611.24	2015.48	9.46599	782.672	816.667
335.033	9.4529	2555.25	2018.68	9.46595	767.68	817.651
335.034	9.45287	2497.27	2021.81	9.46592	752.689	818.616
335.035	9.45283	2439.28	2024.86	9.46588	738.697	819.564
335.036	9.4528	2380.3	2027.85	9.46585	725.706	820.496
335.038	9.45276	2320.31	2030.75	9.46581	711.714	821.411
335.039	9.45273	2258.33	2033.58	9.46578	697.723	822.308
335.04	9.45269	2193.35	2036.33	9.46574	681.731	823.185
335.041	9.45266	2126.36	2039	9.4657	665.74	824.042
335.043	9.45262	2060.38	2041.58	9.46567	653.748	824.885
335.044	9.45259	1992.39	2044.08	9.46563	642.757	825.714
335.045	9.45255	1925.41	2046.5	9.4656	631.765	826.529
335.046	9.45252	1856.42	2048.83	9.46556	619.774	827.329
335.048	9.45248	1785.44	2051.07	9.46553	608.783	828.115
335.049	9.45245	1710.45	2053.22	9.46549	596.791	828.887
335.05	9.45241	1635.47	2055.28	9.46546	587.8	829.647
335.051	9.45238	1558.48	2057.24	9.46542	576.808	830.394
335.052	9.45234	1478.5	2059.1	9.46539	565.817	831.127
335.054	9.45231	1397.51	2060.86	9.46535	556.825	831.849
335.055	9.45227	1317.53	2062.52	9.46532	547.834	832.56
335.056	9.45224	1239.54	2064.08	9.46528	536.842	833.257
335.057	9.4522	1163.56	2065.55	9.46525	525.851	833.94
335.059	9.45217	1089.57	2066.93	9.46521	514.859	834.61
335.06	9.45213	1017.59	2068.22	9.46518	502.868	835.265
335.061	9.4521	946.602	2069.42	9.46514	491.876	835.906
335.062	9.45206	876.617	2070.53	9.46511	479.885	836.533
335.064	9.45203	808.632	2071.56	9.46507	466.893	837.143
335.065	9.45199	740.647	2072.5	9.46504	454.902	837.738
335.066	9.45196	670.662	2073.36	9.465	442.911	838.318
335.067	9.45192	601.677	2074.13	9.46497	430.919	838.884
335.069	9.45189	534.692	2074.81	9.46493	417.928	839.433
335.07	9.45185	468.707	2075.42	9.4649	406.936	839.968
335.071	9.45182	403.722	2075.94	9.46486	394.945	840.489
335.072	9.45178	340.737	2076.39	9.46483	383.953	840.996
335.074	9.45174	274.753	2076.75	9.46479	372.962	841.489
335.075	9.45171	205.768	2077.03	9.46476	360.97	841.968
335.076	9.45168	134.783	2077.22	9.46472	346.979	842.429
335.077	9.45164	65.7978	2077.33	9.46469	332.987	842.873
335.079	9.4516	-2.18714	2077.35	9.46465	320.996	843.301
335.08	9.45157	-69.172	2077.29	9.46462	312.004	843.719
335.081	9.45153	-134.157	2077.14	9.46458	299.013	844.12
335.082	9.4515	-195.142	2076.92	9.46455	285.022	844.504
335.084	9.45146	-256.127	2076.63	9.46451	274.03	844.875
335.085	9.45143	-312.112	2076.26	9.46448	262.039	845.23
335.086	9.45139	-367.097	2075.83	9.46444	250.047	845.571
335.087	9.45136	-421.082	2075.33	9.46441	237.056	845.895
335.089	9.45132	-473.066	2074.76	9.46437	225.064	846.205
335.09	9.45129	-523.051	2074.13	9.46434	212.073	846.498
335.091	9.45125	-571.036	2073.45	9.4643	200.081	846.776
335.092	9.45122	-616.021	2072.7	9.46427	191.09	847.044
335.094	9.45118	-658.006	2071.91	9.46423	179.098	847.296
335.095	9.45115	-700.991	2071.06	9.4642	167.107	847.533
335.096	9.45111	-742.976	2070.16	9.46416	154.115	847.755
335.097	9.45108	-781.961	2069.21	9.46412	143.124	847.962
335.098	9.45104	-821.946	2068.21	9.46409	136.132	848.161
335.1	9.45101	-860.931	2067.16	9.46405	130.141	848.353
335.101	9.45097	-896.916	2066.07	9.46402	127.15	848.54
335.102	9.45094	-929.901	2064.94	9.46398	124.158	848.724
335.103	9.4509	-960.885	2063.76	9.46395	121.167	848.905
335.105	9.45087	-988.87	2062.56	9.46391	114.175	849.077
335.106	9.45083	-1016.86	2061.32	9.46388	107.184	849.239
335.107	9.4508	-1044.84	2060.04	9.46384	100.192	849.394
335.108	9.45076	-1070.83	2058.73	9.46381	95.2007	849.542
335.11	9.45073	-1093.81	2057.39	9.46377	90.2093	849.684
335.111	9.45069	-1112.79	2056.03	9.46374	84.2178	849.818
335.112	9.45066	-1129.78	2054.65	9.4637	75.2264	849.941
335.113	9.45062	-1145.76	2053.25	9.46367	65.2349	850.052
335.115	9.45059	-1160.75	2051.83	9.46363	54.2434	850.149
335.116	9.45055	-1177.73	2050.39	9.4636	45.252	850.235
335.117	9.45052	-1194.72	2048.93	9.46356	34.2605	850.307
335.118	9.45048	-1207.7	2047.45	9.46353	23.269	850.366
335.12	9.45045	-1217.69	2045.96	9.46349	14.2776	850.413
335.121	9.45041	-1226.67	2044.45	9.46346	6.2861	850.451
335.122	9.45038	-1234.66	2042.94	9.46342	-2.70537	850.477
335.123	9.45034	-1241.64	2041.42	9.46339	-14.6968	850.489
335.125	9.45031	-1250.63	2039.89	9.46335	-27.6883	850.484
335.126	9.45027	-1259.61	2038.35	9.46332	-41.6798	850.462
335.127	9.45024	-1269.6	2036.79	9.46328	-54.6712	850.424
335.128	9.4502	-1276.58	2035.23	9.46325	-64.6627	850.373
335.13	9.45017	-1280.57	2033.66	9.46321	-74.6542	850.31
335.131	9.45013	-1282.55	2032.09	9.46318	-84.6456	850.234
335.132	9.4501	-1285.54	2030.51	9.46314	-92.6371	850.149
335.133	9.45006	-1288.52	2028.93	9.46311	-97.6286	850.057
335.135	9.45003	-1290.51	2027.35	9.46307	-100.62	849.962
335.136	9.44999	-1293.49	2025.76	9.46304	-102.611	849.864
335.137	9.44996	-1295.48	2024.18	9.463	-106.603	849.761
335.138	9.44992	-1299.46	2022.58	9.46297	-111.594	849.652
335.14	9.44989	-1302.45	2020.99	9.46293	-117.586	849.535
335.141	9.44985	-1303.43	2019.39	9.4629	-123.577	849.411
335.142	9.44982	-1306.42	2017.79	9.46286	-131.569	849.278
335.143	9.44978	-1309.4	2016.18	9.46283	-138.56	849.135
335.144	9.44975	-1312.39	2014.57	9.46279	-148.552	848.98
335.146	9.44971	-1318.37	2012.96	9.46276	-159.543	848.811
335.147	9.44968	-1324.36	2011.33	9.46272	-168.535	848.632
335.148	9.44964	-1330.34	2009.7	9.46269	-178.526	848.439
335.149	9.44961	-1337.33	2008.06	9.46265	-184.518	848.24
335.151	9.44957	-1345.31	2006.41	9.46262	-188.509	848.035
335.152	9.44954	-1353.3	2004.75	9.46258	-193.501	847.824
335.153	9.4495	-1363.28	2003.08	9.46255	-197.492	847.608
335.154	9.44947	-1372.27	2001.4	9.46251	-201.483	847.388
335.156	9.44943	-1382.25	1999.7	9.46247	-203.475	847.164
335.157	9.4494	-1395.24	1997.99	9.46244	-204.466	846.94
335.158	9.44936	-1406.22	1996.27	9.4624	-203.458	846.717
335.159	9.44933	-1418.21	1994.53	9.46237	-203.449	846.493
335.161	9.44929	-1431.19	1992.77	9.46233	-206.441	846.266
335.162	9.44926	-1444.18	1991	9.4623	-210.432	846.034
335.163	9.44922	-1458.16	1989.21	9.46226	-213.424	845.799
335.164	9.44919	-1473.15	1987.4	9.46223	-218.415	845.557
335.166	9.44915	-1489.13	1985.57	9.46219	-222.407	845.31
335.167	9.44912	-1504.12	1983.72	9.46216	-229.398	845.055
335.168	9.44908	-1521.1	1981.85	9.46212	-236.39	844.791
335.169	9.44905	-1539.09	1979.96	9.46209	-242.381	844.519
335.171	9.44901	-1556.07	1978.05	9.46205	-249.373	844.239
335.172	9.44898	-1575.06	1976.12	9.46202	-257.364	843.948
335.173	9.44894	-1595.04	1974.16	9.46198	-268.355	843.644
335.174	9.44891	-1614.03	1972.17	9.46195	-276.347	843.33
335.176	9.44887	-1631.01	1970.17	9.46191	-280.338	843.012
335.177	9.44884	-1649	1968.14	9.46188	-286.33	842.685
335.178	9.4488	-1668.98	1966.09	9.46184	-288.321	842.357
335.179	9.44877	-1689.97	1964.01	9.46181	-292.313	842.023
335.181	9.44873	-1713.95	1961.9	9.46177	-298.304	841.682
335.182	9.4487	-1738.94	1959.76	9.46174	-304.296	841.333
335.183	9.44866	-1763.92	1957.59	9.4617	-309.287	840.978
335.184	9.44863	-1787.9	1955.39	9.46167	-313.279	840.619
335.186	9.44859	-1809.89	1953.16	9.46163	-316.27	840.255
335.187	9.44855	-1832.87	1950.91	9.4616	-319.262	839.888
335.188	9.44852	-1856.86	1948.62	9.46156	-320.253	839.52
335.189	9.44848	-1878.84	1946.31	9.46153	-320.244	839.151
335.19	9.44845	-1902.83	1943.97	9.46149	-318.236	838.785
335.192	9.44841	-1925.81	1941.6	9.46146	-319.227	838.418
335.193	9.44838	-1948.8	1939.2	9.46142	-323.219	838.046
335.194	9.44834	-1972.78	1936.77	9.46139	-329.21	837.666
335.195	9.44831	-1998.77	1934.3	9.46135	-336.202	837.278
335.197	9.44827	-2027.75	1931.81	9.46132	-340.193	836.885
335.198	9.44824	-2055.74	1929.27	9.46128	-343.185	836.488
335.199	9.4482	-2085.72	1926.7	9.46125	-346.176	836.087
335.2	9.44817	-2113.71	1924.1	9.46121	-350.168	835.682
335.202	9.44813	-2142.69	1921.46	9.46118	-353.159	835.272
335.203	9.4481	-2170.68	1918.78	9.46114	-355.151	834.86
335.204	9.44806	-2197.66	1916.07	9.46111	-356.142	834.447
335.205	9.44803	-2223.65	1913.33	9.46107	-359.134	834.031
335.207	9.44799	-2246.63	1910.56	9.46104	-361.125	833.611
335.208	9.44796	-2269.62	1907.76	9.461	-361.116	833.192
335.209	9.44792	-2293.6	1904.93	9.46097	-362.108	832.772
335.21	9.44789	-2315.59	1902.08	9.46093	-365.099	832.347
335.212	9.44785	-2335.57	1899.2	9.4609	-367.091	831.921
335.213	9.44782	-2352.56	1896.29	9.46086	-367.082	831.494
335.214	9.44778	-2368.54	1893.37	9.46083	-365.074	831.07
335.215	9.44775	-2384.53	1890.43	9.46079	-365.065	830.646
335.217	9.44771	-2397.51	1887.47	9.46076	-368.057	830.218
335.218	9.44768	-2409.5	1884.5	9.46072	-374.048	829.783
335.219	9.44764	-2421.48	1881.51	9.46069	-379.04	829.341
335.22	9.44761	-2432.47	1878.51	9.46065	-384.031	828.893
335.222	9.44757	-2440.45	1875.5	9.46061	-389.023	828.439
