b	fn2	n2	n2a	fo2	o2	o2a
333.622	9.49288	5.13269	2.70336	9.50599	23.9931	2.6598
333.623	9.49285	3.14778	2.73	9.50595	28.0017	2.7243
333.624	9.49281	2.16286	2.75542	9.50591	30.0102	2.79131
333.625	9.49278	1.17795	2.77961	9.50588	33.0187	2.86205
333.627	9.49274	0.19304	2.80258	9.50584	35.0273	2.93529
333.628	9.49271	-0.79188	2.82433	9.50581	36.0358	3.00978
333.629	9.49267	-1.77679	2.84485	9.50577	37.0443	3.08553
333.63	9.49263	-1.76171	2.86539	9.50574	36.0529	3.16004
333.632	9.4926	-1.74662	2.88595	9.5057	34.0614	3.23208
333.633	9.49256	-3.73154	2.90404	9.50567	30.0699	3.29915
333.634	9.49253	-3.71645	2.92215	9.50563	22.0785	3.35629
333.635	9.49249	-3.70137	2.94027	9.5056	16.087	3.40599
333.637	9.49246	-5.68628	2.95594	9.50556	11.0955	3.44948
333.638	9.49242	-7.6712	2.96913	9.50553	9.10408	3.49049
333.639	9.49239	-7.65611	2.98234	9.50549	9.11262	3.53151
333.64	9.49235	-5.64102	2.99806	9.50545	10.1212	3.57379
333.641	9.49232	-0.62594	3.02001	9.50542	9.12969	3.61483
333.643	9.49228	2.38915	3.04571	9.50538	6.13822	3.65215
333.644	9.49225	5.40423	3.07516	9.50535	3.14676	3.68576
333.645	9.49221	6.41932	3.10587	9.50531	0.15529	3.71565
333.646	9.49217	6.4344	3.1366	9.50528	-1.83617	3.74306
333.648	9.49214	7.44949	3.16859	9.50524	-3.82764	3.76799
333.649	9.4921	7.46457	3.2006	9.50521	-4.8191	3.7917
333.65	9.49207	8.47966	3.23387	9.50517	-3.81057	3.81665
333.651	9.49203	8.49475	3.26716	9.50514	-0.80203	3.84535
333.653	9.492	8.50983	3.30047	9.5051	1.2065	3.87654
333.654	9.49196	11.5249	3.33752	9.50506	6.21503	3.91396
333.655	9.49193	13.54	3.37709	9.50503	10.2236	3.95637
333.656	9.49189	15.5551	3.41915	9.50499	14.2321	4.00375
333.658	9.49186	15.5702	3.46124	9.50496	17.2406	4.05488
333.659	9.49182	15.5853	3.50334	9.50492	19.2492	4.1085
333.66	9.49179	14.6003	3.54422	9.50489	20.2577	4.16338
333.661	9.49175	17.6154	3.58885	9.50485	22.2662	4.22076
333.663	9.49171	17.6305	3.6335	9.50482	23.2748	4.27939
333.664	9.49168	16.6456	3.67692	9.50478	25.2833	4.34051
333.665	9.49164	14.6607	3.71788	9.50475	26.2919	4.40289
333.666	9.49161	13.6758	3.75761	9.50471	25.3004	4.46404
333.668	9.49157	14.6909	3.7986	9.50468	24.3089	4.52395
333.669	9.49154	15.7059	3.84086	9.50464	22.3175	4.58139
333.67	9.4915	17.721	3.88562	9.5046	19.326	4.63511
333.671	9.49147	18.7361	3.93164	9.50457	18.3345	4.6876
333.673	9.49143	19.7512	3.97892	9.50453	15.3431	4.73636
333.674	9.4914	17.7663	4.02374	9.5045	12.3516	4.78141
333.675	9.49136	13.7814	4.0636	9.50446	12.3601	4.82647
333.676	9.49133	8.79645	4.09727	9.50443	9.36866	4.86781
333.678	9.49129	7.81154	4.12971	9.50439	7.3772	4.90668
333.679	9.49126	7.82663	4.16217	9.50436	6.38573	4.94431
333.68	9.49122	10.8417	4.19838	9.50432	6.39427	4.98195
333.681	9.49118	15.8568	4.24082	9.50429	5.4028	5.01836
333.683	9.49115	19.8719	4.28825	9.50425	2.41134	5.05105
333.684	9.49111	22.887	4.33943	9.50421	-0.58013	5.08003
333.685	9.49108	23.902	4.39188	9.50418	-1.57159	5.10777
333.686	9.49104	23.9171	4.44434	9.50414	-1.56306	5.13552
333.687	9.49101	22.9322	4.49558	9.50411	0.44547	5.16577
333.689	9.49097	22.9473	4.54684	9.50407	1.45401	5.19727
333.69	9.49094	22.9624	4.59811	9.50404	4.46254	5.23251
333.691	9.4909	22.9775	4.64941	9.504	9.47108	5.27398
333.692	9.49087	22.9926	4.70072	9.50397	13.4796	5.32043
333.694	9.49083	25.0077	4.75454	9.50393	18.4882	5.37311
333.695	9.4908	26.0227	4.80962	9.5039	21.4967	5.42952
333.696	9.49076	28.0378	4.86721	9.50386	22.5052	5.4872
333.697	9.49072	29.0529	4.92605	9.50383	20.5138	5.54239
333.699	9.49069	29.068	4.98492	9.50379	19.5223	5.59635
333.7	9.49065	28.0831	5.04256	9.50375	18.5308	5.64909
333.701	9.49062	26.0982	5.09774	9.50372	18.5394	5.70183
333.702	9.49058	24.1133	5.15044	9.50368	20.5479	5.75707
333.704	9.49055	23.1283	5.20192	9.50365	21.5564	5.81356
333.705	9.49051	20.1434	5.2497	9.50361	19.565	5.86757
333.706	9.49048	17.1585	5.29376	9.50358	18.5735	5.92036
333.707	9.49044	12.1736	5.33162	9.50354	17.582	5.97191
333.709	9.49041	9.18868	5.36577	9.50351	17.5906	6.02347
333.71	9.49037	8.20376	5.3987	9.50347	18.5991	6.07629
333.711	9.49034	8.21885	5.43165	9.50344	21.6076	6.13284
333.712	9.4903	9.23393	5.46586	9.5034	23.6162	6.1919
333.714	9.49026	8.24902	5.49884	9.50337	23.6247	6.25096
333.715	9.49023	7.2641	5.5306	9.50333	24.6332	6.31128
333.716	9.49019	7.27919	5.56238	9.50329	23.6418	6.37036
333.717	9.49016	8.29428	5.59542	9.50326	21.6503	6.42697
333.719	9.49012	12.3094	5.63345	9.50322	21.6588	6.48359
333.72	9.49009	15.3245	5.67524	9.50319	21.6674	6.54022
333.721	9.49005	17.3395	5.71952	9.50315	22.6759	6.5981
333.722	9.49002	19.3546	5.76631	9.50312	22.6844	6.656
