b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
331.041	9.56493	-7.04731	1.05628	9.56494	9.43876	0.11696	9.56497	12.791	0.25135	9.565	1.82762	0.19195	9.56502	-5.31003	0.74924	9.56509	8.19032	0.05498
331.044	9.56486	-7.04884	1.06479	9.56487	10.4416	0.16179	9.5649	11.7875	0.29084	9.56493	2.81238	0.21237	9.56495	-4.31944	0.76052	9.56502	7.17238	0.07745
331.046	9.56479	-9.05037	1.06832	9.5648	11.4445	0.20911	9.56483	10.784	0.32783	9.56486	3.79714	0.23524	9.56487	-4.32886	0.77178	9.56494	5.15444	0.09491
331.049	9.56472	-11.0519	1.06688	9.56473	12.4474	0.25893	9.56476	7.78044	0.35736	9.56478	6.78191	0.26554	9.5648	-5.33827	0.78053	9.56487	3.1365	0.10735
331.051	9.56464	-13.0534	1.06045	9.56465	13.4502	0.31124	9.56469	4.77692	0.37941	9.56471	10.7667	0.30574	9.56473	-6.34768	0.78677	9.5648	3.11856	0.11974
331.054	9.56457	-14.0549	1.05154	9.56458	12.4531	0.36108	9.56461	2.77341	0.39649	9.56464	13.7514	0.35336	9.56466	-7.3571	0.7905	9.56473	3.10062	0.13209
331.056	9.5645	-15.0565	1.04014	9.56451	11.4559	0.40843	9.56454	2.76989	0.41356	9.56457	15.7362	0.40591	9.56459	-7.36651	0.79421	9.56466	2.08268	0.14191
331.059	9.56443	-15.058	1.02873	9.56444	11.4588	0.45579	9.56447	1.76637	0.42813	9.5645	14.721	0.45595	9.56452	-6.37592	0.80038	9.56459	-0.93526	0.14423
331.061	9.56436	-16.0595	1.01484	9.56437	10.4617	0.50067	9.5644	-1.23714	0.43524	9.56442	12.7057	0.50097	9.56444	-7.38534	0.80404	9.56451	-2.9532	0.14153
331.064	9.56429	-17.0611	0.99845	9.5643	7.46453	0.5381	9.56433	-3.24066	0.43736	9.56435	11.6905	0.54347	9.56437	-8.39475	0.80519	9.56444	-2.97114	0.13878
331.066	9.56421	-18.0626	0.97957	9.56422	3.46739	0.56559	9.56425	-5.24418	0.4345	9.56428	9.67524	0.58095	9.5643	-10.4042	0.80134	9.56437	-1.98907	0.13848
331.069	9.56414	-18.0641	0.96069	9.56415	1.47026	0.58812	9.56418	-5.24769	0.43163	9.56421	6.66	0.61094	9.56423	-12.4136	0.7925	9.5643	-2.00701	0.13813
331.071	9.56407	-19.0656	0.93932	9.56408	0.47312	0.60816	9.56411	-4.25121	0.43124	9.56414	4.64476	0.63592	9.56416	-13.423	0.78115	9.56423	-3.02495	0.13525
331.074	9.564	-18.0672	0.92044	9.56401	0.47598	0.62822	9.56404	-3.25473	0.43333	9.56407	2.62952	0.65589	9.56408	-15.4324	0.7648	9.56415	-4.04289	0.12984
331.076	9.56393	-15.0687	0.909	9.56394	2.47885	0.65325	9.56397	-1.25824	0.44039	9.56399	2.61429	0.67582	9.56401	-17.4418	0.74345	9.56408	-4.06083	0.12439
331.079	9.56385	-12.0702	0.90503	9.56386	5.48171	0.68575	9.5639	-0.26176	0.44992	9.56392	1.59905	0.69323	9.56394	-17.4512	0.72209	9.56401	-4.07877	0.11889
331.081	9.56378	-11.0717	0.90353	9.56379	6.48457	0.72074	9.56382	-1.26528	0.45695	9.56385	1.58381	0.7106	9.56387	-16.4606	0.70318	9.56394	-2.09671	0.11831
331.084	9.56371	-10.0733	0.90452	9.56372	6.48744	0.75574	9.56375	-1.26879	0.46398	9.56378	0.56857	0.72544	9.5638	-15.4701	0.68674	9.56387	-0.11465	0.12267
331.086	9.56364	-10.0748	0.9055	9.56365	4.4903	0.78578	9.56368	-3.27231	0.46602	9.56371	0.55333	0.74025	9.56373	-13.4795	0.67525	9.5638	3.86741	0.13693
331.089	9.56357	-10.0763	0.90648	9.56358	2.49316	0.81084	9.56361	-6.27582	0.4606	9.56363	0.5381	0.75502	9.56365	-11.4889	0.66871	9.56372	6.84947	0.1586
331.091	9.5635	-10.0778	0.90746	9.56351	-0.50397	0.82846	9.56354	-7.27934	0.45268	9.56356	3.52286	0.77721	9.56358	-9.4983	0.66711	9.56365	8.83153	0.1852
331.094	9.56342	-9.07936	0.91092	9.56343	-4.50111	0.83614	9.56346	-9.28286	0.43978	9.56349	6.50762	0.80682	9.56351	-6.50771	0.67295	9.56358	10.8136	0.21673
331.096	9.56335	-8.08089	0.91686	9.56336	-8.49825	0.83388	9.56339	-12.2864	0.41941	9.56342	10.4924	0.84634	9.56344	-2.51712	0.68872	9.56351	13.7957	0.25567
331.099	9.56328	-8.08242	0.9228	9.56329	-12.4954	0.82168	9.56332	-13.2899	0.39655	9.56335	13.4771	0.89328	9.56337	0.47346	0.71192	9.56344	15.7777	0.29954
331.101	9.56321	-7.08394	0.93122	9.56322	-13.4925	0.80701	9.56325	-14.2934	0.37119	9.56328	14.4619	0.94267	9.56329	0.46405	0.73509	9.56336	18.7598	0.35082
331.104	9.56314	-8.08547	0.93715	9.56315	-15.4897	0.78736	9.56318	-14.2969	0.34583	9.5632	13.4467	0.98953	9.56322	-0.54536	0.75576	9.56329	22.7418	0.41201
331.106	9.56306	-10.087	0.9381	9.56307	-16.4868	0.76524	9.56311	-14.3004	0.32045	9.56313	13.4314	1.03636	9.56315	-1.55478	0.77392	9.56322	27.7239	0.48558
